Rank,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
472,Paul Watson,27,OKC,SF,9,3,156,5.7,.432,.743,.057,1.9,16.1,8.9,7.2,0.9,1.8,10.0,11.0,-0.1,0.1,0.0,.001,-4.8,-0.6,-5.4,-0.1,,watsopa01
473,Cassius Stanley,22,DET,SG,9,1,155,8.0,.516,.370,.217,3.3,10.3,6.6,3.9,1.6,1.2,10.6,15.6,0.0,0.1,0.1,.021,-4.9,-1.0,-5.8,-0.2,,stanlca01
474,Bruno Fernando,23,2TM,C,30,0,152,21.2,.671,.036,.436,13.0,26.6,19.8,7.5,0.3,6.5,17.6,22.4,0.2,0.2,0.4,.140,-0.4,0.2,-0.1,0.1,,fernabr01
475,Theo Pinson,26,DAL,SF,19,0,148,11.9,.553,.769,.256,1.5,14.3,7.9,15.9,1.7,1.2,10.3,14.7,0.2,0.2,0.4,.122,-1.5,1.0,-0.5,0.1,,pinsoth01
476,Abdel Nader,28,PHO,SF,14,0,145,4.9,.431,.400,.286,3.0,16.6,10.0,5.9,2.7,2.5,21.8,15.0,-0.3,0.3,0.0,-0.009,-7.1,2.2,-4.9,-0.1,,naderab01
477,Devin Cannady,25,ORL,PG,5,0,145,8.6,.531,.841,.159,0.7,3.7,2.2,10.0,1.7,1.9,9.6,15.5,0.0,0.1,0.1,.033,-2.8,-0.4,-3.2,0.0,,cannade01
478,Solomon Hill,30,ATL,SF,13,1,139,3.3,.200,.650,.000,4.8,13.3,9.1,10.3,1.4,1.3,4.8,6.6,-0.1,0.1,0.0,-0.006,-5.2,1.2,-4.0,-0.1,,hillso01
479,Xavier Moon,27,LAC,SG,10,0,137,16.2,.545,.275,.098,1.6,9.0,5.4,27.0,2.5,1.9,10.1,19.0,0.2,0.2,0.3,.121,-1.1,1.0,-0.1,0.1,,moonxa01
480,Jahmi'us Ramsey,20,SAC,SG,19,0,134,7.9,.468,.310,.241,3.2,7.4,5.3,7.9,0.4,0.6,7.2,22.2,-0.1,0.0,-0.1,-0.048,-3.5,-3.4,-6.9,-0.2,,ramseja01
481,Didi Louzada,22,2TM,SF,9,1,129,6.4,.517,.697,.061,4.1,10.6,7.2,5.3,0.8,1.5,12.9,13.0,0.0,0.0,0.0,-0.005,-4.1,-3.4,-7.5,-0.2,,louzama01
482,Boban Marjanović,33,DAL,C,23,0,128,18.5,.615,.057,.314,6.9,27.0,16.9,4.8,0.0,2.1,15.8,33.3,-0.1,0.2,0.1,.045,-3.2,-1.2,-4.4,-0.1,,marjabo01
483,Marcus Garrett,23,MIA,SG,12,0,128,4.7,.280,.190,.238,8.1,12.2,10.2,7.0,2.0,2.5,7.9,8.8,-0.1,0.2,0.1,.032,-6.4,1.0,-5.4,-0.1,,garrema01
484,Jay Scrubb,21,LAC,SG,18,0,121,9.3,.486,.457,.217,1.8,11.9,7.0,9.7,1.6,2.1,12.2,20.8,-0.1,0.1,0.0,.002,-4.4,-0.4,-4.8,-0.1,,scrubja01
485,Devontae Cacok,25,SAS,PF,15,0,121,20.2,.675,.000,.226,6.9,29.7,18.2,6.9,3.2,4.9,8.1,12.9,0.3,0.3,0.5,.206,0.7,3.5,4.2,0.2,,cacokde01
486,Jalen Johnson,20,ATL,PF,22,0,120,11.3,.590,.317,.171,1.8,21.8,11.9,3.7,1.2,1.5,17.0,19.3,-0.1,0.1,0.0,.013,-3.9,-1.1,-4.9,-0.1,,johnsja05
487,Neemias Queta,22,SAC,C,15,0,120,12.7,.495,.000,.447,12.6,15.6,14.1,7.2,0.4,5.8,11.7,18.4,0.0,0.1,0.1,.051,-4.1,-1.0,-5.1,-0.1,,quetane01
488,Melvin Frazier,25,OKC,SG,3,0,120,-0.4,.313,.438,.146,4.2,7.0,5.6,1.2,0.4,0.0,5.5,19.5,-0.4,0.0,-0.4,-0.160,-9.7,-6.7,-16.4,-0.4,,frazime01
489,Freddie Gillespie,24,ORL,PF,9,2,119,9.5,.419,.045,.318,11.5,20.5,16.0,5.9,1.2,6.9,16.6,10.9,-0.1,0.2,0.1,.049,-5.6,1.0,-4.6,-0.1,,gillefr01
490,Jabari Parker,26,BOS,PF,12,0,112,14.8,.632,.421,.237,5.0,21.7,13.5,7.9,1.8,0.8,16.0,19.6,0.1,0.2,0.3,.141,-0.3,1.1,0.7,0.1,,parkeja01
491,Derrick Walton,26,DET,PG,3,3,108,5.9,.342,.500,.154,1.9,8.4,5.0,26.4,3.2,3.3,28.4,15.4,-0.3,0.1,-0.2,-0.071,-5.3,1.0,-4.3,-0.1,,waltode01
492,Jeff Dowtin Jr.,24,3TM,PG,9,0,108,6.8,.353,.346,.077,7.9,9.8,8.9,12.7,2.2,0.9,15.7,12.8,-0.1,0.1,0.0,-0.010,-5.7,0.1,-5.6,-0.1,,dowtije01
493,Langston Galloway,30,2TM,SG,7,0,107,0.7,.269,.615,.000,3.1,14.7,9.0,13.7,0.4,0.0,18.8,12.8,-0.3,0.1,-0.2,-0.100,-8.0,-1.8,-9.8,-0.2,,gallola01
494,Louis King,22,SAC,SF,10,0,104,8.1,.438,.574,.213,0.0,12.7,6.3,12.5,0.9,0.8,0.0,21.2,0.0,0.0,0.0,.000,-3.0,-1.6,-4.6,-0.1,,kinglo02
495,Chaundee Brown Jr.,23,2TM,SF,5,2,104,6.4,.447,.563,.188,1.1,15.7,8.4,5.1,0.9,0.0,2.8,14.9,0.0,0.0,0.0,.002,-4.3,-2.4,-6.6,-0.1,,brownch05
496,Luke Kornet,26,3TM,C,15,0,103,16.6,.506,.185,.222,14.0,16.4,15.2,12.4,1.4,2.6,0.0,12.7,0.2,0.2,0.4,.194,-0.9,0.4,-0.5,0.0,,kornelu01
497,Chris Silva,25,2TM,PF,10,0,91,11.6,.641,.000,.800,16.5,28.2,22.4,10.6,0.0,1.2,28.3,13.8,0.1,0.1,0.3,.137,-5.0,0.1,-4.9,-0.1,,silvach01
498,Tyler Johnson,29,2TM,PG,6,0,91,7.1,.425,.650,.000,3.5,10.7,7.1,9.5,1.6,2.8,9.1,10.5,0.0,0.1,0.1,.033,-3.9,0.8,-3.0,0.0,,johnsty01
499,Devon Dotson,22,CHI,PG,11,0,85,9.8,.538,.391,.391,1.3,10.5,6.0,23.9,0.6,0.0,15.6,16.6,0.1,0.0,0.1,.048,-3.4,-1.5,-4.9,-0.1,,dotsode01
500,Udonis Haslem,41,MIA,C,13,0,83,8.6,.495,.129,.097,5.6,28.2,17.1,7.4,0.6,1.3,13.4,20.0,-0.1,0.1,0.1,.033,-6.4,-0.7,-7.1,-0.1,,hasleud01
501,Wes Iwundu,27,ATL,SF,3,1,82,7.1,.557,.278,.222,4.0,13.3,8.7,0.0,0.6,0.0,4.8,11.1,0.1,0.0,0.1,.046,-4.1,-2.7,-6.8,-0.1,,iwundwe01
502,Bol Bol,22,DEN,PF,14,0,81,13.5,.565,.148,.185,5.7,21.4,13.8,9.1,0.6,2.2,12.0,18.0,0.0,0.1,0.1,.065,-0.5,-0.4,-1.0,0.0,,bolbo01
503,Carsen Edwards,23,DET,SG,4,0,79,5.5,.378,.533,.033,2.6,5.8,4.1,26.2,1.2,0.0,14.1,19.2,-0.1,0.0,-0.1,-0.075,-6.0,-3.4,-9.3,-0.1,,edwarca01
