Rank,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,Awards,-9999
162,Josh Richardson,28,2TM,SG,65,7,1600,3,77,20,1,0,4.2,-1.9,29,20,54,5,33,12,275,3,25,,richajo01
163,Torrey Craig,31,2TM,SF,78,16,1596,0,1,19,77,2,-4.5,-5.8,34,19,73,4,25,13,223,8,14,,craigto01
164,Gabe Vincent,25,MIA,PG,68,27,1589,69,31,0,0,0,2.9,-2.9,68,16,73,11,20,27,519,3,19,,vincega01
165,Max Strus,25,MIA,SF,68,16,1587,0,15,47,37,0,5.0,0.7,31,16,71,3,21,20,223,6,14,,strusma01
166,Jusuf Nurkić,27,POR,C,56,56,1579,0,0,0,0,100,-0.6,13.8,55,40,82,38,122,6,393,35,46,,nurkiju01
167,De'Andre Hunter,24,ATL,SF,53,52,1577,0,0,65,35,0,0.9,-1.6,17,27,53,13,68,16,173,15,34,,huntede01
168,Amir Coffey,24,LAC,SG,69,30,1567,3,53,39,5,0,-0.5,-1.1,18,16,41,4,57,11,307,14,28,,coffeam01
169,Oshae Brissett,23,IND,SF,67,25,1564,0,0,32,68,0,-5.9,-3.1,22,13,47,9,82,9,181,18,30,,brissos01
170,Marcus Morris,32,LAC,PF,54,54,1564,0,7,49,40,4,-4.9,-8.2,32,19,52,8,59,9,284,14,22,,morrima03
171,Gordon Hayward,31,CHO,SF,49,48,1564,0,3,78,18,0,-0.2,-1.2,42,22,35,15,67,8,445,17,27,,haywago01
172,Tyus Jones,25,MEM,PG,73,23,1549,88,13,0,0,0,8.0,3.5,27,12,13,2,19,4,792,5,18,6MOY-11,jonesty01
173,Chris Duarte,24,IND,SG,55,39,1541,19,61,19,0,0,-2.2,3.0,45,21,35,8,53,5,265,10,36,,duartch01
174,Trey Lyles,26,2TM,PF,75,23,1537,0,0,1,57,42,-7.7,-0.7,34,19,68,15,127,10,217,42,34,,lylestr01
175,Javonte Green,28,CHI,SF,65,45,1519,0,13,68,19,0,1.8,3.4,9,10,68,5,47,12,143,8,17,,greenja02
176,Talen Horton-Tucker,21,LAL,SG,60,19,1511,0,14,78,9,0,-2.7,0.7,44,23,75,8,59,6,386,11,28,,hortota01
177,Jerami Grant,27,DET,PF,47,47,1500,0,0,2,95,3,-7.5,0.9,38,24,53,19,109,11,280,18,30,,grantje01
178,Alperen Şengün,19,HOU,C,72,13,1489,0,0,0,0,100,-10.6,-2.5,59,42,119,28,96,23,453,23,46,,sengual01
