Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
367,Kent Bazemore,32,LAL,SF,39,14,545,4.0,12.2,.324,2.6,7.0,.363,1.4,5.2,.271,.428,1.1,1.5,.765,1.1,4.9,6.1,3.0,2.2,0.8,1.8,6.2,11.6,93,113,,bazemke01
368,Isaiah Jackson,20,IND,C,36,15,541,10.5,18.6,.563,0.5,1.4,.313,10.0,17.2,.584,.575,5.4,8.0,.682,5.4,8.1,13.5,0.9,2.3,4.7,3.6,8.3,26.9,113,109,,jacksis01
369,Malachi Flynn,23,TOR,PG,44,5,537,6.7,17.0,.393,2.8,8.4,.333,3.9,8.7,.452,.475,1.4,2.2,.625,0.9,4.9,5.9,6.5,1.9,0.4,1.2,4.2,17.6,113,112,,flynnma01
370,Ignas Brazdeikis,23,ORL,SF,42,1,536,7.3,17.0,.431,2.4,7.9,.310,4.9,9.1,.535,.503,1.9,2.9,.656,2.1,4.4,6.5,3.3,0.9,0.3,1.5,4.3,19.0,106,116,,brazdig01
371,Terence Davis,24,SAC,SG,30,11,536,10.1,24.0,.423,4.4,13.4,.329,5.7,10.6,.542,.515,3.2,3.9,.818,1.0,7.5,8.4,3.6,2.2,1.0,3.0,6.3,27.9,103,113,,daviste02
372,Josh Okogie,23,MIN,SG,49,6,516,3.9,9.6,.404,1.3,4.3,.298,2.6,5.3,.491,.471,3.2,4.7,.686,2.7,3.8,6.5,2.3,2.4,1.1,2.1,4.9,12.3,107,112,,okogijo01
373,Bismack Biyombo,29,PHO,C,36,3,506,8.2,13.8,.593,0.0,0.0,,8.2,13.8,.593,.593,3.6,6.8,.535,6.0,9.9,15.9,2.2,1.1,2.5,2.4,6.7,20.0,119,105,,biyombi01
374,Brandon Goodwin,26,CLE,PG,36,5,502,6.4,15.3,.416,1.9,5.5,.345,4.5,9.8,.455,.477,2.4,3.8,.632,1.4,5.3,6.7,9.1,2.5,0.1,3.6,3.9,17.0,104,110,,goodwbr01
375,Zach Collins,24,SAS,C,28,4,502,7.3,14.8,.490,1.3,3.9,.341,5.9,10.9,.544,.535,5.0,6.2,.800,4.4,10.2,14.6,5.8,1.2,2.2,4.3,6.4,20.8,112,109,,colliza01
376,Goran Dragić,35,2TM,PG,21,8,498,5.6,14.8,.377,1.6,6.2,.254,4.0,8.6,.466,.430,2.6,3.2,.818,1.3,5.1,6.4,8.4,1.9,0.4,3.3,4.4,15.4,102,114,,dragigo01
