Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
389,Lester Quiñones,23,GSW,SG,37,0,394,6.9,17.3,.397,3.9,10.8,.364,2.9,6.5,.453,.511,2.5,3.6,.690,2.6,6.3,8.8,4.4,0.7,0.2,2.1,5.4,20.1,113,118,,quinole01
390,Eugene Omoruyi,26,WAS,SF,43,0,393,9.6,19.9,.485,1.5,5.5,.283,8.1,14.4,.562,.524,3.8,5.8,.653,4.2,5.9,10.1,4.2,3.2,0.6,2.5,7.4,24.6,111,116,,omorueu01
391,Matt Ryan,26,NOP,SF,28,1,390,6.2,14.2,.434,5.2,11.4,.451,1.0,2.8,.364,.615,1.6,1.8,.929,0.8,4.3,5.0,2.3,0.8,0.1,2.4,4.0,19.1,113,118,,ryanma01
392,Justin Minaya,24,POR,SF,34,1,381,2.9,9.6,.297,1.6,6.4,.245,1.3,3.2,.400,.378,0.6,1.2,.556,3.9,3.4,7.3,2.7,1.2,1.3,1.2,4.5,7.9,100,120,,minayju01
393,Johnny Juzang,22,UTA,SG,20,5,372,6.6,14.3,.464,4.2,10.0,.416,2.5,4.3,.576,.609,1.3,1.8,.714,0.9,3.8,4.7,3.0,0.5,0.3,1.7,3.8,18.7,120,125,,juzanjo01
394,Noah Clowney,19,BRK,PF,23,4,370,6.7,12.4,.538,1.6,4.4,.364,5.1,8.0,.633,.602,2.8,4.0,.700,3.5,7.4,10.8,2.4,1.1,2.1,2.0,3.3,17.8,122,115,,clownno01
395,Tosan Evbuomwan,22,2TM,SF,17,8,367,4.7,9.3,.507,1.6,4.2,.375,3.2,5.1,.615,.592,2.2,3.3,.680,2.4,5.5,7.9,2.1,0.8,0.7,1.2,3.0,13.3,123,120,,evbuoto01
396,Ousmane Dieng,20,OKC,PF,33,0,365,6.5,15.3,.422,2.8,9.2,.300,3.7,6.1,.609,.513,1.8,2.1,.875,1.3,5.4,6.7,4.9,1.1,0.7,2.5,2.9,17.5,107,115,,diengou01
397,Jontay Porter,24,TOR,PF,26,5,360,5.4,14.0,.385,2.7,8.0,.333,2.7,5.9,.455,.481,2.0,2.4,.833,3.5,7.5,11.0,8.0,2.7,2.7,2.8,4.7,15.4,112,114,,portejo01
398,Ben Simmons,27,BRK,PG,15,12,359,5.9,10.2,.581,0.0,0.0,,5.9,10.2,.581,.581,0.8,2.1,.400,4.3,12.1,16.4,11.9,1.7,1.2,3.7,5.0,12.7,121,112,,simmobe01
399,Brandon Boston Jr.,22,LAC,SF,32,0,345,9.3,23.0,.404,2.0,7.4,.269,7.3,15.6,.468,.447,3.3,4.7,.697,2.7,4.7,7.4,1.9,1.6,1.1,3.4,5.7,23.9,93,117,,bostobr01
400,Jarace Walker,20,IND,PF,33,0,340,6.2,15.3,.409,3.1,7.6,.400,3.2,7.6,.418,.509,1.1,1.2,.889,1.7,7.1,8.7,5.6,2.1,1.5,2.4,4.0,16.7,109,116,,walkeja02
401,JaVale McGee,36,SAC,C,46,0,339,11.3,18.9,.598,0.1,1.0,.143,11.2,17.9,.624,.602,3.7,6.4,.578,6.0,12.0,18.1,2.4,2.0,2.9,4.9,6.6,26.5,109,109,,mcgeeja01
402,Olivier-Maxence Prosper,21,DAL,PF,40,1,336,5.7,14.8,.385,1.9,6.4,.289,3.9,8.4,.458,.447,4.0,5.9,.683,3.6,7.7,11.3,3.1,1.0,0.6,1.1,2.9,17.3,113,116,,prospol01
