Rank,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
22,Gradey Dick,Oct 25 '23 TOR vs. MIN,20,1,60,1268,189,445,88,241,44,51,27,132,68,34,2,50,87,510,.425,.365,.863,21.1,8.5,2.2,1.1,0.6,0.0,dickgr01
23,Henri Drell,Mar 14 '24 CHI vs. LAC,23,1,4,30,4,10,2,6,1,2,1,4,4,2,1,2,6,11,.400,.333,.500,7.5,2.8,1.0,1.0,0.5,0.3,drellhe01
24,Tosan Evbuomwan,Feb 2 '24 MEM vs. GSW,22,1,17,367,36,71,12,32,17,25,18,60,16,6,5,9,23,101,.507,.375,.680,21.6,5.9,3.5,0.9,0.4,0.3,evbuoto01
25,Adam Flagler,Feb 23 '24 OKC vs. WAS,24,1,2,14,1,7,1,6,0,0,0,0,4,0,0,0,0,3,.143,.167,,7.0,1.5,0.0,2.0,0.0,0.0,flaglad01
26,Jordan Ford,Oct 25 '23 SAC @ UTA,25,1,6,22,4,7,2,3,2,2,0,2,2,0,0,1,0,12,.571,.667,1.000,3.7,2.0,0.3,0.3,0.0,0.0,fordjo01
27,Javon Freeman-Liberty,Jan 17 '24 TOR vs. MIA,24,1,22,403,55,124,10,42,33,36,16,70,40,10,4,25,28,153,.444,.238,.917,18.3,7.0,3.2,1.8,0.5,0.2,freemja01
28,Alex Fudge,Nov 4 '23 LAL @ ORL,20,1,6,40,6,15,1,5,2,2,4,5,0,3,0,2,2,15,.400,.200,1.000,6.7,2.5,0.8,0.0,0.5,0.0,fudgeal01
29,Andrew Funk,Mar 14 '24 CHI vs. LAC,24,1,5,13,0,4,0,3,0,0,0,0,0,1,1,0,0,0,.000,.000,,2.6,0.0,0.0,0.0,0.2,0.2,funkan01
30,Kaiser Gates,Oct 30 '23 NOP vs. GSW,27,1,1,7,0,4,0,2,0,0,0,1,0,0,0,0,0,0,.000,.000,,7.0,0.0,1.0,0.0,0.0,0.0,gateska01
31,Keyonte George,Oct 25 '23 UTA vs. SAC,20,1,75,2023,319,815,147,440,189,223,15,211,332,36,7,188,91,974,.391,.334,.848,27.0,13.0,2.8,4.4,0.5,0.1,georgke01
32,Collin Gillespie,Oct 24 '23 DEN vs. LAL,24,1,24,225,32,69,15,38,8,12,1,21,27,13,0,14,24,87,.464,.395,.667,9.4,3.6,0.9,1.1,0.5,0.0,gilleco01
33,Mouhamadou Gueye,Feb 12 '24 TOR vs. SAS,25,1,11,120,11,38,0,3,4,9,12,23,5,3,18,12,15,26,.289,.000,.444,10.9,2.4,2.1,0.5,0.3,1.6,gueyemo01
34,Mouhamed Gueye,Oct 29 '23 ATL @ MIL,21,1,6,73,8,23,3,9,5,6,10,22,4,5,4,1,13,24,.348,.333,.833,12.2,4.0,3.7,0.7,0.8,0.7,gueyemo02
35,Jordan Hawkins,Oct 25 '23 NOP @ MEM,21,1,67,1160,174,456,109,298,67,80,29,148,70,19,7,40,72,524,.382,.366,.838,17.3,7.8,2.2,1.0,0.3,0.1,hawkijo01
36,Scoot Henderson,Oct 25 '23 POR @ LAC,19,1,62,1765,307,797,87,268,167,204,53,194,336,48,13,212,195,868,.385,.325,.819,28.5,14.0,3.1,5.4,0.8,0.2,hendesc01
37,Taylor Hendricks,Oct 25 '23 UTA vs. SAC,20,1,40,856,108,240,53,140,23,29,46,185,32,28,30,27,77,292,.450,.379,.793,21.4,7.3,4.6,0.8,0.7,0.8,hendrta01
38,D'Moi Hodge,Nov 4 '23 LAL @ ORL,25,1,7,41,5,15,3,12,1,2,0,0,5,1,1,1,4,14,.333,.250,.500,5.9,2.0,0.0,0.7,0.1,0.1,hodgedm01
39,Chet Holmgren,Oct 25 '23 OKC @ CHI,21,1,82,2413,505,953,129,349,218,275,129,648,200,53,190,131,197,1357,.530,.370,.793,29.4,16.5,7.9,2.4,0.6,2.3,holmgch01
40,Jalen Hood-Schifino,Nov 27 '23 LAL @ PHI,20,1,21,109,10,45,2,15,12,20,2,13,8,3,2,9,13,34,.222,.133,.600,5.2,1.6,0.6,0.4,0.1,0.1,hoodsja01
41,Jett Howard,Oct 25 '23 ORL vs. HOU,20,1,18,67,10,30,7,25,2,4,1,7,6,2,2,3,4,29,.333,.280,.500,3.7,1.6,0.4,0.3,0.1,0.1,howarje01
42,Matthew Hurt,Jan 29 '24 MEM vs. SAC,23,1,8,113,12,34,5,20,3,3,9,16,4,3,3,2,8,32,.353,.250,1.000,14.1,4.0,2.0,0.5,0.4,0.4,hurtma01
43,Andre Jackson Jr.,Oct 29 '23 MIL vs. ATL,22,1,57,572,50,100,17,46,8,11,43,113,50,16,6,28,92,125,.500,.370,.727,10.0,2.2,2.0,0.9,0.3,0.1,jacksan01
44,GG Jackson II,Oct 30 '23 MEM vs. DAL,19,1,48,1233,241,563,102,286,115,153,53,196,59,28,24,65,64,699,.428,.357,.752,25.7,14.6,4.1,1.2,0.6,0.5,jacksgg01
45,Trayce Jackson-Davis,Oct 27 '23 GSW @ SAC,23,1,68,1130,233,332,0,1,74,132,135,341,82,29,76,49,108,540,.702,.000,.561,16.6,7.9,5.0,1.2,0.4,1.1,jackstr02
46,Jaime Jaquez Jr.,Oct 25 '23 MIA vs. DET,22,1,75,2113,341,697,65,202,142,175,82,285,195,77,20,110,167,889,.489,.322,.811,28.2,11.9,3.8,2.6,1.0,0.3,jaqueja01
47,Trey Jemison,Jan 24 '24 WAS vs. MIN,24,1,25,573,75,136,0,0,21,25,64,134,27,12,28,34,69,171,.551,,.840,22.9,6.8,5.4,1.1,0.5,1.1,jemistr01
48,Keyontae Johnson,Oct 29 '23 OKC vs. DEN,23,1,9,66,5,16,1,3,0,0,4,10,4,1,0,4,5,11,.313,.333,,7.3,1.2,1.1,0.4,0.1,0.0,johnske08
49,Colby Jones,Oct 25 '23 SAC @ UTA,21,1,30,192,28,71,2,22,6,11,17,40,20,7,5,10,29,64,.394,.091,.545,6.4,2.1,1.3,0.7,0.2,0.2,jonesco02
50,Maxwell Lewis,Oct 24 '23 LAL @ DEN,21,1,34,103,4,21,1,9,2,3,2,4,6,2,1,10,5,11,.190,.111,.667,3.0,0.3,0.1,0.2,0.1,0.0,lewisma05
51,E.J. Liddell,Oct 28 '23 NOP vs. NYK,23,1,8,23,1,6,0,5,2,2,0,5,1,2,2,2,2,4,.167,.000,1.000,2.9,0.5,0.6,0.1,0.3,0.3,liddeej01
52,Dereck Lively II,Oct 25 '23 DAL @ SAS,19,1,55,1294,221,296,0,2,41,81,135,378,60,36,77,50,144,483,.747,.000,.506,23.5,8.8,6.9,1.1,0.7,1.4,livelde01
53,Chris Livingston,Nov 1 '23 MIL @ TOR,20,1,21,90,11,22,1,5,3,4,3,21,5,2,0,5,15,26,.500,.200,.750,4.3,1.2,1.0,0.2,0.1,0.0,livinch01
54,Seth Lundy,Dec 15 '23 ATL @ TOR,23,1,9,52,4,17,3,13,3,4,1,7,0,0,0,1,6,14,.235,.231,.750,5.8,1.6,0.8,0.0,0.0,0.0,lundyse01
55,Nathan Mensah,Dec 15 '23 CHO vs. NOP,25,1,25,307,12,28,0,0,9,12,29,65,9,6,14,14,64,33,.429,,.750,12.3,1.3,2.6,0.4,0.2,0.6,mensana01
56,Vasilije Micić,Oct 27 '23 OKC @ CLE,30,1,60,1176,159,370,43,154,61,75,14,88,262,31,7,99,68,422,.430,.279,.813,19.6,7.0,1.5,4.4,0.5,0.1,micicva01
57,Brandon Miller,Oct 25 '23 CHO vs. ATL,21,1,74,2383,476,1083,184,493,143,173,60,315,175,66,42,132,184,1279,.440,.373,.827,32.2,17.3,4.3,2.4,0.9,0.6,millebr02
58,Jordan Miller,Oct 25 '23 LAC vs. POR,24,1,8,28,5,9,1,2,2,2,3,5,0,0,0,1,2,13,.556,.500,1.000,3.5,1.6,0.6,0.0,0.0,0.0,millejo02
59,Leonard Miller,Oct 28 '23 MIN vs. MIA,20,1,17,52,13,20,2,5,1,2,5,20,8,2,1,1,5,29,.650,.400,.500,3.1,1.7,1.2,0.5,0.1,0.1,millele01
60,Dariq Whitehead,Nov 25 '23 BRK vs. MIA,19,1,2,24,1,5,0,3,1,2,0,4,3,0,1,0,0,3,.200,.000,.500,12.0,1.5,2.0,1.5,0.0,0.5,whiteda01
61,Taze Moore,Jan 21 '24 POR @ LAL,25,1,4,40,8,19,1,7,1,2,4,8,5,2,0,3,4,18,.421,.143,.500,10.0,4.5,2.0,1.3,0.5,0.0,mooreta02
62,Kris Murray,Oct 25 '23 POR @ LAC,23,1,62,1348,145,366,49,183,37,56,85,224,80,53,21,55,92,376,.396,.268,.661,21.7,6.1,3.6,1.3,0.9,0.3,murrakr01
63,Pete Nance,Jan 20 '24 CLE @ ATL,23,1,8,27,1,6,1,1,0,2,0,3,0,1,0,1,2,3,.167,1.000,.000,3.4,0.4,0.4,0.0,0.1,0.0,nancepe01
64,Markquis Nowell,Nov 15 '23 TOR vs. MIL,24,1,1,4,0,1,0,0,2,2,2,2,2,1,0,0,0,2,.000,,1.000,4.0,2.0,2.0,2.0,1.0,0.0,nowelma01
65,Mãozinha Pereira,Mar 20 '24 MEM @ GSW,23,1,7,122,18,35,5,13,7,10,11,37,2,6,4,5,10,48,.514,.385,.700,17.4,6.9,5.3,0.3,0.9,0.6,pereima01
66,Drew Peterson,Dec 23 '23 BOS @ LAC,24,1,3,23,4,6,3,5,0,0,0,1,1,2,0,1,1,11,.667,.600,,7.7,3.7,0.3,0.3,0.7,0.0,peterdr01
67,Filip Petrušev,Oct 29 '23 PHI vs. POR,23,1,3,10,1,2,0,0,1,2,0,1,0,0,0,0,1,3,.500,,.500,3.3,1.0,0.3,0.0,0.0,0.0,petrufi01
68,Julian Phillips,Oct 25 '23 CHI vs. OKC,20,1,40,323,32,77,12,38,13,19,12,36,13,7,7,10,40,89,.416,.316,.684,8.1,2.2,0.9,0.3,0.2,0.2,phillju01
69,Jalen Pickett,Oct 24 '23 DEN vs. LAL,24,1,27,122,15,35,9,25,3,4,1,14,21,4,0,9,13,42,.429,.360,.750,4.5,1.6,0.5,0.8,0.1,0.0,pickeja02
70,Brandin Podziemski,Oct 30 '23 GSW @ NOP,20,1,74,1968,271,597,90,234,50,79,118,427,273,61,14,88,122,682,.454,.385,.633,26.6,9.2,5.8,3.7,0.8,0.2,podzibr01
71,Craig Porter Jr.,Oct 28 '23 CLE vs. IND,23,1,51,649,116,228,12,34,41,56,21,109,118,21,15,45,40,285,.509,.353,.732,12.7,5.6,2.1,2.3,0.4,0.3,portecr01
72,Olivier-Maxence Prosper,Nov 3 '23 DAL @ DEN,21,1,40,336,40,104,13,45,28,41,25,79,22,7,4,8,20,121,.385,.289,.683,8.4,3.0,2.0,0.6,0.2,0.1,prospol01
73,Duop Reath,Nov 12 '23 POR @ LAL,27,1,68,1214,230,499,88,245,69,93,93,250,67,33,38,52,161,617,.461,.359,.742,17.9,9.1,3.7,1.0,0.5,0.6,reathdu01
74,Rayan Rupert,Oct 25 '23 POR @ LAC,19,1,39,633,54,161,28,78,19,25,24,92,62,12,3,31,56,155,.335,.359,.760,16.2,4.0,2.4,1.6,0.3,0.1,ruperra01
75,Jermaine Samuels,Oct 25 '23 HOU @ ORL,25,1,14,60,9,14,0,2,2,2,3,13,3,1,2,0,5,20,.643,.000,1.000,4.3,1.4,0.9,0.2,0.1,0.1,samueje01
76,Adama Sanogo,Dec 28 '23 CHI vs. IND,21,1,9,66,14,27,0,0,8,12,19,36,0,1,0,5,5,36,.519,,.667,7.3,4.0,4.0,0.0,0.1,0.0,sanogad01
77,Gui Santos,Nov 16 '23 GSW vs. OKC,21,1,23,192,28,55,10,27,16,17,17,49,14,4,2,7,23,82,.509,.370,.941,8.3,3.6,2.1,0.6,0.2,0.1,santogu01
78,Marcus Sasser,Oct 25 '23 DET @ MIA,23,1,71,1351,219,512,90,240,58,66,11,125,236,44,12,90,103,586,.428,.375,.879,19.0,8.3,1.8,3.3,0.6,0.2,sassema01
79,Brice Sensabaugh,Oct 25 '23 UTA vs. SAC,20,1,32,584,85,218,34,115,37,41,16,102,55,13,6,47,43,241,.390,.296,.902,18.3,7.5,3.2,1.7,0.4,0.2,sensabr01
80,Ben Sheppard,Oct 25 '23 IND vs. WAS,22,1,57,814,90,229,49,156,23,26,15,89,53,33,2,15,88,252,.393,.314,.885,14.3,4.4,1.6,0.9,0.6,0.0,sheppbe01
81,Dmytro Skapintsev,Dec 23 '23 NYK vs. MIL,25,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,1.0,0.0,0.0,0.0,0.0,0.0,skapidm01
82,Jalen Slawson,Nov 15 '23 SAC @ LAL,24,1,12,37,4,6,0,2,0,0,1,7,2,1,1,2,8,8,.667,.000,,3.1,0.7,0.6,0.2,0.1,0.1,slawsja01
83,Nick Smith Jr.,Oct 25 '23 CHO vs. ATL,19,1,51,729,113,289,63,146,13,15,18,72,59,10,7,39,55,302,.391,.432,.867,14.3,5.9,1.4,1.2,0.2,0.1,smithni01
84,Terquavion Smith,Jan 19 '24 PHI @ ORL,21,1,16,84,18,46,13,35,3,5,0,4,12,8,0,7,8,52,.391,.371,.600,5.3,3.3,0.3,0.8,0.5,0.0,smithte01
85,Pat Spencer,Feb 25 '24 GSW vs. DEN,27,1,6,26,2,4,0,2,0,0,2,4,5,0,0,1,1,4,.500,.000,,4.3,0.7,0.7,0.8,0.0,0.0,spencpa01
86,Julian Strawther,Oct 27 '23 DEN @ MEM,21,1,50,545,82,222,41,138,22,31,5,61,47,17,7,23,54,227,.369,.297,.710,10.9,4.5,1.2,0.9,0.3,0.1,strawju01
87,Amen Thompson,Oct 25 '23 HOU @ ORL,21,1,62,1388,239,446,8,58,106,155,148,409,163,78,38,90,141,592,.536,.138,.684,22.4,9.5,6.6,2.6,1.3,0.6,thompam01
88,Ausar Thompson,Oct 25 '23 DET @ MIA,21,1,63,1583,232,480,21,113,71,119,129,402,120,68,59,84,175,556,.483,.186,.597,25.1,8.8,6.4,1.9,1.1,0.9,thompau01
89,Jacob Toppin,Dec 5 '23 NYK @ MIL,23,1,9,38,5,9,1,4,2,2,3,7,3,0,1,1,3,13,.556,.250,1.000,4.2,1.4,0.8,0.3,0.0,0.1,toppija01
90,Oscar Tshiebwe,Dec 9 '23 IND @ LAL,24,1,8,42,10,20,0,0,6,8,8,16,2,2,1,0,3,26,.500,,.750,5.3,3.3,2.0,0.3,0.3,0.1,tshieos01
91,Hunter Tyson,Oct 29 '23 DEN @ OKC,23,1,18,48,8,20,4,14,0,0,1,9,2,1,0,2,10,20,.400,.286,,2.7,1.1,0.5,0.1,0.1,0.0,tysonhu01
92,Sasha Vezenkov,Oct 25 '23 SAC @ UTA,28,1,42,511,84,191,45,120,12,15,30,96,19,20,7,12,42,225,.440,.375,.800,12.2,5.4,2.3,0.5,0.5,0.2,vezenal01
93,Tristan Vukcevic,Mar 23 '24 WAS vs. TOR,20,1,10,153,29,67,10,36,17,22,6,36,13,5,7,10,28,85,.433,.278,.773,15.3,8.5,3.6,1.3,0.5,0.7,vukcetr01
94,Jarace Walker,Oct 25 '23 IND vs. WAS,20,1,33,340,45,110,22,55,8,9,12,63,40,15,11,17,29,120,.409,.400,.889,10.3,3.6,1.9,1.2,0.5,0.3,walkeja02
95,Cason Wallace,Oct 25 '23 OKC @ CHI,20,1,82,1692,217,442,98,234,29,37,52,187,120,76,37,45,129,561,.491,.419,.784,20.6,6.8,2.3,1.5,0.9,0.5,wallaca01
96,Jordan Walsh,Jan 17 '24 BOS vs. SAS,19,1,9,83,6,15,2,9,1,2,5,20,5,5,1,3,11,15,.400,.222,.500,9.2,1.7,2.2,0.6,0.6,0.1,walshjo01
97,Victor Wembanyama,Oct 25 '23 SAS vs. DAL,20,1,71,2106,551,1186,128,394,292,367,161,755,274,88,254,260,153,1522,.465,.325,.796,29.7,21.4,10.6,3.9,1.2,3.6,wembavi01
98,Cam Whitmore,Oct 25 '23 HOU @ ORL,19,1,47,880,212,467,79,220,76,112,44,180,33,30,17,46,64,579,.454,.359,.679,18.7,12.3,3.8,0.7,0.6,0.4,whitmca01
99,Malik Williams,Apr 3 '24 TOR @ MIN,25,1,7,107,9,34,1,5,0,2,15,38,2,3,4,3,15,19,.265,.200,.000,15.3,2.7,5.4,0.3,0.4,0.6,willima11
100,Jalen Wilson,Nov 1 '23 BRK @ MIA,23,1,43,664,76,179,24,74,38,46,47,131,45,11,4,19,48,214,.425,.324,.826,15.4,5.0,3.0,1.0,0.3,0.1,wilsoja03
101,Isaiah Wong,Dec 9 '23 IND @ LAL,23,1,1,4,1,3,0,1,0,0,0,0,0,0,0,0,0,2,.333,.000,,4.0,2.0,0.0,0.0,0.0,0.0,wongis01
