Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on 0-3,FG% on 3-10,FG% on 10-16,FG% on 16-3P,FG% on 3P,%of 2P assisted,%of 3P assisted,%FGA that were dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Garrison Mathews,24,WAS,SG,64,24,1038,0.409,0.165,0.042,0.055,0.021,0.046,0.835,0.538,0.9,0.308,0.4,0.545,0.384,0.619,0.934,0.004,1,0.323,0.484,mathega01
Denzel Valentine,27,CHI,SG,62,3,1036,0.373,0.418,0.087,0.12,0.154,0.058,0.582,0.431,0.611,0.4,0.359,0.417,0.331,0.4,0.9,0.005,2,0.227,0.364,valende01
Wayne Ellington,33,DET,SG,46,31,1012,0.441,0.186,0.074,0.033,0.036,0.044,0.814,0.524,0.6,0.636,0.417,0.4,0.422,0.758,0.957,0,0,0.204,0.321,ellinwa01
Nickeil Alexander-Walker,22,NOP,SG,46,13,1007,0.419,0.522,0.236,0.164,0.041,0.081,0.478,0.485,0.481,0.52,0.421,0.459,0.347,0.345,0.921,0.015,7,0.283,0.387,alexani01
Stanley Johnson,24,TOR,PF,61,13,1006,0.382,0.412,0.193,0.159,0.043,0.017,0.588,0.458,0.489,0.486,0.4,0,0.328,0.318,0.956,0.017,4,0.314,0.349,johnsst04
Cody Zeller,28,CHA,C,48,21,1005,0.559,0.914,0.605,0.269,0.028,0.012,0.086,0.598,0.684,0.414,0.556,0.5,0.143,0.751,1,0.173,52,0.179,0,zelleco01
Marc Gasol,36,LAL,C,52,42,993,0.454,0.371,0.093,0.134,0.119,0.026,0.629,0.528,0.778,0.5,0.391,0.4,0.41,0.737,0.98,0.015,3,0.082,0.5,gasolma01
Tony Snell,29,ATL,SG,47,23,992,0.515,0.363,0.076,0.152,0.111,0.023,0.637,0.419,0.615,0.346,0.421,0.25,0.569,0.654,0.984,0.012,2,0.45,0.551,snellto01
Jordan Poole,21,GSW,SG,51,7,988,0.432,0.418,0.148,0.133,0.082,0.055,0.582,0.545,0.743,0.46,0.436,0.385,0.351,0.611,0.897,0.023,11,0.109,0.6,poolejo01
James Ennis III,30,ORL,SF,41,37,986,0.473,0.572,0.251,0.222,0.066,0.033,0.428,0.504,0.639,0.352,0.5,0.5,0.433,0.586,0.933,0.041,9,0.24,0.48,ennisja01
Robert Williams,23,BOS,C,52,13,985,0.721,0.992,0.643,0.244,0.054,0.05,0.008,0.727,0.801,0.651,0.643,0.231,0,0.737,0,0.388,93,0,0,williro04
Aron Baynes,34,TOR,C,53,31,980,0.441,0.661,0.385,0.181,0.056,0.039,0.339,0.532,0.59,0.473,0.471,0.333,0.262,0.738,1,0.118,31,0.155,0.188,baynear01
Alex Len,27,TOT,C,64,42,979,0.615,0.91,0.432,0.432,0.047,0,0.09,0.644,0.792,0.55,0.154,0,0.32,0.755,1,0.281,75,0.64,0.313,lenal01
DeAndre' Bembry,26,TOR,SF,51,12,972,0.513,0.768,0.377,0.342,0.035,0.013,0.232,0.589,0.767,0.436,0.375,0,0.264,0.583,0.929,0.132,23,0.226,0.333,bembrde01
Dwight Powell,29,DAL,C,58,19,966,0.619,0.892,0.737,0.144,0.01,0,0.108,0.665,0.755,0.25,0,0,0.238,0.843,1,0.34,58,0,0,poweldw01
Jaxson Hayes,20,NOP,C,60,3,964,0.625,0.95,0.646,0.232,0.05,0.021,0.05,0.635,0.724,0.492,0.214,0.5,0.429,0.763,1,0.268,71,0.357,0.4,hayesja02
Serge Ibaka,31,LAC,C,41,39,955,0.51,0.685,0.244,0.268,0.085,0.088,0.315,0.588,0.753,0.469,0.484,0.594,0.339,0.673,1,0.082,25,0.043,0.2,ibakase01
Semi Ojeleye,26,BOS,PF,56,15,950,0.403,0.285,0.1,0.109,0.054,0.023,0.715,0.492,0.636,0.542,0.25,0.2,0.367,0.613,0.983,0.027,6,0.462,0.342,ojelese01
Jeff Teague,32,TOT,PG,55,7,950,0.433,0.711,0.19,0.324,0.116,0.081,0.289,0.431,0.648,0.38,0.394,0.174,0.439,0.161,0.639,0.007,1,0.183,0.4,teaguje01
Rodney Hood,28,TOT,SF,55,5,942,0.362,0.565,0.092,0.162,0.192,0.119,0.435,0.408,0.583,0.286,0.42,0.419,0.301,0.3,0.794,0.012,2,0.363,0.244,hoodro01
Jordan McLaughlin,24,MIN,PG,51,2,938,0.413,0.62,0.351,0.223,0.037,0.008,0.38,0.447,0.518,0.333,0.556,0,0.359,0.373,0.909,0.025,4,0.25,0.304,mclaujo01
Taj Gibson,35,NYK,C,45,3,936,0.627,0.905,0.601,0.184,0.082,0.038,0.095,0.671,0.789,0.414,0.538,0.333,0.2,0.604,1,0.165,23,0.467,0.286,gibsota01
Tyrese Maxey,20,PHI,SG,61,8,935,0.462,0.76,0.268,0.233,0.128,0.131,0.24,0.512,0.591,0.46,0.582,0.375,0.301,0.383,0.806,0.019,8,0.126,0.154,maxeyty01
