Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on 0-3,FG% on 3-10,FG% on 10-16,FG% on 16-3P,FG% on 3P,%of 2P assisted,%of 3P assisted,%FGA that were dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Eric Bledsoe,31,NOP,SG,71,70,2111,0.421,0.514,0.159,0.167,0.11,0.078,0.486,0.496,0.681,0.393,0.425,0.439,0.341,0.489,0.86,0,0,0.22,0.346,bledser01
Harrison Barnes,28,SAC,PF,58,58,2102,0.497,0.601,0.307,0.248,0.044,0.003,0.399,0.567,0.721,0.415,0.393,0,0.391,0.584,0.88,0.059,35,0.223,0.491,barneha02
Brandon Ingram,23,NOP,SF,61,61,2093,0.466,0.659,0.144,0.115,0.224,0.176,0.341,0.51,0.677,0.417,0.449,0.51,0.381,0.368,0.79,0.027,26,0.165,0.306,ingrabr01
DeMar DeRozan,31,SAS,PF,61,61,2056,0.495,0.92,0.191,0.268,0.282,0.178,0.08,0.515,0.636,0.51,0.459,0.482,0.257,0.248,0.947,0.021,17,0.324,0.292,derozde01
Ja Morant,21,MEM,PG,63,63,2053,0.449,0.748,0.335,0.261,0.132,0.02,0.252,0.499,0.632,0.372,0.437,0.316,0.303,0.294,0.603,0.06,46,0.104,0.24,moranja01
Jae'Sean Tate,25,HOU,SF,70,58,2043,0.506,0.688,0.405,0.253,0.019,0.011,0.312,0.595,0.719,0.449,0.083,0.286,0.308,0.539,0.95,0.05,27,0.405,0.329,tateja01
De'Aaron Fox,23,SAC,PG,58,58,2036,0.477,0.712,0.233,0.232,0.151,0.095,0.288,0.539,0.761,0.426,0.482,0.362,0.322,0.16,0.524,0.015,17,0.094,0.367,foxde01
Zach LaVine,25,CHI,SG,58,58,2034,0.507,0.575,0.31,0.093,0.061,0.11,0.425,0.571,0.693,0.362,0.478,0.46,0.419,0.355,0.515,0.05,53,0.145,0.478,lavinza01
Zion Williamson,20,NOP,PF,61,61,2026,0.611,0.967,0.696,0.257,0.012,0.002,0.033,0.622,0.701,0.419,0.5,0,0.294,0.553,1,0.13,123,0.029,1,willizi01
Tobias Harris,28,PHI,PF,62,62,2014,0.512,0.775,0.22,0.313,0.144,0.098,0.225,0.546,0.709,0.474,0.511,0.462,0.394,0.358,0.817,0.043,35,0.202,0.452,harrito02
Giannis Antetokounmpo,26,MIL,PF,61,61,2013,0.569,0.799,0.451,0.193,0.094,0.062,0.201,0.636,0.837,0.401,0.359,0.324,0.303,0.428,0.299,0.169,178,0.045,0.3,antetgi01
Pascal Siakam,26,TOR,PF,56,56,2006,0.455,0.744,0.241,0.324,0.091,0.088,0.256,0.509,0.69,0.424,0.425,0.412,0.297,0.341,0.836,0.041,36,0.215,0.283,siakapa01
Jaylen Brown,24,BOS,SG,58,58,1999,0.484,0.63,0.195,0.239,0.11,0.086,0.37,0.536,0.7,0.442,0.484,0.49,0.397,0.453,0.798,0.024,23,0.158,0.4,brownja02
Dillon Brooks,25,MEM,SF,67,67,1997,0.419,0.639,0.155,0.167,0.229,0.088,0.361,0.461,0.606,0.395,0.411,0.462,0.344,0.513,0.867,0.028,29,0.159,0.559,brookdi01
Kelly Olynyk,29,TOT,PF,70,62,1997,0.484,0.472,0.286,0.135,0.03,0.022,0.528,0.641,0.769,0.479,0.286,0.467,0.342,0.739,0.937,0.032,20,0.158,0.276,olynyke01
Tim Hardaway Jr.,28,DAL,SG,70,31,1985,0.447,0.419,0.158,0.099,0.075,0.088,0.581,0.524,0.715,0.4,0.426,0.4,0.391,0.545,0.841,0.036,28,0.185,0.388,hardati02
Patrick Williams,19,CHI,PF,71,71,1983,0.483,0.739,0.29,0.178,0.133,0.138,0.261,0.515,0.673,0.394,0.443,0.411,0.391,0.736,0.981,0.102,51,0.413,0.421,willipa01
Draymond Green,30,GSW,PF,63,63,1982,0.447,0.668,0.347,0.218,0.05,0.053,0.332,0.535,0.667,0.458,0.211,0.3,0.27,0.618,0.971,0.076,27,0.127,0.375,greendr01
Keldon Johnson,21,SAS,SF,69,67,1968,0.479,0.743,0.391,0.277,0.045,0.03,0.257,0.531,0.652,0.374,0.5,0.429,0.331,0.673,0.917,0.047,27,0.238,0.279,johnske04
Dennis Schröder,27,LAL,SG,61,61,1956,0.437,0.721,0.25,0.216,0.17,0.086,0.279,0.476,0.6,0.366,0.457,0.431,0.335,0.318,0.887,0.005,1,0.142,0.167,schrode01
Kyle Kuzma,25,LAL,SF,68,32,1954,0.443,0.498,0.24,0.124,0.063,0.07,0.502,0.525,0.687,0.394,0.292,0.415,0.361,0.545,0.927,0.048,29,0.295,0.357,kuzmaky01
P.J. Washington,22,CHA,PF,64,61,1954,0.44,0.577,0.283,0.233,0.036,0.025,0.423,0.48,0.613,0.375,0.28,0.235,0.386,0.805,0.946,0.087,48,0.224,0.415,washipj01
Reggie Bullock,29,NYK,SF,65,64,1949,0.442,0.291,0.087,0.052,0.061,0.091,0.709,0.521,0.633,0.379,0.5,0.51,0.41,0.859,0.975,0.002,1,0.317,0.468,bullore01
Danny Green,33,PHI,SF,69,69,1934,0.412,0.206,0.059,0.072,0.042,0.033,0.794,0.438,0.5,0.333,0.565,0.389,0.405,0.673,0.92,0.004,2,0.456,0.442,greenda02
Miles Bridges,22,CHA,PF,66,19,1932,0.503,0.534,0.338,0.141,0.019,0.035,0.466,0.593,0.729,0.42,0.167,0.227,0.4,0.716,0.819,0.145,82,0.324,0.436,bridgmi02
Malcolm Brogdon,28,IND,PG,56,56,1930,0.453,0.618,0.309,0.111,0.081,0.117,0.382,0.493,0.554,0.404,0.443,0.452,0.388,0.247,0.662,0.009,8,0.107,0.475,brogdma01
Dorian Finney-Smith,27,DAL,PF,60,60,1921,0.472,0.352,0.234,0.086,0.013,0.019,0.648,0.616,0.752,0.375,0.5,0.111,0.394,0.614,0.966,0.067,26,0.44,0.368,finnedo01
Michael Porter Jr.,22,DEN,SF,61,54,1912,0.542,0.532,0.226,0.131,0.073,0.102,0.468,0.628,0.838,0.486,0.417,0.494,0.445,0.714,0.918,0.095,75,0.23,0.489,portemi01
Saddiq Bey,21,DET,SF,70,53,1909,0.404,0.334,0.158,0.097,0.049,0.03,0.666,0.45,0.596,0.313,0.294,0.381,0.38,0.49,0.926,0.035,22,0.228,0.39,beysa01
Jrue Holiday,30,MIL,PG,59,56,1907,0.503,0.656,0.279,0.199,0.108,0.069,0.344,0.561,0.704,0.433,0.528,0.404,0.392,0.33,0.541,0.01,6,0.177,0.36,holidjr01
Brook Lopez,32,MIL,C,70,70,1902,0.503,0.561,0.263,0.211,0.064,0.023,0.439,0.632,0.774,0.511,0.488,0.533,0.338,0.692,0.958,0.111,66,0.27,0.408,lopezbr01
Kentavious Caldwell-Pope,27,LAL,SG,67,67,1902,0.431,0.421,0.204,0.073,0.042,0.103,0.579,0.46,0.602,0.378,0.238,0.327,0.41,0.816,0.95,0.018,7,0.396,0.431,caldwke01
Fred VanVleet,26,TOR,SG,52,52,1899,0.389,0.453,0.174,0.115,0.069,0.095,0.547,0.416,0.53,0.26,0.433,0.386,0.366,0.305,0.661,0,0,0.107,0.255,vanvlfr01
Clint Capela,26,ATL,C,63,63,1898,0.594,1,0.709,0.269,0.017,0.004,0,0.594,0.684,0.385,0.25,0.333,0,0.668,0,0.259,168,0,0,capelca01
Kyle Anderson,27,MEM,PF,69,69,1887,0.468,0.603,0.158,0.22,0.149,0.076,0.397,0.539,0.654,0.497,0.541,0.42,0.36,0.449,0.862,0.012,7,0.425,0.369,anderky01
Kyrie Irving,28,BKN,PG,54,54,1886,0.506,0.652,0.195,0.196,0.159,0.101,0.348,0.561,0.623,0.535,0.52,0.555,0.402,0.234,0.579,0.005,3,0.071,0.37,irvinky01
Ben Simmons,24,PHI,PG,58,58,1877,0.557,0.983,0.527,0.383,0.07,0.003,0.017,0.562,0.687,0.426,0.366,0.5,0.3,0.407,1,0.153,85,0.3,0.333,simmobe01
Joe Ingles,33,UTA,SF,67,30,1867,0.489,0.278,0.105,0.137,0.025,0.011,0.722,0.59,0.729,0.506,0.571,0.333,0.451,0.315,0.716,0.002,1,0.209,0.506,inglejo01
Jarrett Allen,22,TOT,C,63,45,1864,0.618,0.961,0.6,0.276,0.056,0.029,0.039,0.631,0.761,0.436,0.407,0.214,0.316,0.723,1,0.288,127,0.368,0.286,allenja01
Dwayne Bacon,25,ORL,SG,72,50,1853,0.402,0.715,0.236,0.226,0.143,0.11,0.285,0.449,0.579,0.402,0.394,0.338,0.285,0.408,0.593,0.014,8,0.155,0.219,bacondw01
John Collins,23,ATL,PF,63,63,1848,0.556,0.73,0.345,0.204,0.132,0.049,0.27,0.615,0.752,0.459,0.549,0.474,0.399,0.723,0.988,0.147,99,0.255,0.396,collijo01
Jakob Poeltl,25,SAS,C,69,51,1845,0.616,1,0.581,0.333,0.074,0.012,0,0.616,0.72,0.49,0.438,0.2,0,0.755,0,0.1,40,0,0,poeltja01
Jeff Green,34,BKN,PF,68,38,1835,0.492,0.528,0.281,0.149,0.072,0.026,0.472,0.564,0.725,0.329,0.526,0.286,0.412,0.728,0.951,0.077,39,0.42,0.438,greenje02
Nicolas Batum,32,LAC,SF,67,38,1835,0.464,0.34,0.177,0.024,0.053,0.085,0.66,0.579,0.699,0.6,0.455,0.4,0.404,0.778,0.991,0.046,18,0.434,0.432,batumni01
Jerami Grant,26,DET,SF,54,54,1829,0.429,0.647,0.207,0.197,0.1,0.143,0.353,0.473,0.668,0.386,0.366,0.383,0.35,0.537,0.93,0.044,37,0.198,0.369,grantje01
Paul George,30,LAC,SF,54,54,1821,0.467,0.563,0.185,0.146,0.113,0.12,0.437,0.51,0.636,0.403,0.444,0.509,0.411,0.277,0.673,0.024,19,0.18,0.56,georgpa01
Jordan Clarkson,28,UTA,SG,68,1,1818,0.425,0.443,0.09,0.27,0.074,0.008,0.557,0.523,0.67,0.497,0.488,0.111,0.347,0.165,0.63,0.013,11,0.172,0.301,clarkjo01
Donte DiVincenzo,24,MIL,SG,66,66,1814,0.42,0.426,0.257,0.083,0.053,0.033,0.574,0.475,0.574,0.34,0.281,0.35,0.379,0.533,0.779,0.02,8,0.176,0.426,divindo01
Gary Trent Jr.,22,TOT,SG,58,38,1802,0.408,0.454,0.101,0.117,0.113,0.122,0.546,0.435,0.646,0.359,0.393,0.375,0.385,0.484,0.806,0.013,7,0.186,0.425,trentga02
Rui Hachimura,22,WAS,PF,57,57,1797,0.478,0.789,0.221,0.238,0.154,0.176,0.211,0.519,0.748,0.442,0.43,0.412,0.328,0.74,1,0.1,58,0.307,0.286,hachiru01
T.J. McConnell,28,IND,PG,69,3,1796,0.559,0.902,0.331,0.341,0.188,0.043,0.098,0.586,0.654,0.545,0.554,0.524,0.313,0.363,0.8,0,0,0.396,0.421,mccontj01
Josh Richardson,27,DAL,SG,59,56,1790,0.427,0.568,0.16,0.16,0.15,0.097,0.432,0.501,0.677,0.404,0.495,0.383,0.33,0.443,0.83,0.01,5,0.18,0.292,richajo01
Darius Garland,21,CLE,PG,54,50,1790,0.451,0.668,0.238,0.269,0.111,0.05,0.332,0.479,0.586,0.444,0.393,0.35,0.395,0.307,0.705,0.001,1,0.173,0.435,garlada01
Richaun Holmes,27,SAC,C,61,61,1782,0.637,0.981,0.405,0.283,0.257,0.035,0.019,0.645,0.747,0.552,0.622,0.4,0.182,0.816,1,0.165,91,0.182,0,holmeri01
Théo Maledon,19,OKC,PG,65,49,1778,0.368,0.49,0.171,0.164,0.107,0.047,0.51,0.402,0.419,0.376,0.424,0.379,0.335,0.331,0.781,0.003,1,0.128,0.375,maledth01
Kawhi Leonard,29,LAC,SF,52,52,1773,0.512,0.72,0.186,0.188,0.215,0.131,0.28,0.557,0.775,0.52,0.467,0.445,0.398,0.286,0.713,0.069,60,0.169,0.512,leonaka01
Ricky Rubio,30,MIN,PG,68,51,1772,0.388,0.57,0.221,0.149,0.131,0.07,0.43,0.447,0.582,0.338,0.415,0.314,0.308,0.394,0.939,0.002,1,0.327,0.343,rubiori01
Donovan Mitchell,24,UTA,PG,53,53,1771,0.438,0.577,0.157,0.219,0.093,0.108,0.423,0.476,0.608,0.418,0.451,0.424,0.386,0.15,0.5,0.022,14,0.104,0.375,mitchdo01
Enes Freedom,28,POR,C,72,35,1758,0.604,0.993,0.695,0.275,0.016,0.007,0.007,0.607,0.695,0.416,0.222,0.25,0.25,0.459,1,0.032,16,0,0,kanteen01
Jonas Valančiūnas,28,MEM,C,62,61,1755,0.592,0.923,0.46,0.351,0.087,0.024,0.077,0.611,0.69,0.536,0.508,0.556,0.368,0.58,0.857,0.089,61,0.175,0.4,valanjo01
Delon Wright,28,TOT,PG,63,39,1748,0.463,0.668,0.332,0.259,0.064,0.014,0.332,0.509,0.645,0.373,0.364,0.429,0.372,0.301,0.781,0.01,5,0.198,0.353,wrighde01
Lonzo Ball,23,NOP,PG,55,55,1747,0.414,0.35,0.153,0.057,0.063,0.077,0.65,0.482,0.626,0.3,0.386,0.407,0.378,0.415,0.837,0.011,8,0.2,0.396,balllo01
Tyrese Haliburton,20,SAC,PG,58,20,1746,0.472,0.522,0.139,0.17,0.126,0.087,0.478,0.529,0.674,0.514,0.436,0.463,0.409,0.322,0.785,0.029,17,0.27,0.438,halibty01
Jimmy Butler,31,MIA,SF,52,52,1745,0.497,0.861,0.327,0.289,0.166,0.079,0.139,0.538,0.722,0.441,0.426,0.362,0.245,0.358,0.68,0.053,39,0.333,0.265,butleji01
Will Barton,30,DEN,SF,56,52,1736,0.426,0.577,0.227,0.211,0.072,0.067,0.423,0.459,0.63,0.297,0.455,0.39,0.381,0.484,0.745,0.035,19,0.183,0.489,bartowi01
Darius Bazley,20,OKC,PF,55,55,1714,0.396,0.586,0.306,0.197,0.039,0.043,0.414,0.47,0.621,0.287,0.37,0.333,0.29,0.5,0.831,0.072,44,0.217,0.242,bazleda01
Jamal Murray,23,DEN,PG,48,48,1704,0.477,0.601,0.124,0.144,0.145,0.188,0.399,0.523,0.816,0.465,0.496,0.396,0.408,0.333,0.581,0.027,19,0.136,0.488,murraja01
Jalen Brunson,24,DAL,PG,68,12,1697,0.523,0.681,0.214,0.228,0.161,0.078,0.319,0.578,0.799,0.42,0.525,0.551,0.405,0.235,0.864,0.002,0,0.28,0.5,brunsja01
Carmelo Anthony,36,POR,PF,69,3,1690,0.421,0.582,0.062,0.08,0.236,0.205,0.418,0.429,0.5,0.403,0.448,0.396,0.409,0.278,0.782,0.012,8,0.197,0.438,anthoca01
Karl-Anthony Towns,25,MIN,C,50,50,1689,0.486,0.64,0.285,0.238,0.067,0.05,0.36,0.541,0.663,0.476,0.356,0.409,0.387,0.558,0.934,0.061,47,0.079,0.28,townska01
Kelly Oubre Jr.,25,GSW,SF,55,50,1687,0.439,0.606,0.267,0.238,0.062,0.04,0.394,0.519,0.72,0.355,0.422,0.31,0.316,0.675,0.944,0.133,84,0.354,0.386,oubreke01
Patty Mills,32,SAS,PG,68,1,1685,0.412,0.298,0.111,0.057,0.028,0.101,0.702,0.5,0.574,0.457,0.353,0.484,0.375,0.549,0.783,0,0,0.147,0.46,millspa02
Devonte' Graham,25,CHA,PG,55,44,1659,0.377,0.287,0.075,0.052,0.072,0.088,0.713,0.38,0.44,0.286,0.354,0.407,0.375,0.397,0.771,0.001,1,0.103,0.49,grahade01
Thaddeus Young,32,CHI,PF,68,23,1652,0.559,0.932,0.446,0.424,0.044,0.018,0.068,0.58,0.678,0.505,0.414,0.333,0.267,0.57,1,0.038,22,0.489,0.318,youngth01
Kendrick Nunn,25,MIA,PG,56,44,1650,0.485,0.514,0.229,0.12,0.087,0.078,0.486,0.583,0.755,0.405,0.421,0.529,0.381,0.452,0.852,0.021,12,0.188,0.317,nunnke01
Jae Crowder,30,PHX,PF,60,42,1648,0.404,0.228,0.075,0.049,0.03,0.073,0.772,0.455,0.649,0.417,0.267,0.361,0.389,0.804,0.959,0.006,2,0.255,0.402,crowdja01
Seth Curry,30,PHI,SG,57,57,1638,0.467,0.493,0.083,0.111,0.096,0.203,0.507,0.485,0.63,0.426,0.509,0.446,0.45,0.591,0.857,0,0,0.157,0.636,curryse01
Tyler Herro,21,MIA,SG,54,15,1635,0.439,0.575,0.163,0.16,0.109,0.143,0.425,0.498,0.667,0.455,0.408,0.42,0.36,0.46,0.729,0.011,7,0.138,0.463,herroty01
Doug McDermott,29,IND,PF,66,29,1619,0.532,0.57,0.397,0.141,0.018,0.014,0.43,0.641,0.716,0.5,0.417,0.222,0.388,0.774,1,0.041,26,0.231,0.424,mcderdo01
Ivica Zubac,23,LAC,C,72,33,1609,0.652,0.99,0.683,0.287,0.01,0.01,0.01,0.656,0.729,0.504,0.5,0.25,0.25,0.734,1,0.406,139,0,0,zubaciv01
James Harden,31,TOT,PG,44,43,1609,0.466,0.545,0.238,0.257,0.04,0.01,0.455,0.553,0.674,0.455,0.448,0.571,0.362,0.167,0.248,0.007,4,0.045,0.333,hardeja01
Steven Adams,27,NOP,C,58,58,1605,0.614,0.99,0.646,0.276,0.068,0,0.01,0.62,0.693,0.494,0.429,0,0,0.598,0,0.182,51,0,0,adamsst01
Kyle Lowry,34,TOR,PG,46,46,1601,0.436,0.445,0.149,0.129,0.074,0.092,0.555,0.487,0.685,0.364,0.409,0.4,0.396,0.349,0.687,0,0,0.082,0.481,lowryky01
Daniel Theis,28,TOT,C,65,51,1601,0.541,0.674,0.315,0.157,0.124,0.077,0.326,0.646,0.776,0.548,0.5,0.556,0.322,0.818,1,0.165,71,0.217,0.273,theisda01
CJ McCollum,29,POR,SG,47,47,1600,0.458,0.525,0.106,0.152,0.14,0.127,0.475,0.509,0.596,0.455,0.5,0.509,0.402,0.301,0.615,0.003,2,0.143,0.45,mccolcj01
Joel Embiid,26,PHI,C,51,51,1585,0.513,0.829,0.219,0.227,0.246,0.137,0.171,0.541,0.736,0.441,0.48,0.504,0.377,0.429,0.879,0.05,41,0.045,0.571,embiijo01
Marcus Smart,26,BOS,PG,48,45,1581,0.398,0.447,0.129,0.178,0.084,0.055,0.553,0.482,0.515,0.495,0.419,0.464,0.33,0.291,0.871,0.006,1,0.131,0.486,smartma01
Montrezl Harrell,27,LAL,C,69,1,1580,0.622,0.983,0.577,0.259,0.114,0.033,0.017,0.632,0.75,0.506,0.435,0.25,0,0.605,0,0.214,118,0.1,0,harremo01
Pat Connaughton,28,MIL,SG,69,4,1575,0.434,0.297,0.204,0.062,0.013,0.018,0.703,0.583,0.709,0.333,0.4,0.143,0.371,0.791,0.97,0.028,9,0.221,0.383,connapa01
Josh Jackson,23,DET,SG,62,25,1560,0.419,0.636,0.267,0.221,0.064,0.085,0.364,0.487,0.619,0.385,0.333,0.45,0.3,0.457,0.922,0.038,23,0.268,0.319,jacksjo02
Nerlens Noel,26,NYK,C,64,41,1547,0.614,0.987,0.686,0.202,0.081,0.018,0.013,0.623,0.706,0.489,0.278,0.5,0,0.737,0,0.39,76,0.333,0,noelne01
Reggie Jackson,30,LAC,SG,67,43,1544,0.45,0.518,0.188,0.166,0.094,0.07,0.482,0.465,0.609,0.361,0.345,0.488,0.433,0.262,0.844,0.015,8,0.22,0.5,jacksre01
Luguentz Dort,21,OKC,SG,52,52,1543,0.387,0.485,0.233,0.196,0.036,0.02,0.515,0.432,0.564,0.296,0.391,0.308,0.343,0.455,0.894,0.011,7,0.134,0.432,dortlu01
Khem Birch,28,TOT,C,67,22,1529,0.497,0.863,0.342,0.342,0.132,0.047,0.137,0.537,0.692,0.431,0.46,0.389,0.25,0.761,1,0.137,46,0.654,0.294,birchkh01
Garrett Temple,34,CHI,SG,56,25,1528,0.415,0.475,0.236,0.087,0.073,0.079,0.525,0.503,0.611,0.424,0.393,0.367,0.335,0.67,0.955,0.003,0,0.47,0.362,templga01
Lonnie Walker IV,22,SAS,SG,60,38,1522,0.42,0.537,0.227,0.108,0.092,0.11,0.463,0.477,0.572,0.424,0.411,0.388,0.355,0.545,0.9,0.026,13,0.152,0.349,walkelo01
Desmond Bane,22,MEM,SG,68,17,1519,0.469,0.457,0.176,0.132,0.094,0.054,0.543,0.513,0.614,0.485,0.426,0.407,0.432,0.709,0.932,0.012,5,0.262,0.493,banede01
Solomon Hill,29,ATL,PF,71,16,1513,0.359,0.289,0.164,0.081,0.017,0.027,0.711,0.453,0.571,0.333,0.2,0.25,0.321,0.59,1,0.027,6,0.392,0.301,hillso01
Jaden McDaniels,20,MIN,PF,63,27,1511,0.447,0.46,0.229,0.139,0.049,0.044,0.54,0.544,0.69,0.412,0.5,0.25,0.364,0.707,0.972,0.114,32,0.338,0.403,mcdanja02
Cedi Osman,25,CLE,SF,59,26,1510,0.374,0.447,0.234,0.147,0.051,0.015,0.553,0.458,0.569,0.314,0.4,0.333,0.306,0.617,0.859,0.012,7,0.191,0.323,osmande01
LeBron James,36,LAL,PG,45,45,1504,0.513,0.654,0.318,0.118,0.104,0.113,0.346,0.591,0.782,0.474,0.384,0.366,0.365,0.327,0.519,0.062,48,0.077,0.455,jamesle01
Marcus Morris,31,LAC,PF,57,29,1502,0.473,0.493,0.082,0.098,0.2,0.113,0.507,0.472,0.604,0.316,0.504,0.455,0.473,0.456,0.936,0.007,3,0.318,0.564,morrima03
Mason Plumlee,30,DET,C,56,56,1499,0.614,0.982,0.575,0.304,0.052,0.05,0.018,0.626,0.795,0.422,0.25,0.316,0,0.722,0,0.281,99,0.571,0,plumlma01
Mike Conley,33,UTA,PG,51,51,1498,0.444,0.477,0.109,0.209,0.117,0.041,0.523,0.479,0.557,0.478,0.44,0.385,0.412,0.253,0.594,0,0,0.179,0.433,conlemi01
Gordon Hayward,30,CHA,SF,44,44,1496,0.473,0.688,0.213,0.198,0.161,0.117,0.312,0.499,0.671,0.392,0.453,0.429,0.415,0.606,0.871,0.033,21,0.176,0.639,haywago01
Caris LeVert,26,TOT,SG,47,39,1486,0.441,0.683,0.224,0.206,0.189,0.064,0.317,0.495,0.659,0.345,0.513,0.346,0.326,0.375,0.56,0.021,17,0.143,0.297,leverca01
Elfrid Payton,26,NYK,PG,63,63,1484,0.432,0.842,0.368,0.339,0.093,0.042,0.158,0.46,0.576,0.393,0.293,0.346,0.286,0.27,0.964,0.014,7,0.398,0.308,paytoel01
LaMelo Ball,19,CHA,PG,51,31,1469,0.436,0.612,0.302,0.174,0.095,0.04,0.388,0.489,0.576,0.419,0.375,0.407,0.352,0.284,0.728,0.018,8,0.161,0.357,ballla01
Dāvis Bertāns,28,WAS,PF,57,7,1464,0.404,0.105,0.036,0.04,0.013,0.017,0.895,0.48,0.706,0.474,0.167,0.25,0.395,0.75,0.97,0.01,4,0.143,0.443,bertada01
Shake Milton,24,PHI,SG,63,4,1461,0.45,0.696,0.193,0.214,0.181,0.106,0.304,0.494,0.62,0.42,0.479,0.437,0.35,0.362,0.803,0,0,0.182,0.432,miltosh01
Isaiah Stewart,19,DET,C,68,14,1455,0.553,0.846,0.494,0.252,0.066,0.034,0.154,0.592,0.644,0.524,0.556,0.429,0.333,0.659,1,0.108,37,0.079,0.2,stewais01
Myles Turner,24,IND,C,47,47,1455,0.477,0.523,0.329,0.148,0.028,0.019,0.477,0.606,0.725,0.438,0.333,0.25,0.335,0.759,1,0.063,26,0.218,0.311,turnemy01
Chris Boucher,28,TOR,C,60,14,1453,0.514,0.58,0.382,0.154,0.014,0.03,0.42,0.609,0.692,0.465,0.5,0.353,0.383,0.687,0.978,0.096,46,0.14,0.333,bouchch01
Bruce Brown,24,BKN,PG,65,37,1451,0.556,0.861,0.513,0.286,0.057,0.005,0.139,0.599,0.7,0.479,0.292,0.5,0.288,0.752,1,0.054,22,0.746,0.295,brownbr01
Cory Joseph,29,TOT,PG,63,13,1446,0.469,0.69,0.218,0.254,0.143,0.075,0.31,0.527,0.753,0.463,0.328,0.469,0.341,0.335,0.889,0,0,0.303,0.4,josepco01
Cameron Johnson,24,PHX,PF,60,11,1437,0.42,0.306,0.143,0.066,0.054,0.043,0.694,0.581,0.754,0.5,0.346,0.429,0.349,0.837,0.983,0.046,20,0.379,0.425,johnsca02
OG Anunoby,23,TOR,SF,43,43,1433,0.48,0.497,0.256,0.173,0.04,0.027,0.503,0.562,0.759,0.344,0.381,0.357,0.398,0.51,0.971,0.116,55,0.467,0.41,anunoog01
Kenrich Williams,26,OKC,PF,66,13,1426,0.533,0.715,0.324,0.207,0.102,0.083,0.285,0.568,0.729,0.447,0.429,0.412,0.444,0.473,0.904,0.027,10,0.333,0.59,willike04
Facundo Campazzo,29,DEN,PG,65,19,1425,0.381,0.314,0.105,0.137,0.054,0.019,0.686,0.444,0.636,0.419,0.235,0.167,0.352,0.273,0.842,0,0,0.269,0.448,campafa01
Isaiah Roby,22,OKC,PF,61,34,1425,0.483,0.746,0.424,0.254,0.051,0.016,0.254,0.547,0.643,0.422,0.409,0.429,0.294,0.554,0.906,0.114,44,0.174,0.474,robyis01
Lou Williams,34,TOT,PG,66,4,1423,0.41,0.732,0.132,0.203,0.226,0.172,0.268,0.414,0.624,0.359,0.404,0.333,0.399,0.276,0.58,0,0,0.283,0.408,willilo02
Brandon Clarke,24,MEM,PF,59,16,1415,0.517,0.844,0.412,0.279,0.131,0.022,0.156,0.565,0.725,0.428,0.385,0.364,0.26,0.814,1,0.145,59,0.597,0.261,clarkbr01
Raul Neto,28,WAS,PG,64,22,1403,0.468,0.633,0.172,0.315,0.105,0.04,0.367,0.512,0.61,0.489,0.511,0.278,0.39,0.421,0.938,0,0,0.274,0.356,netora01
Landry Shamet,23,BKN,SG,61,12,1403,0.408,0.27,0.116,0.053,0.061,0.039,0.73,0.463,0.585,0.375,0.357,0.389,0.387,0.649,0.984,0.02,8,0.282,0.457,shamela01
Aaron Gordon,25,TOT,PF,50,50,1384,0.463,0.647,0.283,0.166,0.132,0.066,0.353,0.533,0.709,0.398,0.439,0.303,0.335,0.494,0.831,0.114,52,0.188,0.333,gordoaa01
Wendell Carter Jr.,21,TOT,C,54,44,1375,0.503,0.888,0.4,0.256,0.158,0.074,0.112,0.53,0.689,0.444,0.361,0.324,0.294,0.767,0.933,0.112,48,0.196,0.4,cartewe01
Bobby Portis,25,MIL,C,66,7,1372,0.523,0.737,0.264,0.194,0.162,0.117,0.263,0.542,0.671,0.457,0.495,0.457,0.471,0.536,1,0.062,27,0.382,0.467,portibo01
Kemba Walker,30,BOS,PG,43,43,1369,0.42,0.478,0.126,0.157,0.09,0.105,0.522,0.486,0.741,0.377,0.475,0.352,0.36,0.268,0.551,0,0,0.057,0.4,walkeke02
Rudy Gay,34,SAS,PF,63,1,1358,0.42,0.557,0.121,0.139,0.172,0.126,0.443,0.451,0.605,0.448,0.407,0.367,0.381,0.405,0.896,0.037,19,0.183,0.314,gayru01
P.J. Tucker,35,TOT,PF,52,33,1356,0.373,0.328,0.186,0.096,0.034,0.011,0.672,0.448,0.515,0.412,0.167,0.5,0.336,0.808,1,0,0,0.849,0.347,tuckepj01
Robin Lopez,32,WAS,C,71,9,1354,0.633,0.958,0.318,0.595,0.042,0,0.042,0.649,0.696,0.648,0.333,0,0.278,0.617,1,0.08,32,0.722,0.154,lopezro01
Bryn Forbes,27,MIL,SG,70,10,1354,0.473,0.355,0.045,0.078,0.091,0.142,0.645,0.511,0.542,0.39,0.604,0.507,0.452,0.667,0.968,0.002,1,0.229,0.449,forbebr01
Bismack Biyombo,28,CHA,C,66,36,1349,0.587,0.996,0.698,0.256,0.037,0.004,0.004,0.589,0.692,0.355,0.333,0,0,0.873,0,0.318,70,1,0,biyombi01
