Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,playerID
Taurean Prince,26,TOT,PF,41,10,905,7.1,17.7,3.4,8.4,3.7,9.3,3.5,4.1,1,6.7,7.7,4.1,1.5,1.2,2.5,4.1,21.1,106,114,princta02
Ben McLemore,27,TOT,SG,53,5,905,7.1,19.3,5.1,14.8,2,4.5,2.1,2.8,0.8,4.5,5.3,2.1,1.2,0.5,2.2,4.7,21.5,99,115,mclembe01
Kira Lewis Jr.,19,NOP,PG,54,0,904,6.9,17.9,2.1,6.4,4.8,11.5,2.3,2.7,0.6,3.1,3.8,6.6,2,0.5,1.8,4.7,18.2,106,115,lewiski01
Jalen McDaniels,23,CHA,SF,47,18,904,7.2,15.3,1.9,5.7,5.3,9.7,2.4,3.5,2.4,6.7,9.1,2.9,1.5,1,2.4,5.1,18.7,107,113,mcdanja01
Juancho Hernangómez,25,MIN,PF,52,6,900,6.8,15.7,2.9,8.8,3.9,6.9,3.1,5.1,2.4,8.4,10.8,1.8,1,0.4,1.4,2.7,19.7,111,117,hernaju01
R.J. Hampton,19,TOT,SG,51,1,888,7.5,17.2,1.5,4.8,6,12.4,3,4.5,1.6,8.3,9.8,4.8,1.2,0.6,2.9,3.4,19.5,100,115,hamptrj01
Jusuf Nurkić,26,POR,C,37,37,880,9.5,18.5,0.7,1.7,8.8,16.8,3.9,6.3,4.8,13.6,18.4,6.9,2.1,2.2,4,5.7,23.5,113,109,nurkiju01
Malik Monk,22,CHA,SG,42,0,878,9.6,22.2,4.7,11.8,4.9,10.4,3.3,4,0.8,4.8,5.6,4.8,1.1,0.2,3.1,2.6,27.3,108,116,monkma01
Dario Šarić,26,PHX,C,50,4,871,8.7,19.4,2.7,7.7,6,11.7,4.8,5.6,2.6,8.2,10.8,3.7,1.7,0.2,3.2,5.4,24.8,109,111,saricda01
Sekou Doumbouya,20,DET,PF,56,11,869,6,15.9,1.5,6.5,4.6,9.4,2.5,3.6,2.2,5.9,8.1,2.7,1.4,0.5,2.5,5.3,16.1,93,114,doumbse01
