Player,Age,Team,Pos,G,GS,MP,+/- Per 100 PossOnCourt,+/- Per 100 PossOn-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Julius Randle,26,NYK,PF,71,71,2667,2.6,0.2,100,71,73,43,180,7,1092,49,70,randlju01
RJ Barrett,20,NYK,SG,72,72,2511,2.6,0.4,77,35,85,14,133,13,520,28,86,barrerj01
Nikola Jokić,25,DEN,C,72,72,2488,6.6,6.4,130,63,102,16,145,5,1410,38,62,jokicni01
Buddy Hield,28,SAC,SG,71,71,2433,-1.6,6.9,78,33,91,5,21,4,579,5,33,hieldbu01
Damian Lillard,30,POR,PG,67,67,2398,3.9,6.6,143,38,42,15,176,26,1256,32,67,lillada01
Terry Rozier,26,CHA,SG,69,69,2383,-2.1,0.1,67,32,52,17,74,25,720,23,37,roziete01
Russell Westbrook,32,WAS,PG,65,65,2369,-1.5,1.3,212,65,58,17,197,10,1767,46,73,westbru01
Andrew Wiggins,25,GSW,PF,71,71,2364,0.1,-2.3,56,36,96,16,125,6,428,30,44,wiggian01
Mikal Bridges,24,PHX,SF,72,72,2348,7.6,4.4,35,14,60,3,61,14,361,17,24,bridgmi01
Nikola Vučević,30,TOT,C,70,70,2348,-6.9,-1.1,56,42,75,15,58,3,661,16,52,vucevni01
Anthony Edwards,19,MIN,SG,72,55,2314,-5.3,0.3,68,55,58,17,138,2,528,34,68,edwaran01
Jayson Tatum,22,BOS,SF,64,64,2290,2.8,5.3,86,41,42,25,139,4,696,31,62,tatumja01
Devin Booker,24,PHX,SG,67,67,2270,7.2,3.1,102,52,74,29,176,17,716,43,46,bookede01
Khris Middleton,29,MIL,SF,68,68,2269,5.4,-0.5,91,54,73,14,94,9,873,26,52,middlkh01
Duncan Robinson,26,MIA,SF,72,72,2262,1.9,5.1,37,11,90,18,25,17,294,10,19,robindu01
Luka Dončić,21,DAL,PG,66,66,2262,3.3,3,182,69,73,14,210,7,1375,52,51,doncilu01
Robert Covington,30,POR,PF,70,70,2243,4.4,7,28,6,117,15,23,13,299,2,16,covinro01
Royce O'Neale,27,UTA,SF,71,71,2241,10.9,3.7,49,10,87,8,14,22,475,2,9,onealro01
Domantas Sabonis,24,IND,PF,62,62,2231,-2,-5.3,80,66,87,41,152,9,1008,45,54,sabondo01
Bojan Bogdanović,31,UTA,SF,72,72,2216,9.2,-0.9,44,55,38,13,100,8,352,18,61,bogdabo02
Norman Powell,27,TOT,SG,69,58,2205,1.7,1.7,49,42,59,13,113,11,325,23,69,powelno01
Chris Paul,35,PHX,PG,70,70,2199,6.9,2.1,106,31,60,10,34,12,1484,7,10,paulch01
Rudy Gobert,28,UTA,C,71,71,2187,16.6,19.1,26,37,81,27,182,14,233,43,41,goberru01
Justin Holiday,31,IND,SG,72,52,2183,-0.7,-1.8,30,13,75,3,33,10,285,8,15,holidju01
Isaac Okoro,20,CLE,SG,67,67,2173,-8.9,-1.2,41,27,96,8,83,14,318,21,53,okorois01
Coby White,20,CHI,PG,69,54,2156,-2.3,-3.9,78,47,99,10,58,20,806,15,59,whiteco01
Stephen Curry,32,GSW,PG,63,63,2152,4,8.6,115,58,46,13,152,14,843,45,56,curryst01
Bradley Beal,27,WAS,SG,60,60,2147,-0.6,3.2,88,65,73,18,206,15,617,66,60,bealbr01
Bam Adebayo,23,MIA,C,64,64,2143,0.4,0.8,82,46,64,30,154,9,873,44,39,adebaba01
Joe Harris,29,BKN,SF,69,65,2141,6.5,4.1,42,8,67,5,28,15,319,9,29,harrijo01
Dejounte Murray,24,SAS,PG,67,67,2139,1.7,8.9,68,32,47,7,61,8,847,19,56,murrade01
Kevin Huerter,22,ATL,SG,69,49,2126,1.8,-2,50,17,73,2,25,2,575,6,28,huertke01
Trae Young,22,ATL,PG,63,63,2125,5.3,7.1,179,54,38,14,183,15,1403,26,66,youngtr01
Deandre Ayton,22,PHX,C,69,69,2115,6,-0.2,20,36,128,25,97,3,238,30,46,aytonde01
Collin Sexton,22,CLE,SG,60,60,2115,-9.2,-1.9,64,59,58,22,163,22,623,39,97,sextoco01
Eric Bledsoe,31,NOP,SG,71,70,2111,-1.3,-1.9,71,25,58,10,86,26,629,22,26,bledser01
Harrison Barnes,28,SAC,PF,58,58,2102,-1.1,6.5,46,32,36,11,101,11,497,25,24,barneha02
Brandon Ingram,23,NOP,SF,61,61,2093,0.4,2.5,77,50,64,17,131,9,701,34,53,ingrabr01
DeMar DeRozan,31,SAS,PF,61,61,2056,-2.5,-1.9,55,49,66,5,220,15,1044,51,60,derozde01
Ja Morant,21,MEM,PG,63,63,2053,2.7,3.4,133,44,41,8,155,12,1106,26,68,moranja01
Jae'Sean Tate,25,HOU,SF,70,58,2043,-4.5,8.6,37,33,103,12,64,32,460,13,46,tateja01
De'Aaron Fox,23,SAC,PG,58,58,2036,-4.5,-2.1,90,68,64,8,216,23,1003,53,64,foxde01
Zach LaVine,25,CHI,SG,58,58,2034,-0.5,0.8,113,53,63,13,130,2,677,33,67,lavinza01
Zion Williamson,20,NOP,PF,61,61,2026,1.7,5.6,52,57,72,33,278,2,569,79,131,willizi01
Tobias Harris,28,PHI,PF,62,62,2014,7.3,4,45,38,76,16,78,1,539,14,63,harrito02
Giannis Antetokounmpo,26,MIL,PF,61,61,2013,8.4,6.7,71,50,53,53,295,5,926,79,56,antetgi01
Pascal Siakam,26,TOR,PF,56,56,2006,2.9,8.6,56,31,59,26,148,10,647,37,63,siakapa01
Jaylen Brown,24,BOS,SG,58,58,1999,1.2,0.6,56,63,58,21,114,7,464,34,62,brownja02
Dillon Brooks,25,MEM,SF,67,67,1997,4.4,7.2,59,34,98,16,93,13,358,22,40,brookdi01
Kelly Olynyk,29,TOT,PF,70,62,1997,-3.2,0.4,59,21,92,27,76,22,486,18,31,olynyke01
Tim Hardaway Jr.,28,DAL,SG,70,31,1985,1.2,-2.5,21,24,52,14,71,31,309,14,28,hardati02
Patrick Williams,19,CHI,PF,71,71,1983,-6.4,-13,32,31,59,14,63,7,245,17,49,willipa01
Draymond Green,30,GSW,PF,63,63,1982,4.9,9.6,148,16,100,16,41,30,1333,14,15,greendr01
Keldon Johnson,21,SAS,SF,69,67,1968,-4.1,-5.4,29,27,74,11,108,3,280,31,66,johnske04
Dennis Schröder,27,LAL,SG,61,61,1956,2.5,-0.4,97,41,54,12,96,28,855,13,74,schrode01
Kyle Kuzma,25,LAL,SF,68,32,1954,-1.1,-8.5,41,28,66,21,47,9,304,13,24,kuzmaky01
P.J. Washington,22,CHA,PF,64,61,1954,-0.4,4.1,59,36,97,18,75,8,401,13,50,washipj01
Reggie Bullock,29,NYK,SF,65,64,1949,1.9,-1.3,27,10,77,4,11,6,238,0,13,bullore01
Danny Green,33,PHI,SF,69,69,1934,7.3,3.8,36,10,72,7,13,7,273,2,12,greenda02
Miles Bridges,22,CHA,PF,66,19,1932,0.3,5.5,56,24,72,10,55,8,363,15,26,bridgmi02
Malcolm Brogdon,28,IND,PG,56,56,1930,-0.7,-1.5,76,27,40,7,67,5,789,18,66,brogdma01
Dorian Finney-Smith,27,DAL,PF,60,60,1921,5.3,6.7,30,6,57,5,22,8,251,5,23,finnedo01
Michael Porter Jr.,22,DEN,SF,61,54,1912,8.2,7.4,25,28,73,10,66,2,168,17,24,portemi01
Saddiq Bey,21,DET,SF,70,53,1909,-5.7,-2.7,27,7,52,8,69,4,236,17,34,beysa01
Jrue Holiday,30,MIL,PG,59,56,1907,8.7,7.1,71,37,38,6,58,10,856,16,40,holidjr01
Brook Lopez,32,MIL,C,70,70,1902,6.8,2.8,19,19,86,16,71,4,125,17,18,lopezbr01
Kentavious Caldwell-Pope,27,LAL,SG,67,67,1902,2.8,0.4,34,16,52,6,42,22,305,10,22,caldwke01
Fred VanVleet,26,TOR,SG,52,52,1899,3.1,8.5,48,30,42,11,71,14,825,8,57,vanvlfr01
Clint Capela,26,ATL,C,63,63,1898,7.4,10.5,12,18,72,25,105,2,119,21,50,capelca01
Kyle Anderson,27,MEM,PF,69,69,1887,1.7,0.8,46,18,58,9,86,4,575,16,32,anderky01
Kyrie Irving,28,BKN,PG,54,54,1886,5.5,1.4,81,38,62,6,86,7,780,20,55,irvinky01
Ben Simmons,24,PHI,PG,58,58,1877,8.5,6.2,86,43,64,34,126,19,1010,25,45,simmobe01
Joe Ingles,33,UTA,SF,67,30,1867,12,5.4,74,21,25,16,33,9,780,9,14,inglejo01
Jarrett Allen,22,TOT,C,63,45,1864,-5.9,-0.4,47,24,62,15,127,12,256,26,37,allenja01
Dwayne Bacon,25,ORL,SG,72,50,1853,-11.1,-4.5,26,9,44,4,85,5,232,19,39,bacondw01
John Collins,23,ATL,PF,63,63,1848,4.7,4.5,23,29,102,21,93,13,188,31,53,collijo01
Jakob Poeltl,25,SAS,C,69,51,1845,3.2,10.3,33,15,113,26,53,4,304,23,29,poeltja01
Jeff Green,34,BKN,PF,68,38,1835,3.7,-2.7,22,13,77,8,82,21,280,17,23,greenje02
Nicolas Batum,32,LAC,SF,67,38,1835,9,5.3,42,7,48,2,26,13,354,7,6,batumni01
Jerami Grant,26,DET,SF,54,54,1829,-3.4,2.3,60,25,58,17,152,22,362,23,58,grantje01
Paul George,30,LAC,SF,54,54,1821,11.4,10.2,111,43,49,20,100,20,693,21,44,georgpa01
Jordan Clarkson,28,UTA,SG,68,1,1818,7.9,-3.5,41,42,37,13,61,4,418,16,39,clarkjo01
Donte DiVincenzo,24,MIL,SG,66,66,1814,7.3,3.7,52,19,49,12,26,17,472,3,31,divindo01
Gary Trent Jr.,22,TOT,SG,58,38,1802,-1.9,-4.2,21,12,42,7,49,9,200,12,22,trentga02
Rui Hachimura,22,WAS,PF,57,57,1797,-2.7,-1.8,17,27,57,11,76,5,203,18,54,hachiru01
T.J. McConnell,28,IND,PG,69,3,1796,2.1,4.5,84,31,41,2,18,22,1093,8,31,mccontj01
Josh Richardson,27,DAL,SG,59,56,1790,0,-4.7,38,24,64,4,39,15,391,10,22,richajo01
Darius Garland,21,CLE,PG,54,50,1790,-6.5,3.9,98,29,47,10,46,19,747,10,36,garlada01
Richaun Holmes,27,SAC,C,61,61,1782,0.5,8.4,28,13,119,24,88,5,240,26,30,holmeri01
Théo Maledon,19,OKC,PG,65,49,1778,-17.1,-12.8,76,33,54,6,61,4,560,14,19,maledth01
Kawhi Leonard,29,LAC,SF,52,52,1773,12.8,12.8,39,38,30,14,117,4,695,28,28,leonaka01
Ricky Rubio,30,MIN,PG,68,51,1772,-5.2,0.5,84,17,37,4,51,19,1031,7,32,rubiori01
Donovan Mitchell,24,UTA,PG,53,53,1771,8,-3.2,84,48,47,7,124,10,699,29,47,mitchdo01
Enes Freedom,28,POR,C,72,35,1758,4,4.1,20,26,113,21,79,2,213,24,68,kanteen01
Jonas Valančiūnas,28,MEM,C,62,61,1755,3.5,4.4,32,30,107,26,102,6,255,21,56,valanjo01
Delon Wright,28,TOT,PG,63,39,1748,-3,1.7,47,27,40,3,45,17,703,8,37,wrighde01
Lonzo Ball,23,NOP,PG,55,55,1747,0.8,2.7,78,20,41,16,23,6,717,5,16,balllo01
Tyrese Haliburton,20,SAC,PG,58,20,1746,-4.8,-2.3,54,14,35,2,26,1,721,11,20,halibty01
Jimmy Butler,31,MIA,SF,52,52,1745,5.4,10.7,67,22,30,15,182,11,893,38,42,butleji01
Will Barton,30,DEN,SF,56,52,1736,6.1,2.5,49,28,48,7,46,7,424,15,35,bartowi01
Darius Bazley,20,OKC,PF,55,55,1714,-13.4,-5.1,52,47,34,10,89,4,245,17,53,bazleda01
Jamal Murray,23,DEN,PG,48,48,1704,7.6,5.3,53,37,42,9,52,19,553,10,26,murraja01
Jalen Brunson,24,DAL,PG,68,12,1697,4.4,4.2,53,13,37,10,59,34,602,15,17,brunsja01
Carmelo Anthony,36,POR,PF,69,3,1690,-1.4,-6.4,16,16,70,24,68,5,261,13,19,anthoca01
Karl-Anthony Towns,25,MIN,C,50,50,1689,0.3,11.1,71,25,80,50,138,14,548,32,51,townska01
Kelly Oubre Jr.,25,GSW,SF,55,50,1687,-5.3,-12.1,26,23,60,11,92,23,173,24,53,oubreke01
Patty Mills,32,SAS,PG,68,1,1685,1.5,6.3,37,17,31,3,20,23,373,4,18,millspa02
Devonte' Graham,25,CHA,PG,55,44,1659,1.8,7.5,64,16,31,2,54,12,713,4,23,grahade01
Thaddeus Young,32,CHI,PF,68,23,1652,4.6,10.2,76,37,88,11,62,25,685,30,39,youngth01
Kendrick Nunn,25,MIA,PG,56,44,1650,0.1,0.2,47,19,66,7,23,3,344,6,35,nunnke01
Jae Crowder,30,PHX,PF,60,42,1648,7.1,1.8,42,3,64,7,32,18,297,7,14,crowdja01
Seth Curry,30,PHI,SG,57,57,1638,8,4.4,30,15,31,8,21,8,366,5,16,curryse01
Tyler Herro,21,MIA,SG,54,15,1635,-2.8,-5.3,64,22,42,7,48,4,451,15,36,herroty01
Doug McDermott,29,IND,PF,66,29,1619,-2.4,-4.5,25,13,54,8,51,5,201,18,49,mcderdo01
Ivica Zubac,23,LAC,C,72,33,1609,5.4,-2.1,22,11,119,27,76,5,219,9,47,zubaciv01
James Harden,31,TOT,PG,44,43,1609,3.1,0.7,109,48,50,13,119,5,1113,20,47,hardeja01
Steven Adams,27,NOP,C,58,58,1605,-0.2,0.8,25,27,46,19,53,5,256,6,20,adamsst01
Kyle Lowry,34,TOR,PG,46,46,1601,-1.2,-0.8,81,21,50,15,62,39,816,13,25,lowryky01
Daniel Theis,28,TOT,C,65,51,1601,-1.4,-1.9,29,12,90,19,48,9,257,12,26,theisda01
CJ McCollum,29,POR,SG,47,47,1600,5.5,6.7,40,16,39,4,66,5,562,25,30,mccolcj01
Joel Embiid,26,PHI,C,51,51,1585,12.4,12.3,62,54,65,23,225,5,350,42,45,embiijo01
Marcus Smart,26,BOS,PG,48,45,1581,2.7,3.3,60,20,56,7,64,31,658,8,10,smartma01
Montrezl Harrell,27,LAL,C,69,1,1580,1.2,-2.5,24,29,72,13,134,28,174,42,42,harremo01
Pat Connaughton,28,MIL,SG,69,4,1575,7,2.6,20,6,63,4,15,11,195,2,16,connapa01
Josh Jackson,23,DET,SG,62,25,1560,-3.3,2.2,64,41,76,25,102,20,331,27,70,jacksjo02
Nerlens Noel,26,NYK,C,64,41,1547,0.7,-3.2,23,23,84,13,30,12,106,5,12,noelne01
Reggie Jackson,30,LAC,SG,67,43,1544,8,2.7,49,13,58,4,33,10,513,10,20,jacksre01
Luguentz Dort,21,OKC,SG,52,52,1543,-7.7,5.6,31,23,50,17,78,57,218,17,48,dortlu01
Khem Birch,28,TOT,C,67,22,1529,-3.3,3.6,14,15,66,10,66,9,225,10,30,birchkh01
Garrett Temple,34,CHI,SG,56,25,1528,1.6,4.4,32,12,62,3,21,15,292,9,12,templga01
Lonnie Walker IV,22,SAS,SG,60,38,1522,-6.7,-8.9,35,13,61,6,37,4,239,14,27,walkelo01
Desmond Bane,22,MEM,SG,68,17,1519,-0.3,-2.8,25,12,66,6,16,3,287,7,35,banede01
Solomon Hill,29,ATL,PF,71,16,1513,2,-1,25,4,57,6,23,5,183,6,8,hillso01
Jaden McDaniels,20,MIN,PF,63,27,1511,-3.3,3.6,24,12,102,5,18,6,178,4,13,mcdanja02
Cedi Osman,25,CLE,SF,59,26,1510,-10.5,-3.8,52,19,54,3,41,14,415,10,33,osmande01
LeBron James,36,LAL,PG,45,45,1504,8.6,10.6,101,37,27,10,131,11,835,44,27,jamesle01
Marcus Morris,31,LAC,PF,57,29,1502,5.1,-2.6,24,19,67,9,33,9,146,8,11,morrima03
Mason Plumlee,30,DET,C,56,56,1499,-5.3,-1.4,50,30,101,15,72,5,500,15,35,plumlma01
Mike Conley,33,UTA,PG,51,51,1498,17,13.2,68,24,29,5,58,22,768,8,24,conlemi01
Gordon Hayward,30,CHA,SF,44,44,1496,0.2,4.2,40,33,32,10,77,3,443,15,28,haywago01
Caris LeVert,26,TOT,SG,47,39,1486,-0.3,-2.3,56,30,50,3,90,6,582,23,37,leverca01
Elfrid Payton,26,NYK,PG,63,63,1484,-2.8,-9.4,57,24,44,8,54,5,486,17,78,paytoel01
LaMelo Ball,19,CHA,PG,51,31,1469,-4.1,-3.4,102,26,45,5,74,6,733,23,33,ballla01
Dāvis Bertāns,28,WAS,PF,57,7,1464,1.8,6.4,16,8,60,6,30,10,110,10,6,bertada01
Shake Milton,24,PHI,SG,63,4,1461,4.2,-2.5,51,28,59,10,77,12,478,20,48,miltosh01
Isaiah Stewart,19,DET,C,68,14,1455,-1.5,5.2,13,23,84,20,37,7,142,11,28,stewais01
Myles Turner,24,IND,C,47,47,1455,0.9,1.5,31,8,103,19,64,3,112,11,17,turnemy01
Chris Boucher,28,TOR,C,60,14,1453,3.3,6.9,13,11,117,7,96,12,160,22,41,bouchch01
Bruce Brown,24,BKN,PG,65,37,1451,5.2,0.4,27,19,71,2,56,1,265,11,39,brownbr01
Cory Joseph,29,TOT,PG,63,13,1446,-5.7,-2.7,47,21,61,7,33,16,512,8,24,josepco01
Cameron Johnson,24,PHX,PF,60,11,1437,5.6,-0.9,18,13,41,3,29,16,210,11,17,johnsca02
OG Anunoby,23,TOR,SF,43,43,1433,3.4,7,26,20,53,16,48,7,236,7,38,anunoog01
Kenrich Williams,26,OKC,PF,66,13,1426,-6.2,7.8,35,26,71,12,32,15,367,7,25,willike04
Facundo Campazzo,29,DEN,PG,65,19,1425,3.3,-2.5,50,10,43,7,29,27,575,9,8,campafa01
Isaiah Roby,22,OKC,PF,61,34,1425,-14.5,-6.1,44,39,89,18,53,8,253,10,38,robyis01
Lou Williams,34,TOT,PG,66,4,1423,1.7,-4.4,90,13,17,1,77,10,540,12,37,willilo02
Brandon Clarke,24,MEM,PF,59,16,1415,0.2,-1.9,13,12,50,4,68,7,221,29,31,clarkbr01
Raul Neto,28,WAS,PG,64,22,1403,-0.6,2.1,28,14,65,4,34,37,345,4,31,netora01
Landry Shamet,23,BKN,SG,61,12,1403,2.4,-4.2,27,9,49,5,30,12,240,4,23,shamela01
Aaron Gordon,25,TOT,PF,50,50,1384,2.4,6.2,58,16,41,13,68,3,382,16,29,gordoaa01
Wendell Carter Jr.,21,TOT,C,54,44,1375,-9.3,-6.4,22,22,78,20,84,5,252,18,34,cartewe01
Bobby Portis,25,MIL,C,66,7,1372,5.3,-0.5,15,17,75,10,33,3,183,9,42,portibo01
Kemba Walker,30,BOS,PG,43,43,1369,2.5,2.6,55,24,32,2,58,29,514,15,49,walkeke02
Rudy Gay,34,SAS,PF,63,1,1358,4.4,10.1,28,24,59,7,45,4,208,8,21,gayru01
P.J. Tucker,35,TOT,PF,52,33,1356,-5.7,-1.9,13,6,61,12,6,22,157,1,8,tuckepj01
Robin Lopez,32,WAS,C,71,9,1354,-1.8,0,13,20,62,24,57,8,135,17,26,lopezro01
Bryn Forbes,27,MIL,SG,70,10,1354,2.2,-5.5,12,6,40,11,22,1,115,6,22,forbebr01
Bismack Biyombo,28,CHA,C,66,36,1349,-8.2,-9.8,27,11,70,21,43,4,187,10,30,biyombi01
Josh Hart,25,NOP,SF,47,4,1349,0.1,1.1,24,13,49,6,39,7,264,10,25,hartjo01
Naz Reid,21,MIN,C,70,15,1347,-10.7,-8.7,22,27,116,12,89,15,177,24,31,reidna01
Terrence Ross,29,ORL,SG,46,2,1347,-8.4,0.8,38,19,37,9,55,3,259,13,28,rosste01
Maxi Kleber,29,DAL,PF,50,40,1341,4.9,4.3,13,9,53,8,11,9,172,1,5,klebima01
Andre Iguodala,37,MIA,SF,63,5,1339,-1.6,-2.7,44,8,54,5,13,10,349,2,2,iguodan01
Goran Dragić,34,MIA,PG,50,11,1337,0.8,1.3,72,22,45,15,41,9,535,8,23,dragigo01
Kent Bazemore,31,GSW,SF,67,18,1333,6.7,9.5,40,24,75,9,35,19,261,8,14,bazemke01
Kristaps Porziņģis,25,DAL,C,43,43,1327,-0.7,-4.9,20,14,77,7,68,5,172,16,32,porzikr01
Christian Wood,25,HOU,C,41,41,1326,-4,6.5,34,21,52,10,97,12,178,28,28,woodch01
Svi Mykhailiuk,23,TOT,SF,66,14,1324,-8.2,-0.5,38,29,22,8,17,9,268,3,28,mykhasv01
Derrick Jones Jr.,23,POR,SF,58,43,1318,-0.1,-3.3,18,6,72,6,42,9,120,8,16,jonesde02
Lauri Markkanen,23,CHI,PF,51,26,1317,-2.4,-2.5,26,16,45,8,45,6,110,15,26,markkla01
Tomáš Satoranský,29,CHI,SG,58,18,1307,0.3,1.7,70,17,46,5,37,13,642,14,15,satorto01
Bogdan Bogdanović,28,ATL,SG,44,27,1305,4.2,2.6,28,15,42,5,16,6,357,2,19,bogdabo01
Talen Horton-Tucker,20,LAL,SG,65,4,1304,1.3,-2,50,25,54,16,63,13,419,19,33,hortota01
Matisse Thybulle,23,PHI,SG,65,8,1298,6.7,1.6,18,6,60,3,9,9,151,4,3,thybuma01
John Wall,30,HOU,PG,40,40,1288,-6.3,2.8,89,42,27,6,106,8,686,26,42,walljo01
Tristan Thompson,29,BOS,C,54,43,1287,0.9,0,19,15,68,14,51,2,165,15,31,thomptr01
Derrick Rose,32,TOT,PG,50,3,1279,5.2,6.6,45,25,30,3,62,10,520,10,31,rosede01
Cole Anthony,20,ORL,PG,47,34,1273,-12.1,-5,58,38,46,6,52,13,457,13,49,anthoco01
Payton Pritchard,23,BOS,SG,66,4,1268,0.3,-1,25,10,48,3,21,6,286,3,21,pritcpa01
Terance Mann,24,LAC,SG,67,10,1263,3.4,-5,10,13,52,8,39,7,262,8,34,mannte01
Grayson Allen,25,MEM,SG,50,38,1259,0.7,-1.1,29,8,37,6,28,11,258,5,18,allengr01
