Player,Age,Team,Pos,G,GS,MP,+/- Per 100 PossOnCourt,+/- Per 100 PossOn-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Malik Monk,22,CHA,SG,42,0,878,0.5,3.5,37,9,24,6,31,3,207,9,19,monkma01
Dario Šarić,26,PHX,C,50,4,871,11.4,7.1,23,17,59,9,44,9,156,7,30,saricda01
Sekou Doumbouya,20,DET,PF,56,11,869,-7,-3.3,9,14,29,11,32,3,112,6,29,doumbse01
Edmond Sumner,25,IND,SG,53,24,861,-1.4,-1.9,29,11,40,4,47,4,123,12,16,sumneed01
Mitchell Robinson,22,NYK,C,31,29,853,-1.7,-5.5,1,10,52,13,28,2,38,5,13,robinmi01
Mike Scott,32,PHI,PF,51,12,852,-0.3,-7.8,9,5,37,3,5,5,100,1,8,scottmi01
Cody Martin,25,CHA,SF,52,10,849,1.1,4.3,20,11,23,4,25,11,207,7,16,martico01
Willy Hernangómez,26,NOP,C,47,12,846,-0.1,0.6,14,8,36,7,44,4,120,11,26,hernawi01
Austin Rivers,28,TOT,SG,36,7,845,0.9,-3.1,15,9,26,6,12,9,197,1,14,riverau01
Trevor Ariza,35,MIA,SF,30,27,841,3.1,4,10,4,23,4,18,10,133,1,9,arizatr01
Chasson Randle,27,ORL,PG,41,5,837,-14.2,-6.9,29,9,38,3,22,5,175,4,13,randlch01
James Wiseman,19,GSW,C,39,27,836,-10.2,-14.6,12,16,84,15,40,4,65,10,21,wisemja01
Kevin Porter Jr.,20,HOU,SG,26,23,835,-13,-6.5,51,31,22,5,41,3,386,7,26,porteke02
Patrick Beverley,32,LAC,PG,37,34,832,9.1,3.3,21,1,43,7,13,11,186,1,10,beverpa01
Caleb Martin,25,CHA,SF,53,3,818,-4.9,-3.6,18,7,32,3,31,17,164,8,15,martica02
Torrey Craig,30,TOT,SF,50,8,803,-2.5,-9.7,8,6,43,5,9,5,118,0,11,craigto01
Michael Carter-Williams,29,ORL,SG,31,25,800,-2.7,8.1,33,23,30,8,40,28,311,14,21,cartemi01
Daniel Gafford,22,TOT,C,54,11,791,3.6,5.6,12,17,71,7,50,12,66,13,12,gaffoda01
Eric Gordon,32,HOU,SG,27,13,789,-4.7,4.4,24,13,23,8,50,0,173,10,19,gordoer01
Ty Jerome,23,OKC,SG,33,1,788,-8.9,2.5,27,7,33,3,14,4,290,1,10,jeromty01
Al Horford,34,OKC,C,28,28,782,-6,6.2,11,6,28,6,10,1,228,6,10,horfoal01
Saben Lee,21,DET,PG,48,7,781,-5.4,-1.1,39,13,36,0,40,11,422,8,25,leesa01
Maurice Harkless,27,TOT,SF,37,23,772,-2,1.6,13,5,50,1,21,2,107,3,9,harklma01
Rajon Rondo,34,TOT,PG,45,3,770,1.2,-3.7,56,15,12,4,6,6,496,1,17,rondora01
Mychal Mulder,26,GSW,PG,60,6,766,3.1,3,6,6,30,1,10,6,65,1,5,muldemy01
Jeremy Lamb,28,IND,SG,36,8,765,-0.3,-0.3,10,7,38,3,36,9,126,6,11,lambje01
Jaylen Nowell,21,MIN,SG,42,0,759,-6.3,-1.1,14,9,42,0,24,5,154,5,16,nowelja01
