Rank,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,Awards,-9999
327,Zeke Nnaji,22,DEN,PF,53,5,728,0,0,0,23,77,-5.8,-11.1,6,3,64,17,25,1,45,5,12,,nnajize01
328,Jaden Hardy,20,DAL,SG,48,5,708,41,54,4,0,0,-3.3,-4.3,20,14,29,6,30,6,163,7,30,,hardyja02
329,Justin Holiday,33,2TM,SF,46,2,706,0,22,65,10,3,-7.5,-8.6,15,3,40,1,4,6,99,1,9,,holidju01
330,MarJon Beauchamp,22,MIL,SF,52,11,701,1,41,52,6,0,-5.6,-11.2,16,11,37,7,18,3,91,2,17,,beaucma01
331,Aleksej Pokusevski,21,OKC,PF,34,25,701,0,0,1,21,79,-13.0,-17.3,22,10,38,2,15,1,151,1,8,,pokusal01
332,Juan Toscano-Anderson,29,2TM,SF,52,9,700,0,15,59,26,0,-9.2,-9.8,15,8,40,8,9,9,159,2,12,,toscaju01
333,Malachi Flynn,24,TOR,PG,53,2,691,100,0,0,0,0,-2.7,-4.7,13,8,34,3,13,5,161,4,9,,flynnma01
334,Duncan Robinson,28,MIA,SF,42,1,691,1,6,55,38,0,-4.5,-5.2,20,1,48,4,10,7,106,4,5,,robindu01
335,Chimezie Metu,25,SAC,PF,66,0,689,0,0,1,68,31,7.1,5.9,11,13,49,4,34,2,101,8,11,,metuch01
336,T.J. Warren,29,2TM,PF,42,0,687,0,0,19,68,14,3.7,2.3,4,5,33,4,17,2,95,6,7,,warretj01
337,Garrison Mathews,26,2TM,SG,54,0,686,0,33,66,1,0,-5.6,1.9,8,2,27,3,18,26,63,2,2,,mathega01
338,Montrezl Harrell,29,PHI,C,57,7,681,0,0,0,7,93,2.8,-2.4,13,11,50,9,53,14,80,17,19,,harremo01
339,Jordan McLaughlin,26,MIN,PG,43,0,678,97,4,0,0,0,6.9,8.6,28,3,22,0,7,6,342,1,8,,mclaujo01
340,Jae'Sean Tate,27,HOU,SF,31,7,677,0,38,55,7,0,-7.1,1.5,16,8,49,12,30,13,214,9,25,,tateja01
341,Blake Wesley,19,SAS,SG,37,1,669,36,57,7,0,0,-14.5,-5.3,37,17,46,3,20,2,246,3,26,,weslebl01
342,Sandro Mamukelashvili,23,2TM,C,43,7,660,0,0,0,23,77,-9.8,-4.6,16,9,31,5,27,6,150,5,14,,mamuksa01
343,Eugene Omoruyi,25,2TM,SF,40,6,645,0,2,37,57,5,-3.5,1.0,14,7,44,7,32,17,63,8,22,,omorueu01
344,Payton Pritchard,25,BOS,PG,48,3,643,100,0,0,0,0,1.1,-6.5,21,9,16,0,7,2,162,1,9,,pritcpa01
345,Amir Coffey,25,LAC,SF,50,9,625,1,7,74,18,1,-8.8,-11.3,11,7,32,2,29,7,127,5,16,,coffeam01
346,Anthony Gill,30,WAS,PF,59,8,624,0,0,30,66,5,0.2,1.8,8,3,44,2,30,8,81,8,10,,gillan01
347,Jabari Walker,20,POR,PF,56,0,619,0,6,37,55,2,-8.7,-6.0,10,8,29,8,21,4,84,5,13,,walkeja01
348,Darius Bazley,22,2TM,C,43,1,616,0,0,0,16,84,-2.9,-4.3,12,9,24,1,38,3,96,6,26,,bazleda01
349,Juancho Hernangómez,27,TOR,PF,42,10,614,0,0,0,52,49,0.4,-0.9,3,5,25,4,8,5,66,2,5,,hernaju01
350,Jaxson Hayes,22,NOP,C,47,2,610,0,0,0,46,54,-5.2,-8.7,17,2,37,8,39,3,92,8,8,,hayesja02
351,Frank Ntilikina,24,DAL,SG,47,5,607,17,59,24,1,0,5.9,6.7,12,7,38,2,16,6,150,3,7,,ntilila01
352,DeAndre Jordan,34,DEN,C,39,8,586,0,0,0,0,100,-8.8,-14.1,20,7,38,16,24,0,81,6,6,,jordade01
353,Blake Griffin,33,BOS,C,41,16,569,0,0,2,23,76,8.3,2.0,5,2,35,10,13,17,157,4,5,,griffbl01
354,Ousmane Dieng,19,OKC,PF,39,1,569,0,0,8,71,20,3.9,3.2,10,8,26,2,12,0,107,3,8,,diengou01
355,Kris Dunn,28,UTA,PG,22,3,568,97,3,0,0,0,-5.1,-4.7,21,7,33,3,30,1,300,9,16,,dunnkr01
356,Patty Mills,34,BRK,PG,40,2,567,100,0,0,0,0,-7.2,-9.9,17,8,14,2,9,8,130,1,7,,millspa02
357,Ricky Rubio,32,CLE,PG,33,2,566,60,40,0,0,0,3.3,-2.7,22,3,22,0,14,15,281,2,12,,rubiori01
358,Ziaire Williams,21,MEM,SF,37,4,561,1,13,77,9,0,-5.3,-10.4,16,9,35,2,12,17,80,4,5,,willizi02
