Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
309,Robert Williams,25,BOS,C,35,20,824,127,170,.747,0,1,.000,127,169,.751,.747,25,41,.610,104,188,292,50,22,48,34,68,279,0,,williro04
310,Eugene Omoruyi,25,2TM,SF,40,6,645,101,228,.443,25,89,.281,76,139,.547,.498,51,75,.680,43,68,111,28,28,3,34,91,278,0,,omorueu01
311,Zeke Nnaji,22,DEN,PF,53,5,728,110,196,.561,17,65,.262,93,131,.710,.605,40,62,.645,65,73,138,18,17,23,31,105,277,0,,nnajize01
312,Aleksej Pokusevski,21,OKC,PF,34,25,701,108,249,.434,38,104,.365,70,145,.483,.510,22,35,.629,45,114,159,64,20,43,43,58,276,0,,pokusal01
313,Payton Pritchard,25,BOS,PG,48,3,643,101,245,.412,56,154,.364,45,91,.495,.527,12,16,.750,25,63,88,64,14,1,40,37,270,1,,pritcpa01
314,Danuel House Jr.,29,PHI,SF,56,5,807,93,197,.472,37,110,.336,56,87,.644,.566,45,60,.750,9,85,94,44,14,9,26,69,268,0,,houseda01
315,Duncan Robinson,28,MIA,SF,42,1,691,88,237,.371,63,192,.328,25,45,.556,.504,29,32,.906,8,61,69,46,14,0,28,77,268,0,,robindu01
316,MarJon Beauchamp,22,MIL,SF,52,11,701,96,243,.395,47,142,.331,49,101,.485,.492,27,37,.730,38,77,115,35,21,7,45,71,266,0,,beaucma01
317,P.J. Tucker,37,PHI,PF,75,75,1920,96,225,.427,55,140,.393,41,85,.482,.549,19,23,.826,95,200,295,60,39,15,44,180,266,0,,tuckepj01
318,Bismack Biyombo,30,PHO,C,61,14,874,119,206,.578,0,0,,119,206,.578,.578,25,70,.357,89,171,260,56,18,88,51,114,263,0,,biyombi01
319,Sandro Mamukelashvili,23,2TM,C,43,7,660,97,230,.422,30,99,.303,67,131,.511,.487,39,57,.684,70,115,185,62,14,12,35,52,263,0,,mamuksa01
320,Willy Hernangómez,28,NOP,C,38,2,458,89,169,.527,3,11,.273,86,158,.544,.536,81,104,.779,58,122,180,33,17,13,39,64,262,0,,hernawi01
321,JT Thor,20,CHO,PF,69,8,969,95,238,.399,39,123,.317,56,115,.487,.481,33,47,.702,36,116,152,36,22,23,44,66,262,0,,thorjt01
