Rank,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
78,Rudy Gobert,30,MIN,C,70,70,2148,.659,2.5,.995,.778,.190,.022,.004,.005,.663,.748,.365,.333,.000,.000,.744,,.388,200,.000,,2,0,,goberru01
79,Jimmy Butler,33,MIA,PF,64,64,2138,.539,8.3,.884,.314,.341,.158,.055,.116,.564,.703,.492,.500,.408,.350,.377,.694,.068,54,.534,.345,1,0,MVP-10DPOY-12CPOY-2NBA2,butleji01
80,James Harden,33,PHI,PG,58,58,2135,.441,16.4,.504,.162,.188,.106,.043,.496,.495,.618,.418,.438,.528,.385,.129,.416,.001,1,.050,.429,0,0,,hardeja01
81,Jamal Murray,25,DEN,PG,65,65,2133,.454,16.2,.585,.144,.161,.134,.142,.415,.494,.667,.440,.460,.399,.398,.326,.587,.018,17,.120,.500,8,0,,murraja01
82,John Collins,25,ATL,PF,71,71,2130,.508,12.0,.661,.290,.207,.109,.045,.339,.619,.795,.459,.481,.500,.292,.775,.943,.113,73,.400,.302,0,0,,collijo01
83,Saddiq Bey,23,2TM,SF,77,37,2129,.422,15.3,.500,.218,.177,.050,.049,.500,.483,.643,.399,.286,.268,.361,.381,.894,.036,30,.347,.407,6,0,,beysa01
84,De'Andre Hunter,25,ATL,SF,67,67,2126,.461,14.4,.652,.157,.176,.193,.114,.348,.521,.651,.421,.522,.489,.350,.584,.900,.044,32,.406,.397,0,0,,huntede01
85,Russell Westbrook,34,2TM,PG,73,24,2126,.436,11.8,.711,.305,.229,.103,.075,.289,.487,.632,.379,.461,.257,.311,.230,.663,.023,19,.227,.231,1,0,6MOY-9,westbru01
86,Quentin Grimes,22,NYK,SG,71,66,2121,.468,17.9,.324,.248,.047,.018,.012,.676,.641,.745,.321,.182,.429,.386,.776,.994,.043,24,.327,.474,0,0,,grimequ01
87,Kristaps Porziņģis,27,WAS,C,65,65,2120,.498,14.9,.650,.166,.229,.163,.092,.350,.559,.740,.536,.494,.404,.385,.622,.949,.095,83,.053,.526,2,0,,porzikr01
88,Gary Trent Jr.,24,TOR,SG,66,44,2118,.433,17.6,.519,.116,.128,.118,.150,.481,.493,.704,.475,.455,.364,.369,.494,.855,.024,20,.176,.291,0,0,,trentga02
89,Damian Lillard,32,POR,PG,58,58,2107,.463,17.5,.453,.231,.103,.049,.057,.547,.574,.673,.452,.525,.493,.371,.157,.500,.012,10,.058,.395,2,0,CPOY-10ASNBA3,lillada01
90,Ayo Dosunmu,23,CHI,SG,80,51,2098,.493,11.2,.668,.411,.147,.070,.040,.332,.583,.679,.429,.500,.304,.312,.550,1.000,.018,9,.466,.330,0,0,,dosunay01
91,Corey Kispert,23,WAS,SF,74,45,2093,.497,18.7,.344,.179,.126,.029,.009,.656,.637,.762,.541,.412,.200,.424,.766,.982,.029,15,.224,.488,0,0,,kispeco01
92,Malik Beasley,26,2TM,SG,81,27,2093,.395,20.9,.298,.036,.131,.073,.058,.702,.484,.706,.528,.353,.407,.357,.511,.855,.006,4,.167,.373,3,0,,beaslma01
93,Caleb Martin,27,MIA,SF,71,49,2077,.464,14.9,.569,.235,.155,.049,.117,.431,.545,.674,.424,.481,.469,.356,.588,.833,.051,21,.407,.302,1,0,,martica02
94,Andrew Nembhard,23,IND,SG,75,63,2073,.441,15.3,.592,.169,.182,.169,.068,.408,.504,.716,.436,.376,.455,.350,.406,.902,.002,1,.266,.357,0,0,,nembhan01
95,Keldon Johnson,23,SAS,SF,63,63,2063,.452,12.7,.634,.270,.270,.080,.014,.366,.523,.657,.455,.337,.313,.329,.509,.903,.022,22,.226,.348,2,0,,johnske04
96,Aaron Gordon,27,DEN,PF,68,68,2055,.564,8.8,.773,.481,.180,.063,.035,.227,.628,.779,.394,.292,.333,.347,.618,.733,.260,178,.312,.259,4,0,,gordoaa01
97,Mason Plumlee,32,2TM,C,79,60,2054,.680,2.5,1.000,.707,.250,.033,.010,.000,.680,.766,.463,.500,.600,,.657,,.260,115,,,0,0,,plumlma01
98,Grant Williams,24,BOS,PF,79,23,2045,.454,17.2,.389,.137,.197,.046,.006,.611,.546,.738,.468,.364,.333,.395,.594,.922,.032,15,.416,.421,2,0,,willigr01
99,Deandre Ayton,24,PHO,C,67,67,2035,.589,7.7,.973,.313,.352,.223,.085,.027,.597,.806,.532,.455,.467,.292,.792,.857,.131,110,.000,,0,0,,aytonde01
100,Mike Conley,35,2TM,PG,67,66,2029,.428,18.1,.425,.084,.203,.108,.030,.575,.486,.608,.427,.500,.500,.385,.381,.696,.000,0,.157,.545,2,0,,conlemi01
101,Giannis Antetokounmpo,28,MIL,PF,63,63,2024,.553,8.1,.866,.480,.212,.091,.084,.134,.596,.791,.354,.353,.355,.275,.415,.617,.166,198,.023,.250,0,0,MVP-3DPOY-6ASNBA1,antetgi01
102,Kevin Porter Jr.,22,HOU,PG,59,59,2024,.442,15.7,.564,.153,.221,.115,.076,.436,.501,.711,.385,.461,.478,.366,.180,.525,.054,41,.117,.489,1,0,,porteke02
103,Deni Avdija,22,WAS,SF,76,40,2020,.437,12.9,.599,.283,.263,.038,.016,.401,.530,.720,.395,.227,.111,.297,.538,.942,.057,29,.241,.339,1,0,,avdijde01
104,Tyrese Maxey,22,PHI,SG,60,41,2016,.481,14.4,.596,.222,.208,.101,.060,.404,.513,.626,.447,.467,.400,.434,.444,.688,.014,13,.195,.514,1,0,,maxeyty01
105,Dorian Finney-Smith,29,2TM,PF,66,66,2009,.391,17.6,.325,.218,.088,.012,.008,.675,.503,.642,.227,.000,.500,.337,.671,.974,.084,33,.382,.380,2,0,,finnedo01
106,Jordan Clarkson,30,UTA,SG,61,61,1988,.444,15.5,.555,.109,.302,.130,.015,.445,.530,.688,.508,.470,.333,.338,.215,.748,.016,12,.120,.400,3,0,,clarkjo01
107,Dennis Schröder,29,LAL,PG,66,50,1986,.415,14.4,.654,.168,.208,.180,.098,.346,.461,.550,.422,.462,.391,.329,.245,.905,.000,0,.258,.345,0,0,,schrode01
108,Tre Jones,23,SAS,PG,68,65,1984,.459,10.7,.787,.276,.262,.210,.039,.213,.506,.673,.385,.442,.483,.285,.260,.867,.004,1,.323,.255,0,0,,jonestr01
109,Grayson Allen,27,MIL,SG,72,70,1972,.440,18.7,.343,.180,.104,.054,.005,.657,.518,.670,.345,.400,.000,.399,.606,.884,.027,12,.213,.474,0,0,,allengr01
110,Jonas Valančiūnas,30,NOP,C,79,79,1968,.547,8.1,.866,.357,.325,.134,.039,.134,.577,.725,.494,.440,.313,.349,.569,.974,.086,67,.046,.200,0,0,,valanjo01
111,Eric Gordon,34,2TM,SG,69,58,1965,.446,17.7,.455,.164,.243,.041,.006,.545,.535,.710,.453,.370,.250,.371,.390,.811,.002,1,.084,.467,1,0,,gordoer01
112,Kevon Looney,26,GSW,C,82,70,1958,.630,3.5,.997,.557,.365,.044,.031,.003,.632,.734,.521,.412,.417,.000,.669,,.177,68,.000,,0,0,,looneke01
113,Kyle Anderson,29,MIN,PF,69,46,1957,.509,9.9,.788,.246,.426,.087,.028,.212,.536,.648,.512,.465,.143,.410,.512,.930,.020,10,.448,.468,1,0,,anderky01
114,Marcus Smart,28,BOS,PG,61,61,1957,.415,17.0,.432,.140,.204,.053,.025,.568,.519,.750,.431,.438,.267,.336,.274,.826,.008,4,.193,.333,3,0,,smartma01
