Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA form the corner,3P% from the corner,playerID
Vince Williams Jr.,23,MEM,SG,52,33,1436,0.446,0.449,0.245,0.142,0.045,0.016,0.551,0.529,0.667,0.407,0.353,0,0.378,0.511,0.924,0.024,9,0.335,0.343,willivi01
Isaiah Stewart,22,DET,PF,46,45,1423,0.487,0.542,0.301,0.212,0.018,0.01,0.458,0.575,0.635,0.519,0.429,0.25,0.383,0.723,1,0.071,21,0.349,0.361,stewais01
Moritz Wagner,26,ORL,C,80,1,1415,0.601,0.792,0.504,0.272,0.005,0.009,0.208,0.673,0.799,0.46,0.333,0.4,0.33,0.796,0.974,0.091,48,0.322,0.324,wagnemo01
Tyler Herro,24,MIA,SG,42,40,1407,0.441,0.547,0.086,0.197,0.166,0.098,0.453,0.478,0.587,0.49,0.467,0.375,0.396,0.417,0.811,0.008,4,0.12,0.475,herroty01
Wendell Carter Jr.,24,ORL,C,55,48,1406,0.525,0.598,0.332,0.191,0.059,0.016,0.402,0.626,0.809,0.395,0.44,0.286,0.374,0.736,0.984,0.186,71,0.415,0.338,cartewe01
Onyeka Okongwu,23,ATL,C,55,8,1405,0.611,0.811,0.559,0.233,0.014,0.005,0.189,0.676,0.74,0.529,0.4,1,0.333,0.775,1,0.244,78,0.739,0.431,okongon01
Amen Thompson,21,HOU,SF,62,23,1388,0.536,0.87,0.518,0.251,0.054,0.047,0.13,0.595,0.714,0.464,0.292,0.333,0.138,0.481,0.875,0.217,88,0.293,0.118,thompam01
Haywood Highsmith,27,MIA,PF,66,26,1366,0.465,0.416,0.191,0.179,0.027,0.018,0.584,0.562,0.667,0.475,0.667,0.167,0.396,0.636,0.987,0.055,16,0.417,0.438,highsha01
Dyson Daniels,20,NOP,PG,61,16,1358,0.447,0.566,0.238,0.232,0.09,0.006,0.434,0.551,0.635,0.528,0.393,0.5,0.311,0.526,1,0.055,13,0.363,0.408,daniedy01
Andre Drummond,30,CHI,C,79,10,1351,0.556,0.994,0.713,0.26,0.021,0,0.006,0.56,0.614,0.416,0.5,0,0,0.558,0,0.16,65,0,0,drumman01
Marcus Sasser,23,DET,PG,71,11,1351,0.428,0.531,0.088,0.164,0.166,0.113,0.469,0.474,0.644,0.452,0.482,0.362,0.375,0.318,0.644,0.002,1,0.154,0.432,sassema01
Kris Murray,23,POR,SF,62,29,1348,0.396,0.5,0.287,0.18,0.03,0.003,0.5,0.525,0.657,0.333,0.455,0,0.268,0.5,0.98,0.06,21,0.475,0.299,murrakr01
Miles McBride,23,NYK,PG,68,14,1328,0.452,0.414,0.172,0.081,0.099,0.062,0.586,0.511,0.679,0.351,0.444,0.357,0.41,0.375,0.899,0.035,12,0.395,0.457,mcbrimi01
Jakob Poeltl,28,TOR,C,50,50,1319,0.656,1,0.545,0.349,0.106,0,0,0.656,0.786,0.5,0.5,0,0,0.798,0,0.074,26,0,0,poeltja01
Joel Embiid,29,PHI,C,39,39,1309,0.529,0.837,0.224,0.189,0.243,0.18,0.163,0.556,0.749,0.472,0.473,0.516,0.388,0.533,0.833,0.026,19,0.05,0.571,embiijo01
Jeff Green,37,HOU,PF,78,6,1307,0.456,0.563,0.199,0.26,0.077,0.027,0.437,0.553,0.767,0.453,0.5,0.1,0.331,0.737,0.943,0.068,20,0.45,0.347,greenje02
Cameron Payne,29,TOT,PG,78,10,1304,0.432,0.445,0.141,0.173,0.094,0.037,0.555,0.486,0.485,0.47,0.533,0.444,0.39,0.452,0.788,0,0,0.127,0.265,payneca01
Gary Harris,29,ORL,SG,54,27,1297,0.441,0.31,0.118,0.121,0.037,0.034,0.69,0.598,0.686,0.556,0.636,0.4,0.371,0.727,0.974,0.02,4,0.429,0.409,harriga01
Dereck Lively II,19,DAL,C,55,42,1294,0.747,0.993,0.75,0.23,0.01,0.003,0.007,0.752,0.833,0.515,0,1,0,0.81,0,0.527,141,1,0,livelde01
T.J. McConnell,31,IND,PG,71,4,1291,0.556,0.926,0.241,0.403,0.256,0.025,0.074,0.568,0.741,0.527,0.493,0.333,0.409,0.317,0.778,0,0,0.205,0.667,mccontj01
Aaron Holiday,27,HOU,PG,78,1,1269,0.446,0.48,0.122,0.17,0.139,0.048,0.52,0.51,0.647,0.437,0.534,0.35,0.387,0.255,0.81,0.005,2,0.212,0.478,holidaa01
Cedi Osman,28,SAS,SF,72,3,1269,0.479,0.424,0.221,0.151,0.034,0.018,0.576,0.601,0.776,0.448,0.154,0.571,0.389,0.724,0.965,0.005,2,0.235,0.462,osmande01
Gradey Dick,20,TOR,SG,60,17,1268,0.425,0.458,0.18,0.13,0.072,0.076,0.542,0.495,0.638,0.431,0.344,0.412,0.365,0.842,0.977,0.034,13,0.378,0.462,dickgr01
Naji Marshall,26,NOP,SF,66,1,1257,0.463,0.591,0.218,0.253,0.082,0.038,0.409,0.516,0.65,0.43,0.467,0.429,0.387,0.563,0.966,0.027,9,0.54,0.42,marshna01
Kris Dunn,29,UTA,PG,66,32,1249,0.47,0.645,0.163,0.419,0.058,0.006,0.355,0.525,0.686,0.481,0.389,0.5,0.369,0.274,0.951,0.054,17,0.351,0.41,dunnkr01
Gordon Hayward,33,TOT,SF,51,28,1245,0.464,0.777,0.236,0.238,0.176,0.127,0.223,0.479,0.674,0.406,0.451,0.294,0.411,0.607,0.946,0.052,19,0.311,0.429,haywago01
GG Jackson II,19,MEM,PF,48,18,1233,0.428,0.492,0.263,0.149,0.039,0.041,0.508,0.502,0.676,0.333,0.227,0.261,0.357,0.576,0.863,0.076,38,0.224,0.484,jacksgg01
Aaron Wiggins,25,OKC,SG,78,4,1228,0.562,0.666,0.422,0.186,0.04,0.019,0.334,0.598,0.698,0.457,0.467,0,0.492,0.667,0.968,0.042,12,0.413,0.404,wiggiaa01
Larry Nance Jr.,31,NOP,C,61,0,1216,0.573,0.73,0.411,0.245,0.062,0.012,0.27,0.631,0.727,0.525,0.4,0.667,0.415,0.766,0.963,0.22,46,0.585,0.421,nancela02
Duop Reath,27,POR,C,68,20,1214,0.461,0.509,0.263,0.218,0.022,0.006,0.491,0.559,0.687,0.413,0.545,0.333,0.359,0.697,0.989,0.052,23,0.18,0.455,reathdu01
Alec Burks,32,TOT,SG,66,1,1212,0.369,0.42,0.086,0.132,0.125,0.077,0.58,0.36,0.469,0.307,0.38,0.295,0.376,0.5,0.782,0,0,0.282,0.366,burksal01
Kevon Looney,27,GSW,C,74,36,1195,0.597,0.996,0.485,0.421,0.06,0.03,0.004,0.599,0.681,0.541,0.429,0.429,0,0.676,0,0.12,24,0,0,looneke01
David Roddy,22,TOT,PF,65,13,1177,0.403,0.599,0.291,0.247,0.049,0.012,0.401,0.478,0.639,0.356,0.25,0,0.293,0.598,0.979,0.042,12,0.311,0.373,roddyda01
Vasilije Micić,30,TOT,PG,60,21,1176,0.43,0.584,0.276,0.146,0.086,0.076,0.416,0.537,0.706,0.296,0.469,0.464,0.279,0.353,0.605,0.003,1,0.084,0.154,micicva01
Patrick Williams,22,CHI,PF,43,30,1174,0.443,0.588,0.267,0.128,0.092,0.1,0.412,0.474,0.573,0.326,0.485,0.389,0.399,0.55,0.966,0.109,29,0.304,0.422,willipa01
John Konchar,27,MEM,SF,55,23,1173,0.423,0.423,0.322,0.091,0.01,0,0.577,0.568,0.657,0.316,0,0,0.317,0.68,1,0.014,3,0.492,0.271,konchjo01
Drew Eubanks,26,PHX,C,75,6,1169,0.601,0.988,0.506,0.403,0.055,0.024,0.012,0.596,0.742,0.49,0.286,0,1,0.805,1,0.336,66,1,1,eubandr01
Joe Ingles,36,ORL,SF,68,0,1169,0.436,0.291,0.079,0.198,0.009,0.004,0.709,0.439,0.778,0.311,0,1,0.435,0.448,0.929,0,0,0.199,0.469,inglejo01
Anthony Black,20,ORL,PG,69,33,1164,0.466,0.619,0.308,0.162,0.085,0.065,0.381,0.51,0.684,0.4,0.286,0.25,0.394,0.731,0.919,0.109,25,0.5,0.404,blackan01
Jordan Hawkins,21,NOP,SG,67,10,1160,0.382,0.346,0.083,0.081,0.075,0.107,0.654,0.411,0.526,0.351,0.353,0.408,0.366,0.738,0.991,0.024,7,0.245,0.466,hawkijo01
Trey Lyles,28,SAC,PF,58,0,1158,0.445,0.318,0.178,0.1,0.022,0.019,0.682,0.578,0.754,0.375,0.571,0,0.384,0.729,1,0.025,6,0.384,0.369,lylestr01
Moses Moody,21,GSW,SG,66,9,1156,0.462,0.524,0.179,0.24,0.064,0.04,0.476,0.555,0.733,0.475,0.481,0.353,0.36,0.582,0.903,0.05,17,0.27,0.315,moodymo01
Jae Crowder,33,MIL,PF,50,25,1156,0.422,0.385,0.104,0.148,0.059,0.074,0.615,0.538,0.714,0.475,0.5,0.45,0.349,0.893,0.966,0,0,0.452,0.4,crowdja01
Trayce Jackson-Davis,23,GSW,PF,68,16,1130,0.702,0.997,0.648,0.343,0.006,0,0.003,0.704,0.777,0.561,1,0,0,0.751,0,0.373,112,0,0,jackstr02
Malcolm Brogdon,31,POR,PG,39,25,1121,0.44,0.599,0.206,0.157,0.117,0.119,0.401,0.458,0.608,0.385,0.431,0.322,0.412,0.257,0.756,0.002,0,0.121,0.5,brogdma01
Dean Wade,27,CLE,PF,54,32,1108,0.414,0.129,0.073,0.013,0.017,0.026,0.871,0.567,0.765,0,0.5,0.333,0.391,0.647,0.987,0.03,6,0.351,0.408,wadede01
Josh Richardson,30,MIA,SG,43,6,1103,0.444,0.452,0.118,0.159,0.101,0.075,0.548,0.561,0.683,0.582,0.457,0.462,0.347,0.511,0.97,0.023,7,0.226,0.395,richajo01
Davion Mitchell,25,SAC,PG,72,4,1101,0.452,0.511,0.155,0.192,0.09,0.074,0.489,0.539,0.76,0.5,0.31,0.458,0.361,0.472,0.965,0,0,0.291,0.457,mitchda01
Dario Šarić,29,GSW,C,64,9,1098,0.466,0.492,0.152,0.263,0.041,0.036,0.508,0.56,0.797,0.48,0.375,0.357,0.376,0.654,1,0.003,1,0.117,0.261,saricda01
James Wiseman,22,DET,C,63,6,1091,0.613,0.993,0.446,0.433,0.079,0.036,0.007,0.617,0.787,0.515,0.375,0.273,0,0.706,0,0.282,81,0,0,wisemja01
Danté Exum,28,DAL,PG,55,17,1088,0.533,0.642,0.328,0.238,0.053,0.023,0.358,0.557,0.697,0.375,0.688,0.143,0.491,0.528,0.981,0.056,14,0.426,0.457,exumda01
Sam Merrill,27,CLE,SG,61,1,1069,0.402,0.099,0.041,0.038,0.015,0.005,0.901,0.385,0.5,0.467,0,0,0.404,0.8,0.965,0,0,0.195,0.449,merrisa01
Dennis Smith Jr.,26,BKN,PG,56,2,1059,0.435,0.678,0.37,0.198,0.044,0.065,0.322,0.502,0.672,0.299,0.267,0.318,0.294,0.426,0.875,0.083,25,0.349,0.342,smithde03
Shaedon Sharpe,20,POR,SG,32,25,1059,0.406,0.585,0.235,0.168,0.099,0.083,0.415,0.457,0.569,0.37,0.372,0.417,0.333,0.466,0.717,0.071,26,0.156,0.393,sharpsh01
Jordan Goodwin,25,TOT,PG,57,12,1055,0.369,0.631,0.215,0.204,0.136,0.076,0.369,0.411,0.561,0.308,0.365,0.345,0.298,0.293,0.857,0.008,1,0.248,0.343,goodwjo01
Marvin Bagley III,24,TOT,C,50,25,1053,0.586,0.944,0.544,0.292,0.091,0.017,0.056,0.597,0.721,0.454,0.405,0.143,0.391,0.665,1,0.189,71,0.304,0.429,baglema01
Torrey Craig,33,CHI,SF,53,14,1049,0.43,0.39,0.219,0.124,0.02,0.028,0.61,0.49,0.582,0.419,0.2,0.286,0.392,0.583,0.967,0.02,3,0.451,0.362,craigto01
Jalen Smith,23,IND,C,61,14,1047,0.592,0.635,0.41,0.177,0.015,0.033,0.365,0.689,0.765,0.557,0.833,0.385,0.424,0.671,1,0.129,49,0.167,0.417,smithja04
Dalano Banton,24,TOT,PG,54,9,1047,0.404,0.602,0.232,0.268,0.068,0.034,0.398,0.475,0.655,0.396,0.294,0.235,0.296,0.336,0.847,0.034,17,0.146,0.345,bantoda01
Ziaire Williams,22,MEM,SF,51,15,1038,0.397,0.5,0.22,0.127,0.085,0.069,0.5,0.487,0.747,0.25,0.281,0.346,0.307,0.641,0.897,0.095,32,0.37,0.357,willizi02
Jae'Sean Tate,28,HOU,SF,65,9,1031,0.472,0.664,0.336,0.301,0.009,0.017,0.336,0.559,0.61,0.551,0,0,0.299,0.506,1,0.026,4,0.545,0.333,tateja01
Kenrich Williams,29,OKC,PF,69,1,1029,0.468,0.496,0.296,0.104,0.039,0.057,0.504,0.54,0.699,0.379,0.182,0.25,0.397,0.733,0.964,0.032,7,0.312,0.409,willike04
Jose Alvarado,25,NOP,PG,56,0,1028,0.412,0.4,0.136,0.188,0.067,0.009,0.6,0.464,0.617,0.415,0.304,0.333,0.377,0.578,0.885,0,0,0.28,0.483,alvarjo01
Quentin Grimes,23,TOT,SG,51,18,1025,0.372,0.268,0.168,0.049,0.018,0.034,0.732,0.466,0.582,0.375,0.167,0.182,0.338,0.732,0.963,0.021,4,0.317,0.355,grimequ01
De'Anthony Melton,25,PHI,SG,38,33,1023,0.386,0.406,0.181,0.153,0.031,0.042,0.594,0.425,0.538,0.345,0.273,0.333,0.36,0.484,0.792,0.028,10,0.178,0.342,meltode01
Daniel Theis,31,TOT,C,60,3,1015,0.532,0.758,0.413,0.232,0.099,0.014,0.242,0.586,0.719,0.426,0.483,0,0.366,0.792,1,0.157,42,0.239,0.353,theisda01
Lonnie Walker IV,25,BKN,SG,58,0,1011,0.423,0.449,0.163,0.126,0.063,0.098,0.551,0.471,0.663,0.355,0.387,0.354,0.384,0.462,0.712,0.018,5,0.229,0.452,walkelo01
Talen Horton-Tucker,23,UTA,PG,51,11,1009,0.396,0.609,0.187,0.312,0.082,0.028,0.391,0.438,0.621,0.407,0.237,0.154,0.33,0.242,0.8,0.037,12,0.203,0.351,hortota01
Killian Hayes,22,DET,PG,42,31,1008,0.413,0.739,0.06,0.226,0.343,0.11,0.261,0.455,0.706,0.469,0.423,0.387,0.297,0.484,0.864,0.018,5,0.284,0.381,hayeski01
Jevon Carter,28,CHI,PG,72,0,1004,0.378,0.359,0.041,0.088,0.134,0.096,0.641,0.466,0.333,0.438,0.469,0.543,0.329,0.689,0.87,0,0,0.252,0.39,carteje01
Luke Kennard,27,MEM,SG,39,22,999,0.448,0.244,0.06,0.054,0.079,0.051,0.756,0.442,0.684,0.235,0.44,0.375,0.45,0.765,0.944,0,0,0.118,0.393,kennalu01
Garrison Mathews,27,ATL,SG,66,5,992,0.456,0.146,0.044,0.031,0.053,0.018,0.854,0.545,0.8,0,0.583,0.75,0.44,0.722,0.976,0,0,0.316,0.459,mathega01
Jaden Hardy,21,DAL,SG,73,7,989,0.407,0.532,0.184,0.134,0.129,0.086,0.468,0.447,0.568,0.344,0.435,0.366,0.362,0.404,0.84,0.023,9,0.254,0.351,hardyja02
Tre Mann,22,TOT,PG,41,28,987,0.459,0.601,0.237,0.212,0.104,0.047,0.399,0.516,0.667,0.433,0.424,0.333,0.373,0.194,0.766,0.022,4,0.198,0.44,manntr01
Cam Reddish,24,LAL,SF,48,26,984,0.389,0.53,0.265,0.188,0.03,0.047,0.47,0.435,0.629,0.295,0.143,0.091,0.336,0.722,1,0.056,10,0.573,0.365,reddica01
Luke Kornet,28,BOS,C,63,7,983,0.7,0.995,0.773,0.212,0.01,0,0.005,0.698,0.79,0.372,0.5,0,1,0.709,1,0.404,72,0,0,kornelu01
Keon Ellis,24,SAC,SG,57,21,978,0.461,0.276,0.103,0.095,0.034,0.043,0.724,0.578,0.667,0.591,0.625,0.3,0.417,0.649,0.943,0.03,7,0.298,0.36,elliske01
Xavier Tillman Sr.,25,TOT,PF,54,15,974,0.434,0.71,0.337,0.294,0.061,0.018,0.29,0.51,0.617,0.415,0.412,0.4,0.247,0.812,1,0.065,16,0.617,0.18,tillmxa01
Josh Okogie,25,PHX,SG,60,11,960,0.417,0.544,0.35,0.16,0.029,0.005,0.456,0.509,0.569,0.394,0.5,0,0.309,0.632,0.966,0.068,13,0.638,0.3,okogijo01
Goga Bitadze,24,ORL,C,62,33,957,0.603,0.933,0.689,0.23,0.005,0.01,0.067,0.636,0.715,0.438,0,0,0.143,0.637,1,0.273,51,0.286,0,bitadgo01
Max Christie,20,LAL,SG,67,7,944,0.427,0.51,0.166,0.158,0.124,0.062,0.49,0.496,0.6,0.342,0.533,0.533,0.356,0.639,0.976,0.075,16,0.415,0.449,chrisma02
Kevin Love,35,MIA,PF,55,5,924,0.44,0.32,0.139,0.142,0.011,0.028,0.68,0.643,0.78,0.569,0.75,0.3,0.344,0.622,0.988,0.003,0,0.135,0.273,loveke01
Day'Ron Sharpe,22,BKN,C,61,1,921,0.571,0.949,0.643,0.289,0.014,0.003,0.051,0.588,0.688,0.4,0,0,0.267,0.616,1,0.167,44,0.267,0.25,sharpda01
Jonathan Isaac,26,ORL,PF,58,2,914,0.51,0.608,0.395,0.091,0.056,0.066,0.392,0.598,0.717,0.385,0.375,0.368,0.375,0.654,0.976,0.203,52,0.491,0.455,isaacjo01
Markelle Fultz,25,ORL,PG,43,18,910,0.472,0.945,0.353,0.353,0.187,0.052,0.055,0.487,0.626,0.435,0.361,0.353,0.222,0.42,1,0.043,11,0.722,0.231,fultzma01
Doug McDermott,32,TOT,SF,64,0,904,0.433,0.194,0.099,0.042,0.025,0.028,0.806,0.527,0.607,0.333,0.571,0.5,0.41,0.931,0.979,0.021,6,0.214,0.408,mcderdo01
Jaylin Williams,21,OKC,C,69,1,897,0.417,0.368,0.18,0.118,0.053,0.018,0.632,0.5,0.61,0.407,0.333,0.5,0.368,0.833,1,0.026,5,0.215,0.355,willija07
Nikola Jović,20,MIA,PF,46,38,896,0.452,0.42,0.178,0.196,0.032,0.014,0.58,0.525,0.6,0.509,0.222,0.5,0.399,0.694,0.892,0.007,2,0.288,0.468,jovicni01
Bryce McGowens,21,CHA,SG,59,14,882,0.439,0.557,0.3,0.178,0.03,0.048,0.443,0.523,0.58,0.488,0.571,0.273,0.333,0.493,0.971,0.03,7,0.382,0.41,mcgowbr01
Cam Whitmore,19,HOU,SF,47,2,880,0.454,0.529,0.257,0.206,0.026,0.041,0.471,0.538,0.642,0.448,0.5,0.368,0.359,0.579,0.937,0.107,40,0.173,0.342,whitmca01
Jaxson Hayes,23,LAL,C,70,5,877,0.72,0.954,0.68,0.263,0,0.011,0.046,0.754,0.857,0.5,0,0.5,0,0.849,0,0.469,75,0.125,0,hayesja02
Blake Wesley,20,SAS,SG,61,3,876,0.474,0.744,0.433,0.219,0.07,0.023,0.256,0.563,0.624,0.574,0.267,0.2,0.218,0.556,1,0.116,22,0.309,0.412,weslebl01
Malachi Flynn,25,TOT,PG,69,0,876,0.418,0.48,0.163,0.151,0.098,0.068,0.52,0.513,0.623,0.408,0.469,0.545,0.331,0.275,0.714,0,0,0.148,0.44,flynnma01
Christian Wood,28,LAL,PF,50,1,872,0.466,0.568,0.261,0.223,0.042,0.042,0.432,0.587,0.812,0.424,0.455,0.182,0.307,0.761,0.971,0.102,24,0.228,0.346,woodch01
Zach LaVine,28,CHI,SG,25,23,872,0.452,0.551,0.237,0.136,0.053,0.125,0.449,0.536,0.64,0.431,0.5,0.468,0.349,0.396,0.525,0.04,13,0.183,0.452,lavinza01
Maxi Kleber,32,DAL,C,43,7,871,0.432,0.37,0.178,0.075,0.082,0.034,0.63,0.574,0.769,0.273,0.583,0.2,0.348,0.839,0.969,0.041,6,0.348,0.219,klebima01
Justin Holiday,34,DEN,SG,58,9,862,0.454,0.299,0.134,0.031,0.021,0.113,0.701,0.569,0.692,0.333,0.75,0.455,0.404,0.788,0.964,0.057,10,0.485,0.5,holidju01
Chimezie Metu,26,TOT,C,51,12,859,0.504,0.615,0.311,0.217,0.061,0.025,0.385,0.633,0.803,0.491,0.4,0.333,0.298,0.737,0.929,0.156,34,0.319,0.333,metuch01
Trendon Watford,23,BKN,PF,63,2,856,0.527,0.781,0.305,0.392,0.061,0.023,0.219,0.564,0.705,0.492,0.421,0.286,0.397,0.431,0.963,0.023,7,0.338,0.304,watfotr01
Taylor Hendricks,20,UTA,PF,40,23,856,0.45,0.417,0.158,0.196,0.038,0.025,0.583,0.55,0.737,0.447,0.667,0,0.379,0.545,1,0.092,20,0.514,0.458,hendrta01
Dwight Powell,32,DAL,C,63,9,836,0.679,0.972,0.811,0.16,0,0,0.028,0.689,0.767,0.294,0,0,0.333,0.62,1,0.217,18,0.667,0.5,poweldw01
Troy Brown Jr.,24,TOT,SF,59,15,827,0.372,0.376,0.128,0.142,0.031,0.075,0.624,0.435,0.586,0.25,0.429,0.529,0.333,0.459,0.915,0.018,3,0.312,0.295,browntr01
Marcus Morris,34,TOT,PF,49,7,817,0.439,0.549,0.072,0.121,0.178,0.178,0.451,0.469,0.684,0.375,0.511,0.404,0.403,0.471,0.938,0.008,2,0.294,0.429,morrima03
Caleb Houstan,21,ORL,SF,59,13,815,0.388,0.063,0.019,0.019,0.015,0.01,0.937,0.615,0.5,0.75,1,0,0.373,0.5,0.986,0,0,0.378,0.397,houstca01
Ben Sheppard,22,IND,SG,57,1,814,0.393,0.319,0.162,0.114,0.035,0.009,0.681,0.562,0.676,0.385,0.5,1,0.314,0.659,0.98,0.026,5,0.506,0.38,sheppbe01
Jake LaRavia,22,MEM,PF,35,6,806,0.389,0.485,0.218,0.218,0.023,0.026,0.515,0.442,0.591,0.303,0.571,0.25,0.34,0.569,0.887,0.026,8,0.167,0.462,laravja01
Bismack Biyombo,31,TOT,C,40,27,791,0.565,1,0.489,0.504,0.008,0,0,0.565,0.719,0.424,0,0,0,0.757,0,0.198,24,0,0,biyombi01
JT Thor,21,CHA,PF,63,3,781,0.437,0.557,0.344,0.109,0.06,0.044,0.443,0.51,0.651,0.2,0.364,0.375,0.346,0.712,1,0.104,16,0.519,0.333,thorjt01
Isaiah Jackson,22,IND,C,59,3,771,0.665,0.983,0.67,0.27,0.03,0.013,0.017,0.677,0.795,0.397,0.571,0.667,0,0.755,0,0.352,72,0.5,0,jacksis01
Mitchell Robinson,25,NYK,C,31,21,768,0.575,1,0.929,0.071,0,0,0,0.575,0.602,0.222,0,0,0,0.479,0,0.409,45,0,0,robinmi01
Jock Landale,28,HOU,C,56,3,763,0.515,0.806,0.388,0.262,0.117,0.039,0.194,0.578,0.638,0.519,0.625,0.25,0.25,0.75,1,0.117,20,0.1,0.25,landajo01
Cody Martin,28,CHA,SF,28,22,753,0.381,0.6,0.223,0.158,0.098,0.121,0.4,0.426,0.667,0.382,0.381,0.077,0.314,0.436,0.704,0.033,5,0.36,0.355,martico01
KJ Martin,23,TOT,SF,60,2,746,0.536,0.845,0.613,0.227,0,0.006,0.155,0.582,0.649,0.415,0,0,0.286,0.787,1,0.227,34,0.536,0.4,martike04
Delon Wright,31,TOT,PG,47,1,742,0.394,0.638,0.218,0.314,0.059,0.048,0.362,0.408,0.634,0.322,0.273,0.111,0.368,0.429,0.88,0.005,1,0.235,0.25,wrighde01
Ish Smith,35,CHA,PG,43,5,741,0.418,0.949,0.222,0.278,0.31,0.139,0.051,0.413,0.457,0.477,0.306,0.455,0.5,0.387,0.75,0,0,0.125,1,smithis01
Mo Bamba,25,PHI,C,57,17,740,0.49,0.677,0.475,0.146,0.02,0.035,0.323,0.537,0.617,0.345,0.75,0.143,0.391,0.611,1,0.187,33,0.125,0.125,bambamo01
Nick Smith Jr.,19,CHA,SG,51,0,729,0.391,0.495,0.09,0.138,0.138,0.128,0.505,0.35,0.385,0.425,0.4,0.189,0.432,0.38,0.841,0.007,2,0.233,0.559,smithni01
Landry Shamet,26,WAS,SG,46,5,726,0.431,0.427,0.153,0.135,0.073,0.066,0.573,0.556,0.69,0.405,0.55,0.556,0.338,0.738,0.925,0.044,8,0.274,0.419,shamela01
Chris Duarte,26,SAC,SF,59,11,719,0.381,0.395,0.152,0.119,0.067,0.057,0.605,0.434,0.656,0.36,0.429,0,0.346,0.667,0.886,0.024,4,0.346,0.386,duartch01
Jordan Nwora,25,TOT,SF,52,1,712,0.462,0.562,0.268,0.197,0.06,0.037,0.438,0.56,0.663,0.542,0.389,0.182,0.336,0.585,0.841,0.033,9,0.298,0.359,nworajo01
LaMelo Ball,22,CHA,PG,22,22,711,0.433,0.534,0.191,0.265,0.054,0.024,0.466,0.5,0.654,0.455,0.348,0.1,0.355,0.159,0.586,0.002,0,0.157,0.484,ballla01
Chris Boucher,31,TOR,PF,50,0,705,0.507,0.567,0.373,0.166,0.009,0.018,0.433,0.642,0.765,0.417,0.5,0.25,0.33,0.595,1,0.092,18,0.415,0.256,bouchch01
Jacob Gilyard,25,TOT,PG,41,14,699,0.4,0.16,0.027,0.04,0.013,0.08,0.84,0.375,0.25,0.5,0,0.417,0.405,0.111,0.824,0,0,0.238,0.5,gilyaja01
Bruno Fernando,25,ATL,C,45,2,682,0.583,0.979,0.567,0.369,0.037,0.005,0.021,0.596,0.755,0.391,0.286,0,0,0.817,0,0.219,38,0,0,fernabr01
Dalen Terry,21,CHI,SG,59,2,681,0.439,0.529,0.357,0.153,0.019,0,0.471,0.627,0.679,0.583,0,0,0.23,0.462,0.941,0.115,16,0.446,0.333,terryda01
Gary Payton II,31,GSW,SG,44,0,680,0.563,0.699,0.388,0.306,0.005,0,0.301,0.648,0.718,0.571,0,0,0.364,0.819,1,0.126,20,0.636,0.343,paytoga02
Mason Plumlee,33,LAC,C,46,11,674,0.569,0.961,0.562,0.379,0.02,0,0.039,0.592,0.698,0.466,0,0,0,0.736,0,0.268,38,0.667,0,plumlma01
Dāvis Bertāns,31,TOT,PF,43,1,674,0.393,0.145,0.064,0.038,0.004,0.038,0.855,0.471,0.6,0.444,0,0.333,0.38,0.938,0.961,0.017,3,0.225,0.333,bertada01
Keita Bates-Diop,28,TOT,SF,53,8,665,0.434,0.584,0.343,0.181,0.06,0,0.416,0.526,0.632,0.333,0.5,0,0.304,0.627,0.952,0.096,15,0.623,0.326,bateske01
Jalen Wilson,23,BKN,PF,43,3,664,0.425,0.587,0.229,0.251,0.084,0.022,0.413,0.495,0.683,0.356,0.4,0.5,0.324,0.615,1,0,0,0.392,0.379,wilsoja03
Craig Porter Jr.,23,CLE,PG,51,6,649,0.509,0.851,0.32,0.241,0.193,0.096,0.149,0.536,0.644,0.473,0.455,0.5,0.353,0.385,0.833,0.044,9,0.176,0.167,portecr01
Rayan Rupert,19,POR,SG,39,12,633,0.335,0.516,0.143,0.273,0.093,0.006,0.484,0.313,0.478,0.295,0.133,0,0.359,0.538,0.857,0.012,2,0.346,0.37,ruperra01
Oshae Brissett,25,BOS,SF,55,1,630,0.444,0.641,0.34,0.261,0.013,0.026,0.359,0.541,0.673,0.4,0.5,0.25,0.273,0.66,1,0.144,20,0.436,0.333,brissos01
Danilo Gallinari,35,TOT,SF,49,0,630,0.437,0.511,0.142,0.116,0.153,0.1,0.489,0.546,0.852,0.409,0.517,0.316,0.323,0.528,0.867,0.053,8,0.097,0.556,gallida01
Jordan McLaughlin,27,MIN,PG,56,0,626,0.483,0.386,0.214,0.117,0.028,0.028,0.614,0.5,0.613,0.353,0,0.75,0.472,0.643,0.976,0,0,0.494,0.432,mclaujo01
Seth Curry,33,TOT,SG,44,4,616,0.392,0.471,0.059,0.103,0.074,0.235,0.529,0.438,0.833,0.524,0.133,0.396,0.352,0.5,0.868,0,0,0.324,0.457,curryse01
