Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA form the corner,3P% from the corner,playerID
Adam Flagler,24,OKC,SG,2,0,14,0.143,0.143,0,0,0.143,0,0.857,0,0,0,0,0,0.167,0,0,0,0,0,0,flaglad01
Andrew Funk,24,CHI,SG,5,0,13,0,0.25,0,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.667,0,funkan01
Quenton Jackson,25,IND,PG,3,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jacksqu01
Joshua Primo,21,LAC,SG,2,0,10,0.333,0.667,0.333,0,0,0.333,0.333,0.5,1,0,0,0,0,1,0,0,0,0,0,primojo01
Filip Petrušev,23,TOT,C,3,0,10,0.5,1,0,0,1,0,0,0.5,0,0,0.5,0,0,1,0,0,0,0,0,petrufi01
Lindell Wigginton,25,MIL,PG,3,0,8,0.4,0.6,0.4,0.2,0,0,0.4,0.667,1,0,0,0,0,0,0,0,0,0,0,wiggili01
Kaiser Gates,27,NOP,SF,1,0,7,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,gateska01
Shaquille Harrison,30,MEM,SG,3,0,6,0.5,1,1,0,0,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0,harrish01
Kevon Harris,26,ORL,SG,2,0,6,0.667,1,0.333,0,0.333,0.333,0,0.667,1,0,0,1,0,0.5,0,0,0,0,0,harrike01
Hamidou Diallo,25,WAS,SG,2,0,5,0.5,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,diallha01
Ron Harper Jr.,23,TOR,PF,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,harpero02
Markquis Nowell,24,TOR,SG,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nowelma01
Isaiah Wong,23,IND,SG,1,0,4,0.333,0.667,0,0.333,0,0.333,0.333,0.5,0,0,0,1,0,0,0,0,0,1,0,wongis01
Izaiah Brockington,24,NOP,PG,1,0,3,0.4,0.8,0.4,0.2,0,0.2,0.2,0.5,1,0,0,0,0,0.5,0,0.2,1,0,0,brockiz01
Malcolm Cazalon,22,DET,SG,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cazalma01
Jalen Crutcher,24,NOP,PG,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,crutcja01
Dmytro Skapintsev,25,NYK,C,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,skapidm01
Justin Jackson,28,MIN,SF,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jacksju01
Javonte Smart,24,PHI,PG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,smartja01
