Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
JT Thor,21,CHA,PF,63,3,781,-3.7,8.6,4,6,49,1,10,1,73,2,15,thorjt01
Isaiah Jackson,22,IND,C,59,3,771,2.2,-1,12,3,71,19,49,4,111,13,22,jacksis01
Mitchell Robinson,25,NYK,C,31,21,768,0.9,-4.7,1,14,33,5,25,2,43,4,13,robinmi01
Jock Landale,28,HOU,C,56,3,763,9.6,10.5,8,7,39,11,31,3,156,7,22,landajo01
Cody Martin,28,CHA,SF,28,22,753,-9.5,1.4,26,15,30,0,17,8,249,4,19,martico01
KJ Martin,23,TOT,SF,60,2,746,-0.1,-3.7,7,9,38,12,22,2,129,7,29,martike04
Delon Wright,31,TOT,PG,47,1,742,1.8,7.3,5,7,19,2,18,6,297,3,11,wrighde01
Ish Smith,35,CHA,PG,43,5,741,-18.4,-9.6,33,11,40,1,1,7,346,0,7,smithis01
Mo Bamba,25,PHI,C,57,17,740,-3.7,-8.2,12,5,55,19,25,2,102,5,12,bambamo01
Nick Smith Jr.,19,CHA,SG,51,0,729,-14,-4.1,23,8,30,2,7,3,149,1,12,smithni01
Landry Shamet,26,WAS,SG,46,5,726,-9.4,-0.2,16,9,39,2,24,7,136,11,21,shamela01
Chris Duarte,26,SAC,SF,59,11,719,-3.1,-5.3,10,8,38,2,13,14,101,2,11,duartch01
Jordan Nwora,25,TOT,SF,52,1,712,-13.6,-10.9,29,12,26,3,27,2,139,9,18,nworajo01
LaMelo Ball,22,CHA,PG,22,22,711,-9.2,1.7,37,22,26,11,40,5,396,7,14,ballla01
Chris Boucher,31,TOR,PF,50,0,705,2.8,11.2,6,11,46,4,50,12,53,12,14,bouchch01
Jacob Gilyard,25,TOT,PG,41,14,699,-12.3,-6.2,25,3,18,0,1,2,344,1,5,gilyaja01
Bruno Fernando,25,ATL,C,45,2,682,-5.6,-4,15,8,61,19,49,2,114,11,23,fernabr01
