Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playerID
Dario Šarić,29,GSW,C,64,9,1098,181,388,74,197,107,191,0.562,79,93,73,210,283,144,31,10,78,112,515,saricda01
Aaron Holiday,27,HOU,PG,78,1,1269,186,417,84,217,102,200,0.547,58,63,23,100,123,140,42,6,53,125,514,holidaa01
Gradey Dick,20,TOR,SG,60,17,1268,189,445,88,241,101,204,0.524,44,51,27,105,132,68,34,2,50,87,510,dickgr01
Shaedon Sharpe,20,POR,SG,32,25,1059,176,434,60,180,116,254,0.475,98,119,42,118,160,94,28,12,72,88,510,sharpsh01
Jeff Green,37,HOU,PF,78,6,1307,167,366,53,160,114,206,0.529,122,149,46,132,178,70,16,31,46,100,509,greenje02
Kyle Anderson,30,MIN,PF,79,10,1782,199,433,11,48,188,385,0.472,97,137,60,213,273,331,71,47,91,128,506,anderky01
Julian Champagnie,22,SAS,SF,74,59,1468,164,402,101,277,63,125,0.534,75,92,42,164,206,103,48,42,57,77,504,champju02
Isaiah Stewart,22,DET,PF,46,45,1423,186,382,67,175,119,207,0.575,64,85,74,231,305,73,17,38,66,99,503,stewais01
Gordon Hayward,33,TOT,SF,51,28,1245,187,403,37,90,150,313,0.51,89,120,38,143,181,158,40,13,66,67,500,haywago01
Cedi Osman,28,SAS,SF,72,3,1269,184,384,86,221,98,163,0.591,35,52,25,155,180,119,36,11,47,107,489,osmande01
Zach LaVine,28,CHI,SG,25,23,872,170,376,59,169,111,207,0.531,88,103,8,121,129,98,21,8,52,57,487,lavinza01
Kyle Lowry,37,TOT,PG,60,55,1690,163,377,98,250,65,127,0.562,63,75,34,160,194,253,59,21,85,146,487,lowryky01
Kevin Love,35,MIA,PF,55,5,924,158,359,84,244,74,115,0.557,85,108,59,279,338,115,18,10,48,97,485,loveke01
Sam Merrill,27,CLE,SG,61,1,1069,158,393,143,354,15,39,0.584,26,28,22,98,120,108,19,4,19,72,485,merrisa01
Dereck Lively II,19,DAL,C,55,42,1294,221,296,0,2,221,294,0.747,41,81,135,243,378,60,36,77,50,144,483,livelde01
Draymond Green,33,GSW,PF,55,52,1490,185,372,51,129,134,243,0.566,54,74,76,322,398,332,55,47,135,166,475,greendr01
Josh Green,23,DAL,SG,57,33,1505,179,374,72,187,107,187,0.575,39,57,40,144,184,130,47,9,60,107,469,greenjo02
Naji Marshall,26,NOP,SF,66,1,1257,170,367,58,150,112,217,0.542,68,86,53,187,240,128,49,12,65,91,466,marshna01
Amir Coffey,26,LAC,SF,70,13,1460,166,352,70,184,96,168,0.571,61,71,29,119,148,76,41,14,33,102,463,coffeam01
Ochai Agbaji,23,TOT,SG,78,28,1641,178,433,62,211,116,222,0.483,37,56,74,142,216,83,47,44,64,117,455,agbajoc01
Patrick Beverley,35,TOT,PG,73,13,1462,158,379,61,181,97,198,0.497,74,90,49,190,239,212,43,31,65,128,451,beverpa01
James Wiseman,22,DET,C,63,6,1091,187,305,0,2,187,303,0.613,72,102,110,226,336,54,12,39,66,141,446,wisemja01
Trendon Watford,23,BKN,PF,63,2,856,164,311,27,68,137,243,0.571,77,97,52,142,194,81,23,19,63,106,432,watfotr01
Luke Kennard,27,MEM,SG,39,22,999,141,315,107,238,34,77,0.617,40,45,11,102,113,136,20,2,54,39,429,kennalu01
Patrick Williams,22,CHI,PF,43,30,1174,159,359,59,148,100,211,0.525,52,66,46,120,166,66,40,33,57,87,429,willipa01
Pat Connaughton,31,MIL,SF,76,3,1676,151,347,82,238,69,109,0.553,44,58,51,188,239,161,40,19,49,99,428,connapa01
Danté Exum,28,DAL,PG,55,17,1088,161,302,53,108,108,194,0.621,53,68,25,124,149,157,22,5,49,85,428,exumda01
Josh Richardson,30,MIA,SG,43,6,1103,154,347,66,190,88,157,0.539,51,54,18,103,121,105,24,14,36,76,425,richajo01
David Roddy,22,TOT,PF,65,13,1177,165,409,48,164,117,245,0.462,47,68,53,158,211,80,27,11,57,72,425,roddyda01
Vasilije Micić,30,TOT,PG,60,21,1176,159,370,43,154,116,216,0.488,61,75,14,74,88,262,31,7,99,68,422,micicva01
De'Anthony Melton,25,PHI,SG,38,33,1023,139,360,77,214,62,146,0.493,66,79,28,113,141,114,60,16,39,84,421,meltode01
Ziaire Williams,22,MEM,SF,51,15,1038,150,378,58,189,92,189,0.474,62,75,35,145,180,75,36,9,66,85,420,willizi02
Trey Lyles,28,SAC,PF,58,0,1158,143,321,84,219,59,102,0.576,49,70,61,196,257,72,17,19,38,86,419,lylestr01
Day'Ron Sharpe,22,BKN,C,61,1,921,168,294,4,15,164,279,0.578,75,123,161,228,389,85,24,44,70,131,415,sharpda01
Haywood Highsmith,27,MIA,PF,66,26,1366,153,329,76,192,77,137,0.581,23,36,65,145,210,70,53,30,34,117,405,highsha01
Jose Alvarado,25,NOP,PG,56,0,1028,142,345,78,207,64,138,0.525,35,52,25,103,128,117,59,15,40,89,397,alvarjo01
Jonathan Isaac,26,ORL,PF,58,2,914,146,286,42,112,104,174,0.584,59,82,73,187,260,30,43,70,27,64,393,isaacjo01
Isaiah Jackson,22,IND,C,59,3,771,155,233,0,4,155,229,0.665,73,102,94,144,238,50,34,61,39,137,383,jacksis01
Tre Mann,22,TOT,PG,41,28,987,145,316,47,126,98,190,0.533,45,59,20,129,149,165,51,3,65,48,382,manntr01
Malachi Flynn,25,TOT,PG,69,0,876,136,325,56,169,80,156,0.505,52,71,21,93,114,130,38,8,63,66,380,flynnma01
Drew Eubanks,26,PHX,C,75,6,1169,152,253,3,3,149,250,0.607,72,93,103,219,322,63,27,61,61,115,379,eubandr01
