Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
Malcolm Brogdon,27,IND,PG,54,54,1666,326,744,75,230,251,514,0.489,166,186,46,216,262,381,35,10,131,98,893,brogdma01
John Collins,22,ATL,PF,41,41,1363,353,605,59,147,294,458,0.632,120,150,116,300,416,60,31,66,75,138,885,collijo01
Will Barton,29,DEN,SF,58,58,1916,332,738,108,288,224,450,0.523,102,133,76,289,365,212,61,29,88,121,874,bartowi01
Markelle Fultz,21,ORL,PG,72,60,1996,359,772,36,135,323,637,0.488,116,159,41,197,238,369,90,11,147,142,870,fultzma01
Robert Covington,29,TOT,C,70,68,2137,305,723,161,480,144,243,0.533,99,124,63,400,463,88,115,93,103,220,870,covinro01
Coby White,19,CHI,PG,65,1,1674,312,792,133,376,179,416,0.478,102,129,28,202,230,175,49,6,109,117,859,whiteco01
Jerami Grant,25,DEN,PF,71,24,1892,303,634,98,252,205,382,0.555,147,196,58,190,248,88,50,57,63,154,851,grantje01
Ricky Rubio,29,PHX,PG,65,65,2016,287,692,78,216,209,476,0.471,195,226,46,258,304,570,94,11,173,167,847,rubiori01
Serge Ibaka,30,TOR,C,55,27,1485,343,670,70,182,273,488,0.564,89,124,114,338,452,77,28,46,109,153,845,ibakase01
Miles Bridges,21,CHA,SF,65,64,1995,319,753,99,300,220,453,0.489,106,131,88,274,362,114,40,48,95,132,843,bridgmi02
Caris LeVert,25,BKN,SG,45,31,1330,311,732,80,220,231,512,0.48,140,197,49,140,189,199,53,10,118,81,842,leverca01
Eric Paschall,23,GSW,PF,60,26,1654,318,640,37,129,281,511,0.526,164,212,82,193,275,127,32,13,94,125,837,pascher01
Dāvis Bertāns,27,WAS,PF,54,4,1583,265,610,200,472,65,138,0.598,104,122,35,210,245,92,37,33,59,139,834,bertada01
Nemanja Bjelica,31,SAC,PF,72,67,2011,314,653,134,320,180,333,0.583,69,84,111,347,458,203,62,40,99,216,831,bjeline01
Norman Powell,26,TOR,SG,52,26,1479,296,598,109,273,187,325,0.586,129,153,26,164,190,91,60,21,77,108,830,powelno01
Brook Lopez,31,MIL,C,68,67,1817,292,671,102,325,190,346,0.511,127,152,58,254,312,99,46,163,70,163,813,lopezbr01
Christian Wood,24,DET,PF,62,12,1325,288,508,54,140,234,368,0.62,180,242,104,286,390,60,34,54,84,98,810,woodch01
RJ Barrett,19,NYK,SG,56,55,1704,292,727,63,197,229,530,0.445,156,254,50,229,279,143,55,17,124,122,803,barrerj01
Al Horford,33,PHI,C,67,61,2025,319,709,99,283,220,426,0.52,61,80,103,353,456,270,52,61,80,142,798,horfoal01
Seth Curry,29,DAL,SG,64,25,1576,284,574,145,321,139,253,0.621,80,97,27,118,145,124,38,9,62,113,793,curryse01
Kyle Kuzma,24,LAL,PF,61,9,1526,291,668,86,272,205,396,0.5,114,155,52,221,273,80,28,26,91,126,782,kuzmaky01
De'Andre Hunter,22,ATL,SF,63,62,2018,280,683,108,304,172,379,0.489,110,144,44,242,286,112,44,18,103,182,778,huntede01
Marcus Smart,25,BOS,SG,60,40,1919,256,682,137,395,119,287,0.476,127,152,42,183,225,291,101,29,103,162,776,smartma01
Jarrett Allen,21,BKN,C,70,64,1852,302,465,0,6,302,459,0.649,171,270,216,455,671,110,40,92,77,162,775,allenja01
Taurean Prince,25,BKN,PF,64,61,1857,278,739,146,431,132,308,0.475,71,89,50,331,381,116,57,25,127,159,773,princta02
Patty Mills,31,SAS,PG,66,1,1485,258,598,154,403,104,195,0.56,97,112,22,86,108,118,53,6,54,105,767,millspa02
Derrick White,25,SAS,SG,68,20,1677,253,552,79,216,174,336,0.53,180,211,35,188,223,241,44,59,89,152,765,whitede01
Josh Richardson,26,PHI,SG,55,53,1693,278,646,85,249,193,397,0.496,114,141,41,133,174,162,52,36,104,136,755,richajo01
Myles Turner,23,IND,C,62,62,1826,268,587,86,250,182,337,0.53,127,169,86,321,407,72,46,132,85,166,749,turnemy01
Lonzo Ball,22,NOP,PG,63,54,2025,277,687,148,395,129,292,0.511,43,76,71,312,383,438,88,38,193,128,745,balllo01
Tyler Herro,20,MIA,SG,55,8,1508,270,631,116,298,154,333,0.52,87,100,16,208,224,121,34,9,87,76,743,herroty01
Ish Smith,31,WAS,PG,68,23,1787,308,689,62,169,246,520,0.492,62,86,30,189,219,334,59,30,95,106,740,smithis01
Lauri Markkanen,22,CHI,PF,50,50,1492,251,591,109,317,142,274,0.517,126,153,60,253,313,74,42,23,81,96,737,markkla01
OG Anunoby,22,TOR,SF,69,68,2066,286,566,89,228,197,338,0.584,72,102,80,284,364,108,96,45,79,167,733,anunoog01
Darius Garland,20,CLE,SG,59,59,1824,280,699,105,296,175,403,0.476,63,72,27,84,111,229,42,4,151,92,728,garlada01
Glenn Robinson III,26,TOT,SF,62,52,1786,288,592,77,197,211,395,0.552,74,86,81,189,270,96,54,16,55,100,727,robingl02
Rudy Gay,33,SAS,PF,67,5,1461,266,596,74,220,192,376,0.508,120,136,61,301,362,114,35,33,88,103,726,gayru01
Dejounte Murray,23,SAS,PG,66,58,1687,294,637,41,111,253,526,0.494,91,114,69,314,383,271,111,17,125,143,720,murrade01
Cedi Osman,24,CLE,SF,65,65,1910,266,609,123,321,143,288,0.538,63,94,39,192,231,154,54,16,91,160,718,osmande01
Troy Brown Jr.,20,WAS,SF,69,22,1782,273,622,61,179,212,443,0.488,109,139,76,307,383,178,85,7,79,132,716,browntr01
Ben McLemore,26,HOU,SF,71,23,1619,242,545,181,452,61,93,0.61,50,67,21,136,157,58,45,16,50,155,715,mclembe01
Doug McDermott,28,IND,PF,69,0,1372,267,547,128,294,139,253,0.605,48,58,26,148,174,78,12,5,42,117,710,mcderdo01
P.J. Washington,21,CHA,PF,58,57,1759,268,589,86,230,182,359,0.528,88,136,58,258,316,123,51,44,93,158,710,washipj01
