Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,PlayerID
Victor Oladipo,27,IND,SG,19,16,27.8,3.9,2.9,14.5,oladivi01
Mike Conley,32,UTA,PG,47,41,29,3.2,4.4,14.4,conlemi01
Aaron Gordon,24,ORL,PF,62,62,32.5,7.7,3.7,14.4,gordoaa01
Eric Gordon,31,HOU,SF,36,15,28.2,2,1.5,14.4,gordoer01
RJ Barrett,19,NYK,SG,56,55,30.4,5,2.6,14.3,barrerj01
Marvin Bagley III,20,SAC,C,13,6,25.7,7.5,0.8,14.2,baglema01
Jabari Parker,24,TOT,PF,38,23,24.1,5.6,1.8,14,parkeja01
Eric Paschall,23,GSW,PF,60,26,27.6,4.6,2.1,14,pascher01
Clint Capela,25,HOU,C,39,39,32.8,13.8,1.2,13.9,capelca01
Josh Richardson,26,PHI,SG,55,53,30.8,3.2,2.9,13.7,richajo01
Rui Hachimura,21,WAS,PF,48,48,30.1,6.1,1.8,13.5,hachiru01
Tyler Herro,20,MIA,SG,55,8,27.4,4.1,2.2,13.5,herroty01
Duncan Robinson,25,MIA,SG,73,68,29.7,3.2,1.4,13.5,robindu01
Thomas Bryant,22,WAS,C,46,36,24.9,7.2,1.8,13.2,bryanth01
Coby White,19,CHI,PG,65,1,25.8,3.5,2.7,13.2,whiteco01
Christian Wood,24,DET,PF,62,12,21.4,6.3,1,13.1,woodch01
Miles Bridges,21,CHA,SF,65,64,30.7,5.6,1.8,13,bridgmi02
Ricky Rubio,29,PHX,PG,65,65,31,4.7,8.8,13,rubiori01
Marcus Smart,25,BOS,SG,60,40,32,3.8,4.9,12.9,smartma01
Kyle Kuzma,24,LAL,PF,61,9,25,4.5,1.3,12.8,kuzmaky01
Damion Lee,27,GSW,SG,49,36,29,4.9,2.7,12.7,leeda03
Jeremy Lamb,27,IND,SG,46,42,28.1,4.3,2.1,12.5,lambje01
Robert Covington,29,TOT,C,70,68,30.5,6.6,1.3,12.4,covinro01
Seth Curry,29,DAL,SG,64,25,24.6,2.3,1.9,12.4,curryse01
Darius Garland,20,CLE,SG,59,59,30.9,1.9,3.9,12.3,garlada01
Richaun Holmes,26,SAC,C,44,38,28.2,8.1,1,12.3,holmeri01
De'Andre Hunter,22,ATL,SF,63,62,32,4.5,1.8,12.3,huntede01
