Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
James Ennis III,31,TOT,SF,7,0,56,0.458,0.667,0.542,0.083,0,0.042,0.333,0.5,0.538,0.5,0,0,0.375,0.75,1,0,0,0.125,0,ennisja01
D.J. Wilson,25,TOR,PF,4,1,54,0.733,0.867,0.4,0.133,0.2,0.133,0.133,0.846,1,0.5,0.667,1,0,0.727,0,0.267,4,0.5,0,wilsodj01
Myles Powell,24,PHI,PG,11,0,52,0.294,0.647,0.353,0.176,0,0.118,0.353,0.364,0.667,0,0,0,0.167,0,0,0,0,0,0,powelmy01
Mason Jones,23,LAL,SG,4,0,51,0.467,0.733,0.267,0.4,0.067,0,0.267,0.545,0.75,0.5,0,0,0.25,0.667,0,0,0,0,0,jonesma05
Tremont Waters,24,TOT,PG,3,0,50,0.286,0.357,0,0.143,0.143,0.071,0.643,0.4,0,0.5,0.5,0,0.222,0,0.5,0,0,0.222,0,watertr01
Cameron McGriff,24,POR,SF,3,0,46,0.357,0.571,0.357,0.143,0,0.071,0.429,0.375,0.4,0.5,0,0,0.333,0.667,0,0,0,0.333,0,mcgrica01
Miye Oni,24,UTA,SG,16,0,44,0.222,0.111,0.111,0,0,0,0.889,1,1,0,0,0,0.125,0,1,0,0,0.625,0,onimi01
Gabriel Lundberg,27,PHX,SG,4,0,44,0.263,0.579,0.158,0.053,0,0.368,0.421,0.182,0,0,0,0.286,0.375,0,0.667,0,0,0,0,lundbga01
Vernon Carey Jr.,20,TOT,C,7,1,44,0.538,1,0.615,0,0.077,0.308,0,0.538,0.75,0,0,0.25,0,0.286,0,0,0,0,0,careyve01
Jared Harper,24,NOP,PG,5,0,43,0.538,0.538,0.192,0.115,0.077,0.154,0.462,0.643,0.4,1,0.5,0.75,0.417,0.333,0.6,0.038,1,0.083,1,harpeja01
