Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Mikal Bridges,25,PHX,SF,82,82,2854,0.534,0.636,0.224,0.203,0.155,0.045,0.364,0.628,0.792,0.621,0.504,0.256,0.369,0.752,0.974,0.064,52,0.551,0.401,bridgmi01
Miles Bridges,23,CHA,PF,80,80,2837,0.491,0.617,0.357,0.212,0.02,0.029,0.383,0.59,0.723,0.412,0.458,0.343,0.331,0.597,0.825,0.107,118,0.275,0.344,bridgmi02
DeMar DeRozan,32,CHI,PF,76,76,2743,0.504,0.907,0.164,0.158,0.297,0.288,0.093,0.52,0.671,0.494,0.511,0.457,0.352,0.217,0.9,0.026,33,0.387,0.327,derozde01
Jayson Tatum,23,BOS,SF,76,76,2731,0.453,0.584,0.219,0.169,0.087,0.1,0.416,0.524,0.746,0.4,0.331,0.41,0.353,0.425,0.565,0.052,76,0.117,0.395,tatumja01
Saddiq Bey,22,DET,SF,82,82,2704,0.396,0.463,0.166,0.157,0.072,0.068,0.537,0.454,0.619,0.348,0.329,0.429,0.346,0.431,0.891,0.021,23,0.252,0.403,beysa01
Tyrese Haliburton,21,TOT,PG,77,77,2695,0.473,0.572,0.127,0.183,0.157,0.099,0.428,0.517,0.713,0.41,0.517,0.456,0.414,0.279,0.571,0.026,24,0.136,0.434,halibty01
Russell Westbrook,33,LAL,PG,78,78,2678,0.444,0.785,0.329,0.231,0.105,0.109,0.215,0.485,0.623,0.389,0.377,0.37,0.298,0.23,0.633,0.021,17,0.174,0.435,westbru01
Trae Young,23,ATL,PG,76,76,2652,0.46,0.605,0.155,0.199,0.113,0.124,0.395,0.512,0.619,0.451,0.463,0.518,0.382,0.138,0.219,0,0,0.048,0.552,youngtr01
Tyrese Maxey,21,PHI,PG,75,74,2650,0.485,0.689,0.258,0.237,0.121,0.073,0.311,0.512,0.654,0.466,0.317,0.479,0.427,0.45,0.712,0.017,14,0.181,0.589,maxeyty01
Dorian Finney-Smith,28,DAL,PF,80,80,2644,0.471,0.371,0.233,0.098,0.025,0.016,0.629,0.599,0.752,0.324,0.471,0.273,0.395,0.766,0.983,0.082,49,0.414,0.461,finnedo01
Scottie Barnes,20,TOR,PF,74,74,2617,0.492,0.793,0.26,0.315,0.114,0.086,0.207,0.543,0.711,0.503,0.396,0.388,0.301,0.421,0.845,0.074,61,0.28,0.37,barnesc01
Harrison Barnes,29,SAC,PF,77,77,2587,0.469,0.568,0.23,0.278,0.04,0.006,0.432,0.525,0.677,0.405,0.455,0.4,0.394,0.546,0.937,0.034,25,0.303,0.495,barneha02
Pascal Siakam,27,TOR,PF,68,68,2578,0.494,0.819,0.216,0.34,0.132,0.132,0.181,0.527,0.716,0.498,0.447,0.371,0.344,0.292,0.947,0.026,31,0.183,0.475,siakapa01
Julius Randle,27,NYK,PF,72,72,2544,0.411,0.687,0.254,0.152,0.137,0.144,0.313,0.458,0.627,0.368,0.374,0.335,0.308,0.362,0.8,0.04,43,0.115,0.289,randlju01
Tobias Harris,29,PHI,PF,73,73,2543,0.482,0.731,0.25,0.282,0.156,0.043,0.269,0.525,0.699,0.444,0.428,0.386,0.367,0.444,0.891,0.045,43,0.262,0.361,harrito02
Jalen Brunson,25,DAL,SG,79,61,2524,0.502,0.75,0.147,0.288,0.189,0.126,0.25,0.545,0.703,0.524,0.518,0.449,0.373,0.262,0.809,0.005,5,0.298,0.507,brunsja01
Buddy Hield,29,TOT,SG,81,32,2499,0.406,0.348,0.129,0.081,0.068,0.064,0.652,0.482,0.606,0.382,0.427,0.443,0.366,0.44,0.821,0.006,7,0.154,0.391,hieldbu01
Nikola Jokić,26,DEN,C,74,74,2476,0.583,0.78,0.268,0.384,0.082,0.046,0.22,0.652,0.776,0.606,0.565,0.467,0.337,0.58,0.918,0.025,31,0.038,0.273,jokicni01
Karl-Anthony Towns,26,MIN,C,74,74,2476,0.529,0.699,0.329,0.254,0.049,0.06,0.301,0.58,0.684,0.539,0.35,0.356,0.41,0.524,0.873,0.09,97,0.085,0.355,townska01
Anthony Edwards,20,MIN,SG,72,72,2466,0.441,0.516,0.277,0.124,0.052,0.051,0.484,0.519,0.658,0.368,0.308,0.359,0.357,0.356,0.549,0.055,57,0.085,0.333,edwaran01
Fred VanVleet,27,TOR,PG,65,65,2462,0.403,0.415,0.081,0.121,0.088,0.114,0.585,0.44,0.663,0.316,0.423,0.432,0.377,0.225,0.591,0,0,0.125,0.438,vanvlfr01
Terry Rozier,27,CHA,SG,73,73,2458,0.444,0.492,0.181,0.165,0.082,0.064,0.508,0.516,0.649,0.396,0.521,0.44,0.374,0.439,0.838,0.011,10,0.364,0.403,roziete01
Gary Trent Jr.,23,TOR,SG,70,69,2448,0.414,0.498,0.087,0.128,0.112,0.163,0.502,0.445,0.579,0.41,0.484,0.379,0.383,0.407,0.761,0.015,14,0.194,0.377,trentga02
Darius Garland,22,CLE,PG,68,68,2430,0.462,0.613,0.194,0.182,0.137,0.095,0.387,0.512,0.604,0.453,0.497,0.455,0.383,0.261,0.489,0.001,0,0.126,0.368,garlada01
Franz Wagner,20,ORL,SF,79,79,2429,0.468,0.722,0.295,0.367,0.043,0.016,0.278,0.511,0.625,0.455,0.31,0.25,0.354,0.531,0.833,0.063,59,0.225,0.459,wagnefr01
LaMelo Ball,20,CHA,PG,75,75,2422,0.429,0.549,0.204,0.176,0.104,0.065,0.451,0.462,0.582,0.398,0.389,0.37,0.389,0.264,0.75,0.023,24,0.152,0.407,ballla01
James Harden,32,TOT,PG,65,65,2419,0.41,0.548,0.229,0.231,0.06,0.024,0.452,0.476,0.599,0.371,0.433,0.458,0.33,0.185,0.25,0.005,5,0.049,0.273,hardeja01
Nikola Vučević,31,CHI,C,73,73,2418,0.473,0.713,0.223,0.253,0.137,0.101,0.287,0.537,0.708,0.49,0.449,0.397,0.314,0.713,1,0.032,34,0.06,0.3,vucevni01
RJ Barrett,21,NYK,SF,70,70,2417,0.408,0.662,0.309,0.243,0.068,0.042,0.338,0.442,0.596,0.307,0.309,0.3,0.342,0.398,0.913,0.04,40,0.248,0.31,barrerj01
Royce O'Neale,28,UTA,SF,77,77,2406,0.457,0.311,0.194,0.106,0.011,0,0.689,0.609,0.686,0.532,0,0,0.389,0.679,0.983,0.025,10,0.307,0.383,onealro01
Keldon Johnson,22,SAS,SF,75,74,2392,0.466,0.605,0.218,0.295,0.064,0.029,0.395,0.51,0.645,0.45,0.369,0.414,0.398,0.644,0.969,0.028,25,0.228,0.484,johnske04
Aaron Gordon,26,DEN,PF,75,75,2376,0.52,0.688,0.381,0.169,0.084,0.054,0.312,0.605,0.796,0.369,0.329,0.422,0.335,0.628,0.851,0.173,130,0.419,0.349,gordoaa01
Dejounte Murray,25,SAS,PG,68,68,2366,0.462,0.763,0.214,0.206,0.226,0.116,0.237,0.504,0.665,0.418,0.456,0.451,0.327,0.189,0.698,0.019,23,0.17,0.28,murrade01
Evan Fournier,29,NYK,SG,80,80,2358,0.417,0.359,0.081,0.122,0.079,0.077,0.641,0.465,0.603,0.39,0.474,0.432,0.389,0.478,0.88,0.004,3,0.281,0.437,fournev01
Patty Mills,33,BKN,SG,81,48,2346,0.408,0.285,0.063,0.037,0.065,0.116,0.715,0.429,0.74,0.207,0.365,0.37,0.4,0.608,0.925,0,0,0.254,0.403,millspa02
Devin Booker,25,PHX,SG,68,68,2345,0.466,0.664,0.108,0.153,0.22,0.168,0.336,0.508,0.699,0.475,0.468,0.473,0.383,0.395,0.634,0.016,21,0.121,0.362,bookede01
Reggie Jackson,31,LAC,SG,75,75,2337,0.392,0.581,0.143,0.188,0.106,0.138,0.419,0.439,0.634,0.443,0.349,0.302,0.326,0.202,0.575,0.011,10,0.186,0.358,jacksre01
Herbert Jones,23,NOP,PF,78,69,2335,0.476,0.707,0.41,0.205,0.016,0.071,0.293,0.533,0.682,0.288,0.444,0.39,0.337,0.631,0.982,0.104,52,0.521,0.341,joneshe01
Evan Mobley,20,CLE,PF,69,69,2331,0.508,0.889,0.357,0.305,0.142,0.073,0.111,0.541,0.764,0.383,0.449,0.328,0.25,0.647,0.957,0.194,148,0.228,0.333,mobleev01
Kentavious Caldwell-Pope,28,WAS,SG,77,77,2329,0.435,0.508,0.105,0.116,0.112,0.174,0.492,0.48,0.678,0.365,0.43,0.465,0.39,0.614,0.899,0.011,6,0.336,0.46,caldwke01
Andrew Wiggins,26,GSW,SF,73,73,2329,0.466,0.608,0.161,0.242,0.094,0.111,0.392,0.513,0.732,0.49,0.365,0.372,0.393,0.497,0.898,0.051,45,0.261,0.442,wiggian01
Zach LaVine,26,CHI,SG,67,67,2328,0.476,0.599,0.264,0.103,0.086,0.147,0.401,0.534,0.7,0.451,0.343,0.408,0.389,0.35,0.568,0.055,62,0.139,0.53,lavinza01
Alec Burks,30,NYK,SG,81,44,2318,0.391,0.466,0.124,0.165,0.111,0.066,0.534,0.378,0.444,0.342,0.358,0.375,0.404,0.43,0.752,0.004,3,0.226,0.432,burksal01
Terance Mann,25,LAC,SF,81,33,2317,0.484,0.699,0.312,0.178,0.133,0.068,0.301,0.535,0.693,0.455,0.402,0.298,0.365,0.516,0.829,0.097,56,0.385,0.363,mannte01
Luka Dončić,22,DAL,PG,65,65,2301,0.457,0.594,0.128,0.239,0.165,0.062,0.406,0.528,0.778,0.499,0.44,0.356,0.353,0.107,0.219,0.006,7,0.049,0.286,doncilu01
Joel Embiid,27,PHI,C,68,68,2297,0.499,0.812,0.253,0.194,0.24,0.124,0.188,0.529,0.763,0.409,0.431,0.428,0.371,0.513,0.71,0.06,74,0.048,0.25,embiijo01
Marcus Smart,27,BOS,PG,71,71,2296,0.418,0.499,0.146,0.249,0.074,0.026,0.501,0.506,0.695,0.441,0.509,0.105,0.331,0.365,0.908,0.013,8,0.233,0.345,smartma01
Jordan Poole,22,GSW,SG,76,51,2283,0.448,0.452,0.142,0.182,0.066,0.061,0.548,0.55,0.68,0.523,0.457,0.431,0.364,0.414,0.706,0.019,16,0.16,0.355,poolejo01
Will Barton,31,DEN,SG,71,71,2277,0.438,0.52,0.186,0.18,0.067,0.087,0.48,0.504,0.701,0.398,0.433,0.359,0.365,0.498,0.771,0.027,23,0.216,0.441,bartowi01
Desmond Bane,23,MEM,SG,76,76,2266,0.461,0.525,0.153,0.154,0.114,0.099,0.475,0.484,0.673,0.376,0.437,0.413,0.436,0.589,0.82,0.005,6,0.18,0.383,banede01
Donovan Mitchell,25,UTA,SG,67,67,2266,0.448,0.525,0.14,0.236,0.077,0.072,0.475,0.533,0.708,0.465,0.519,0.434,0.355,0.177,0.483,0.018,21,0.09,0.356,mitchdo01
Jonas Valančiūnas,29,NOP,C,74,74,2240,0.544,0.832,0.323,0.32,0.131,0.043,0.168,0.581,0.7,0.527,0.48,0.45,0.361,0.623,0.982,0.063,52,0.019,0.333,valanjo01
Monte Morris,26,DEN,PG,75,74,2239,0.484,0.594,0.155,0.137,0.132,0.169,0.406,0.545,0.725,0.491,0.49,0.466,0.395,0.472,0.935,0,0,0.328,0.398,morrimo01
Jaylen Brown,25,BOS,SF,66,66,2220,0.473,0.619,0.199,0.229,0.09,0.09,0.381,0.544,0.764,0.427,0.491,0.436,0.358,0.471,0.759,0.034,31,0.185,0.337,brownja02
Stephen Curry,33,GSW,PG,64,64,2211,0.437,0.387,0.12,0.134,0.062,0.071,0.613,0.527,0.599,0.53,0.513,0.414,0.38,0.368,0.572,0,0,0.091,0.324,curryst01
Jrue Holiday,31,MIL,PG,67,64,2207,0.501,0.664,0.222,0.246,0.124,0.071,0.336,0.547,0.651,0.464,0.542,0.515,0.411,0.197,0.432,0.004,4,0.103,0.364,holidjr01
Giannis Antetokounmpo,27,MIL,PF,67,67,2204,0.553,0.806,0.399,0.194,0.119,0.08,0.194,0.616,0.805,0.419,0.419,0.43,0.293,0.426,0.423,0.147,174,0.025,0.167,antetgi01
Kyle Kuzma,26,WAS,PF,66,66,2204,0.452,0.599,0.167,0.254,0.107,0.065,0.401,0.526,0.744,0.496,0.39,0.311,0.341,0.485,0.875,0.024,19,0.227,0.329,kuzmaky01
Derrick White,27,TOT,SG,75,52,2199,0.421,0.539,0.159,0.231,0.12,0.029,0.461,0.515,0.614,0.503,0.479,0.217,0.312,0.401,0.835,0.009,7,0.195,0.306,whitede01
Kevin Huerter,23,ATL,SF,74,60,2188,0.454,0.459,0.107,0.134,0.136,0.079,0.541,0.53,0.667,0.49,0.505,0.467,0.389,0.519,0.9,0.004,3,0.258,0.453,huertke01
Devonte' Graham,26,NOP,PG,76,63,2162,0.363,0.309,0.081,0.067,0.054,0.098,0.691,0.413,0.621,0.291,0.409,0.325,0.341,0.298,0.734,0.001,1,0.13,0.342,grahade01
Tyler Herro,22,MIA,SG,66,10,2151,0.447,0.609,0.136,0.191,0.15,0.122,0.391,0.477,0.686,0.407,0.452,0.394,0.399,0.328,0.709,0.014,14,0.205,0.389,herroty01
CJ McCollum,30,TOT,PG,62,62,2145,0.46,0.597,0.124,0.18,0.16,0.124,0.403,0.509,0.646,0.445,0.505,0.486,0.388,0.254,0.637,0.003,4,0.122,0.368,mccolcj01
Jordan Clarkson,29,UTA,SG,79,1,2141,0.419,0.464,0.099,0.272,0.075,0.018,0.536,0.535,0.627,0.515,0.554,0.25,0.318,0.221,0.674,0.012,8,0.193,0.348,clarkjo01
Khris Middleton,30,MIL,SF,66,66,2141,0.443,0.575,0.103,0.137,0.187,0.14,0.425,0.494,0.733,0.414,0.497,0.385,0.373,0.328,0.63,0.008,6,0.106,0.391,middlkh01
Malik Monk,23,LAL,SG,76,37,2139,0.473,0.465,0.225,0.162,0.034,0.04,0.535,0.568,0.72,0.448,0.393,0.303,0.391,0.537,0.827,0.067,52,0.17,0.4,monkma01
Chris Paul,36,PHX,PG,65,65,2139,0.493,0.73,0.033,0.148,0.344,0.192,0.27,0.559,0.75,0.569,0.597,0.482,0.317,0.097,0.413,0,0,0.08,0.313,paulch01
Jalen Green,19,HOU,SG,67,67,2138,0.426,0.52,0.271,0.129,0.031,0.088,0.48,0.502,0.68,0.252,0.333,0.381,0.343,0.438,0.662,0.087,69,0.146,0.373,greenja05
Domantas Sabonis,25,TOT,PF,62,61,2136,0.573,0.838,0.484,0.261,0.047,0.041,0.162,0.623,0.738,0.515,0.389,0.219,0.312,0.614,0.974,0.085,59,0.136,0.235,sabondo01
Seth Curry,31,TOT,SG,64,64,2135,0.487,0.494,0.053,0.1,0.133,0.208,0.506,0.553,0.692,0.568,0.51,0.539,0.422,0.465,0.829,0,0,0.182,0.5,curryse01
Kyle Lowry,35,MIA,PG,63,63,2133,0.44,0.391,0.118,0.091,0.089,0.088,0.609,0.539,0.716,0.456,0.446,0.473,0.377,0.303,0.653,0,0,0.147,0.446,lowryky01
Bojan Bogdanović,32,UTA,PF,69,69,2131,0.455,0.496,0.147,0.25,0.084,0.015,0.504,0.524,0.684,0.483,0.41,0.286,0.387,0.568,0.917,0.016,11,0.376,0.42,bogdabo02
Jaren Jackson Jr.,22,MEM,PF,78,78,2126,0.415,0.613,0.217,0.331,0.054,0.005,0.387,0.476,0.613,0.399,0.411,0.4,0.319,0.556,0.977,0.051,46,0.17,0.265,jacksja02
Rudy Gobert,29,UTA,C,66,66,2120,0.713,0.992,0.738,0.244,0.008,0.002,0.008,0.718,0.803,0.468,0.75,0,0,0.724,0,0.494,233,0,0,goberru01
Ayo Dosunmu,22,CHI,SG,77,40,2110,0.52,0.652,0.368,0.114,0.097,0.073,0.348,0.596,0.701,0.377,0.481,0.564,0.376,0.572,0.986,0.045,20,0.489,0.407,dosunay01
Christian Wood,26,HOU,C,68,67,2094,0.501,0.617,0.312,0.211,0.054,0.041,0.383,0.57,0.737,0.454,0.34,0.194,0.39,0.605,0.847,0.147,120,0.116,0.462,woodch01
Cade Cunningham,20,DET,SG,64,64,2088,0.416,0.648,0.214,0.249,0.113,0.072,0.352,0.472,0.588,0.432,0.431,0.324,0.314,0.235,0.711,0.02,19,0.143,0.365,cunnica01
LeBron James,37,LAL,C,56,56,2084,0.524,0.633,0.325,0.141,0.073,0.094,0.367,0.62,0.796,0.465,0.382,0.426,0.359,0.407,0.559,0.07,85,0.074,0.303,jamesle01
De'Aaron Fox,24,SAC,PG,59,59,2083,0.473,0.772,0.196,0.263,0.185,0.114,0.228,0.524,0.72,0.463,0.46,0.448,0.297,0.213,0.541,0.013,14,0.129,0.25,foxde01
D'Angelo Russell,25,MIN,PG,65,65,2077,0.411,0.469,0.125,0.124,0.101,0.105,0.531,0.492,0.689,0.405,0.459,0.373,0.34,0.262,0.619,0.008,5,0.081,0.381,russeda01
Davion Mitchell,23,SAC,PG,75,19,2076,0.418,0.62,0.187,0.154,0.108,0.167,0.38,0.48,0.646,0.438,0.352,0.418,0.316,0.231,0.653,0.004,3,0.116,0.324,mitchda01
Cole Anthony,21,ORL,PG,65,65,2059,0.391,0.571,0.147,0.214,0.095,0.115,0.429,0.432,0.59,0.385,0.448,0.305,0.338,0.24,0.667,0.025,14,0.087,0.324,anthoco01
Mike Conley,34,UTA,PG,72,72,2058,0.435,0.477,0.075,0.268,0.109,0.025,0.523,0.464,0.559,0.453,0.442,0.4,0.408,0.257,0.521,0.001,0,0.167,0.391,conlemi01
Justin Holiday,32,TOT,SF,74,65,2057,0.394,0.272,0.103,0.048,0.044,0.073,0.728,0.467,0.603,0.344,0.483,0.375,0.367,0.786,0.955,0.021,12,0.284,0.394,holidju01
Jae'Sean Tate,26,HOU,PF,78,77,2056,0.498,0.723,0.414,0.295,0.01,0.004,0.277,0.569,0.705,0.391,0.286,0.333,0.312,0.49,0.937,0.064,43,0.391,0.316,tateja01
Kevin Durant,33,BKN,PF,55,55,2047,0.518,0.731,0.105,0.141,0.313,0.16,0.269,0.568,0.744,0.516,0.53,0.579,0.383,0.492,0.548,0.032,33,0.067,0.55,duranke01
Duncan Robinson,27,MIA,SG,79,68,2043,0.399,0.14,0.077,0.039,0.012,0.012,0.86,0.569,0.679,0.393,0.556,0.444,0.372,0.828,0.953,0.003,2,0.236,0.429,robindu01
Clint Capela,27,ATL,C,74,73,2042,0.613,0.998,0.757,0.22,0.007,0.002,0.002,0.614,0.687,0.391,0.5,0,0,0.759,0,0.293,163,0,0,capelca01
Bobby Portis,26,MIL,C,72,59,2028,0.479,0.612,0.217,0.184,0.125,0.082,0.388,0.533,0.64,0.5,0.45,0.437,0.393,0.546,1,0.036,23,0.376,0.409,portibo01
Al Horford,35,BOS,C,69,69,2005,0.467,0.534,0.162,0.237,0.069,0.053,0.466,0.582,0.772,0.519,0.538,0.333,0.336,0.661,0.955,0.054,30,0.279,0.378,horfoal01
Steven Adams,28,MEM,C,76,75,1999,0.547,0.997,0.682,0.25,0.042,0.003,0.003,0.548,0.637,0.354,0.438,0,0,0.481,0,0.143,48,0,0,adamsst01
Kelly Oubre Jr.,26,CHA,SF,76,13,1999,0.44,0.407,0.231,0.121,0.042,0.013,0.593,0.578,0.716,0.425,0.308,0.417,0.345,0.612,0.932,0.063,53,0.313,0.335,oubreke01
Deni Avdija,21,WAS,SF,82,8,1984,0.432,0.553,0.219,0.261,0.04,0.031,0.447,0.525,0.63,0.464,0.435,0.389,0.317,0.583,0.927,0.021,6,0.247,0.266,avdijde01
P.J. Tucker,36,MIA,PF,71,70,1981,0.484,0.549,0.199,0.245,0.077,0.016,0.451,0.54,0.6,0.543,0.455,0.286,0.415,0.811,0.95,0.007,3,0.86,0.41,tuckepj01
Isaac Okoro,21,CLE,SF,67,61,1981,0.48,0.636,0.487,0.123,0.009,0.016,0.364,0.555,0.648,0.264,0.25,0.143,0.35,0.717,0.945,0.09,36,0.732,0.348,okorois01
Spencer Dinwiddie,28,TOT,PG,67,51,1980,0.416,0.551,0.174,0.227,0.086,0.049,0.449,0.479,0.641,0.395,0.444,0.333,0.339,0.201,0.536,0.007,3,0.182,0.367,dinwisp01
Malik Beasley,25,MIN,SG,79,18,1976,0.391,0.251,0.088,0.066,0.052,0.045,0.749,0.432,0.587,0.357,0.341,0.342,0.377,0.652,0.896,0.02,16,0.316,0.403,beaslma01
Jakob Poeltl,26,SAS,C,68,67,1970,0.618,0.998,0.471,0.391,0.133,0.005,0.002,0.618,0.747,0.514,0.477,0.333,1,0.702,1,0.072,44,0,0,poeltja01
Shai Gilgeous-Alexander,23,OKC,PG,56,56,1942,0.453,0.718,0.217,0.317,0.13,0.047,0.282,0.514,0.667,0.447,0.445,0.49,0.3,0.137,0.303,0.023,23,0.077,0.391,gilgesh01
Robert Covington,31,TOT,PF,71,42,1940,0.42,0.319,0.171,0.108,0.022,0.018,0.681,0.509,0.659,0.333,0.273,0.444,0.378,0.654,0.922,0.03,12,0.192,0.569,covinro01
Devin Vassell,21,SAS,SF,71,32,1937,0.427,0.503,0.131,0.126,0.151,0.096,0.497,0.492,0.67,0.448,0.417,0.425,0.361,0.672,0.971,0.043,28,0.326,0.347,vassede01
Jimmy Butler,32,MIA,SF,57,57,1931,0.48,0.86,0.296,0.286,0.191,0.066,0.14,0.52,0.706,0.422,0.468,0.327,0.233,0.369,0.778,0.051,38,0.466,0.278,butleji01
Darius Bazley,21,OKC,PF,69,53,1924,0.422,0.586,0.297,0.251,0.011,0.017,0.414,0.511,0.611,0.405,0.571,0.182,0.297,0.634,0.913,0.14,75,0.234,0.317,bazleda01
Luke Kennard,25,LAC,SG,70,13,1919,0.449,0.338,0.05,0.086,0.121,0.08,0.662,0.449,0.625,0.455,0.416,0.392,0.449,0.66,0.911,0,0,0.139,0.475,kennalu01
Kevin Porter Jr.,21,HOU,PG,61,61,1907,0.415,0.489,0.203,0.157,0.058,0.071,0.511,0.456,0.646,0.291,0.362,0.351,0.375,0.267,0.516,0.052,34,0.107,0.477,porteke02
Reggie Bullock,30,DAL,SF,68,37,1902,0.401,0.218,0.096,0.048,0.032,0.042,0.782,0.55,0.688,0.292,0.688,0.429,0.36,0.767,0.986,0.004,2,0.446,0.406,bullore01
Ja Morant,22,MEM,PG,57,57,1889,0.493,0.782,0.33,0.29,0.134,0.024,0.218,0.534,0.709,0.434,0.38,0.25,0.344,0.248,0.477,0.057,58,0.082,0.381,moranja01
Jae Crowder,31,PHX,PF,67,67,1886,0.399,0.329,0.053,0.09,0.079,0.097,0.671,0.503,0.655,0.449,0.488,0.491,0.348,0.8,0.913,0.004,2,0.205,0.413,crowdja01
Jarred Vanderbilt,22,MIN,PF,74,67,1880,0.587,0.961,0.717,0.208,0.019,0,0.039,0.605,0.707,0.293,0.143,0,0.143,0.681,1,0.341,116,0.643,0.222,vandeja01
Lauri Markkanen,24,CLE,SF,61,61,1878,0.445,0.459,0.223,0.142,0.061,0.028,0.541,0.548,0.675,0.45,0.326,0.5,0.358,0.678,0.993,0.08,51,0.2,0.342,markkla01
Grant Williams,23,BOS,PF,77,21,1875,0.475,0.403,0.185,0.167,0.035,0.014,0.597,0.569,0.75,0.5,0.133,0.167,0.411,0.717,0.991,0.032,11,0.481,0.468,willigr01
Brandon Ingram,24,NOP,SF,55,55,1869,0.461,0.77,0.14,0.149,0.245,0.222,0.23,0.501,0.681,0.438,0.51,0.427,0.327,0.396,0.851,0.045,39,0.128,0.414,ingrabr01
Cody Martin,26,CHA,SF,71,11,1866,0.482,0.624,0.39,0.137,0.045,0.052,0.376,0.542,0.679,0.345,0.316,0.227,0.384,0.636,0.885,0.092,34,0.597,0.379,martico01
Ivica Zubac,24,LAC,C,76,76,1852,0.626,1,0.572,0.378,0.032,0.006,0,0.626,0.714,0.508,0.5,0.333,0,0.706,0,0.242,108,0,0,zubaciv01
Wendell Carter Jr.,22,ORL,PF,62,61,1852,0.525,0.687,0.327,0.202,0.101,0.057,0.313,0.615,0.781,0.457,0.478,0.462,0.327,0.609,1,0.143,90,0.103,0.364,cartewe01
Jeff Green,35,DEN,PF,75,63,1849,0.524,0.682,0.342,0.233,0.078,0.03,0.318,0.62,0.79,0.496,0.415,0.188,0.315,0.821,0.981,0.153,74,0.548,0.315,greenje02
Mitchell Robinson,23,NYK,C,72,62,1848,0.761,1,0.918,0.082,0,0,0,0.761,0.781,0.536,0,0,0,0.517,0,0.583,178,0,0,robinmi01
Bogdan Bogdanović,29,ATL,SG,63,27,1848,0.431,0.422,0.111,0.113,0.106,0.084,0.578,0.516,0.625,0.444,0.524,0.478,0.368,0.376,0.781,0.005,3,0.227,0.462,bogdabo01
Dennis Schröder,28,TOT,PG,64,29,1837,0.431,0.655,0.167,0.221,0.123,0.131,0.345,0.477,0.636,0.45,0.382,0.432,0.344,0.265,0.698,0,0,0.104,0.346,schrode01
Bam Adebayo,24,MIA,C,56,56,1825,0.557,0.992,0.38,0.306,0.196,0.086,0.008,0.562,0.776,0.471,0.406,0.317,0,0.596,0,0.173,114,0,0,adebaba01
Mo Bamba,23,ORL,C,71,69,1824,0.48,0.545,0.285,0.157,0.045,0.057,0.455,0.563,0.727,0.433,0.286,0.314,0.381,0.566,0.991,0.159,85,0.27,0.303,bambamo01
Isaiah Stewart,20,DET,C,71,71,1816,0.51,0.906,0.584,0.243,0.039,0.041,0.094,0.529,0.591,0.445,0.158,0.5,0.326,0.689,0.933,0.061,28,0.087,0,stewais01
Jarrett Allen,23,CLE,C,56,56,1809,0.677,0.982,0.622,0.288,0.042,0.018,0.018,0.688,0.808,0.478,0.478,0.6,0.1,0.731,0,0.341,163,0.5,0,allenja01
Grayson Allen,26,MIL,SG,66,61,1805,0.448,0.316,0.155,0.097,0.047,0.012,0.684,0.533,0.67,0.4,0.37,0.429,0.409,0.625,0.893,0.021,9,0.257,0.45,allengr01
Robert Williams,24,BOS,C,61,61,1804,0.736,0.997,0.758,0.19,0.014,0.014,0.003,0.738,0.796,0.571,0.2,0.4,0,0.675,0,0.465,155,0,0,williro04
Jaden McDaniels,21,MIN,PF,70,31,1803,0.46,0.545,0.283,0.179,0.054,0.029,0.455,0.579,0.726,0.364,0.533,0.563,0.317,0.72,0.975,0.101,46,0.484,0.361,mcdanja02
Immanuel Quickley,22,NYK,PG,78,3,1802,0.392,0.453,0.09,0.167,0.13,0.066,0.547,0.448,0.631,0.421,0.404,0.354,0.346,0.299,0.526,0.004,2,0.104,0.39,quickim01
Corey Kispert,22,WAS,SF,77,36,1801,0.455,0.377,0.167,0.132,0.045,0.033,0.623,0.629,0.791,0.515,0.565,0.353,0.35,0.803,0.982,0.025,12,0.325,0.423,kispeco01
Dwight Powell,30,DAL,C,82,71,1798,0.671,0.908,0.708,0.16,0.02,0.02,0.092,0.703,0.792,0.422,0.375,0.125,0.351,0.855,1,0.302,108,0.216,0.625,poweldw01
Mason Plumlee,31,CHA,C,73,73,1793,0.641,0.994,0.681,0.266,0.044,0.003,0.006,0.645,0.752,0.424,0.357,0,0,0.776,0,0.375,108,0,0,plumlma01
Carmelo Anthony,37,LAL,PF,69,3,1793,0.441,0.451,0.097,0.066,0.151,0.129,0.549,0.521,0.657,0.417,0.505,0.484,0.375,0.465,0.913,0.018,10,0.171,0.412,anthoca01
Josh Hart,26,TOT,SG,54,53,1791,0.504,0.626,0.399,0.134,0.06,0.033,0.374,0.601,0.705,0.434,0.382,0.421,0.343,0.472,0.74,0.035,19,0.169,0.583,hartjo01
Caris LeVert,27,TOT,SG,58,49,1781,0.444,0.7,0.207,0.26,0.201,0.032,0.3,0.497,0.638,0.441,0.442,0.37,0.32,0.303,0.634,0.023,20,0.129,0.303,leverca01
