Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playerID
Jimmy Butler,32,MIA,SF,57,57,1931,398,829,27,116,371,713,0.496,396,455,102,234,336,312,94,27,121,88,1219,butleji01
Christian Wood,26,HOU,C,68,67,2094,440,878,131,336,309,542,0.576,207,332,110,576,686,155,54,65,126,171,1218,woodch01
Franz Wagner,20,ORL,SF,79,79,2429,456,975,96,271,360,704,0.517,189,219,84,272,356,231,68,34,119,164,1197,wagnefr01
Tyrese Haliburton,21,TOT,PG,77,77,2695,430,909,161,389,269,520,0.562,160,190,61,250,311,628,134,49,199,121,1181,halibty01
D'Angelo Russell,25,MIN,PG,65,65,2077,401,975,176,518,225,457,0.502,198,240,25,191,216,460,62,22,165,130,1176,russeda01
Domantas Sabonis,25,TOT,PF,62,61,2136,443,773,39,125,404,648,0.598,246,332,201,551,752,323,59,27,195,203,1171,sabondo01
Mikal Bridges,25,PHX,SF,82,82,2854,458,858,115,312,343,546,0.601,131,157,74,273,347,185,96,36,68,150,1162,bridgmi01
Jalen Green,19,HOU,SG,67,67,2138,406,954,157,458,249,496,0.508,188,236,33,193,226,176,44,18,135,103,1157,greenja05
Kelly Oubre Jr.,26,CHA,SF,76,13,1999,410,932,191,553,219,379,0.542,126,189,79,223,302,84,77,31,67,189,1137,oubreke01
Scottie Barnes,20,TOR,PF,74,74,2617,459,932,58,193,401,739,0.524,158,215,195,362,557,256,80,55,136,192,1134,barnesc01
Kyle Kuzma,26,WAS,PF,66,66,2204,423,936,128,375,295,561,0.52,156,219,70,491,561,233,42,57,169,128,1130,kuzmaky01
Aaron Gordon,26,DEN,PF,75,75,2376,434,834,87,260,347,574,0.573,171,230,125,314,439,188,44,44,133,148,1126,gordoaa01
Evan Fournier,29,NYK,SG,80,80,2358,402,965,241,619,161,346,0.541,80,113,34,176,210,171,79,20,105,180,1125,fournev01
Cade Cunningham,20,DET,SG,64,64,2088,429,1031,114,363,315,668,0.471,142,168,58,296,354,356,78,43,234,200,1114,cunnica01
Bam Adebayo,24,MIA,C,56,56,1825,406,729,0,6,406,723,0.557,256,340,137,427,564,190,80,44,148,171,1068,adebaba01
Cole Anthony,21,ORL,PG,65,65,2059,357,912,132,391,225,521,0.464,216,253,32,316,348,369,46,17,170,171,1062,anthoco01
Bobby Portis,26,MIL,C,72,59,2028,417,871,133,338,284,533,0.555,85,113,180,477,657,86,53,51,90,174,1052,portibo01
Malik Monk,23,LAL,SG,76,37,2139,391,826,173,442,218,384,0.578,93,117,37,219,256,218,61,29,122,138,1048,monkma01
Will Barton,31,DEN,SG,71,71,2277,392,896,157,430,235,466,0.525,102,127,44,296,340,276,55,31,127,114,1043,bartowi01
Evan Mobley,20,CLE,PF,69,69,2331,422,830,23,92,399,738,0.522,167,252,143,427,570,174,56,115,133,147,1034,mobleev01
Kristaps Porziņģis,26,TOT,PF,51,51,1481,352,767,78,252,274,515,0.51,248,286,102,309,411,119,37,84,81,137,1030,porzikr01
Rudy Gobert,29,UTA,C,66,66,2120,362,508,0,4,362,504,0.713,303,439,241,727,968,72,45,137,119,176,1027,goberru01
Kentavious Caldwell-Pope,28,WAS,SG,77,77,2329,361,829,159,408,202,421,0.531,137,154,41,220,261,145,83,26,97,139,1018,caldwke01
Kevin Love,33,CLE,C,74,4,1665,327,761,187,477,140,284,0.553,166,198,87,449,536,160,26,18,98,101,1007,loveke01
Deandre Ayton,23,PHX,C,58,58,1713,442,697,7,19,435,678,0.639,106,142,149,444,593,84,40,40,91,142,997,aytonde01
Derrick White,27,TOT,SG,75,52,2199,337,800,115,369,222,431,0.493,203,235,38,223,261,366,64,58,119,172,992,whitede01
Anfernee Simons,22,POR,SG,57,30,1681,353,797,179,442,174,355,0.555,103,116,26,125,151,221,30,6,115,110,988,simonan01
Mike Conley,34,UTA,PG,72,72,2058,344,791,169,414,175,377,0.542,129,162,47,170,217,385,96,21,123,142,986,conlemi01
Caris LeVert,27,TOT,SG,58,49,1781,379,854,82,256,297,598,0.492,146,193,43,171,214,248,51,23,108,131,986,leverca01
Seth Curry,31,TOT,SG,64,64,2135,360,739,158,374,202,365,0.594,82,94,21,179,200,230,53,14,109,148,960,curryse01
Chris Paul,36,PHX,PG,65,65,2139,363,736,63,199,300,537,0.536,169,202,22,261,283,702,121,20,153,134,958,paulch01
Malik Beasley,25,MIN,SG,79,18,1976,332,850,240,637,92,213,0.532,49,60,26,201,227,116,43,12,43,88,953,beaslma01
Bogdan Bogdanović,29,ATL,SG,63,27,1848,342,794,169,459,173,335,0.537,97,115,29,221,250,194,68,14,70,132,950,bogdabo01
Kevin Porter Jr.,21,HOU,PG,61,61,1907,335,808,155,413,180,395,0.511,124,193,43,224,267,376,69,22,192,156,949,porteke02
Monte Morris,26,DEN,PG,75,74,2239,374,773,124,314,250,459,0.564,73,84,27,199,226,333,56,14,78,92,945,morrimo01
Alec Burks,30,NYK,SG,81,44,2318,285,728,157,389,128,339,0.499,217,264,47,350,397,239,85,26,91,215,944,burksal01
Montrezl Harrell,28,TOT,C,71,3,1641,358,555,4,17,354,538,0.649,212,296,149,282,431,145,29,43,72,137,932,harremo01
Wendell Carter Jr.,22,ORL,PF,62,61,1852,359,684,70,214,289,470,0.576,143,207,139,509,648,171,36,43,117,169,931,cartewe01
Bradley Beal,28,WAS,SG,40,40,1439,348,771,63,210,285,561,0.492,169,203,38,151,189,265,36,15,135,95,928,bealbr01
Anthony Davis,28,LAL,C,40,40,1404,370,695,13,70,357,625,0.542,174,244,106,288,394,122,49,90,82,97,927,davisan02
Patty Mills,33,BKN,SG,81,48,2346,324,794,227,568,97,226,0.551,48,59,18,138,156,183,51,17,73,112,923,millspa02
Carmelo Anthony,37,LAL,PF,69,3,1793,319,723,149,397,170,326,0.544,132,159,62,226,288,68,47,52,59,166,919,anthoca01
Jae'Sean Tate,26,HOU,PF,78,77,2056,363,729,63,202,300,527,0.541,130,184,135,285,420,222,72,41,139,286,919,tateja01
Spencer Dinwiddie,28,TOT,PG,67,51,1980,306,735,112,330,194,405,0.493,195,252,45,234,279,346,44,13,104,150,919,dinwisp01
Jakob Poeltl,26,SAS,C,68,67,1970,410,663,1,1,409,662,0.619,94,190,262,372,634,189,45,118,109,212,915,poeltja01
Jarrett Allen,23,CLE,C,56,56,1809,369,545,1,10,368,535,0.678,165,233,192,410,602,92,44,75,94,97,904,allenja01
Jerami Grant,27,DET,PF,47,47,1500,298,699,91,254,207,445,0.491,217,259,28,163,191,111,44,49,85,107,904,grantje01
Devonte' Graham,26,NOP,PG,76,63,2162,296,815,192,563,104,252,0.481,118,140,37,140,177,316,71,12,105,95,902,grahade01
Lauri Markkanen,24,CLE,SF,61,61,1878,313,703,136,380,177,323,0.542,138,159,59,286,345,81,45,30,54,130,900,markkla01
Kevin Huerter,23,ATL,SF,74,60,2188,345,760,160,411,185,349,0.559,42,52,32,222,254,203,55,26,91,185,892,huertke01
Immanuel Quickley,22,NYK,PG,78,3,1802,284,724,137,396,147,328,0.487,177,201,31,216,247,275,54,3,99,167,882,quickim01
