Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Kevin Love,33,CLE,C,74,4,1665,0.9,-2.2,59,18,53,13,63,29,368,11,16,loveke01
Luguentz Dort,22,OKC,SG,51,51,1665,-8.4,-0.3,36,22,57,17,78,41,217,14,48,dortlu01
John Collins,24,ATL,PF,54,53,1663,1,-1.4,26,12,85,12,68,18,224,17,37,collijo01
De'Anthony Melton,23,MEM,SG,73,15,1657,6.6,1.3,58,32,66,7,44,7,457,8,32,meltode01
KJ Martin,21,HOU,SF,79,2,1656,-7.5,2.7,28,15,68,9,66,4,258,18,46,martike04
Killian Hayes,20,DET,PG,66,40,1647,-10.4,-4.2,62,21,91,6,29,11,665,4,30,hayeski01
Montrezl Harrell,28,TOT,C,71,3,1641,2.5,6,31,24,63,12,149,17,337,47,37,harremo01
Lonnie Walker IV,23,SAS,SG,70,6,1612,-2.1,-3.7,33,19,50,3,69,1,363,10,27,walkelo01
Cory Joseph,30,DET,PG,65,39,1600,-6.5,2.6,43,24,62,12,41,25,588,14,20,josepco01
Josh Richardson,28,TOT,SG,65,7,1600,4.2,-1.9,29,20,54,5,33,12,275,3,25,richajo01
Torrey Craig,31,TOT,SF,78,16,1596,-4.5,-5.8,34,19,73,4,25,13,223,8,14,craigto01
Gabe Vincent,25,MIA,PG,68,27,1589,2.9,-2.9,68,16,73,11,20,27,519,3,19,vincega01
Max Strus,25,MIA,SF,68,16,1587,5,0.7,31,16,71,3,21,20,223,6,14,strusma01
Jusuf Nurkić,27,POR,C,56,56,1579,-0.6,13.8,55,40,82,38,122,6,393,35,46,nurkiju01
De'Andre Hunter,24,ATL,SF,53,52,1577,0.9,-1.6,17,27,53,13,68,16,173,15,34,huntede01
Amir Coffey,24,LAC,SG,69,30,1567,-0.5,-1.1,18,16,41,4,57,11,307,14,28,coffeam01
Oshae Brissett,23,IND,SF,67,25,1564,-5.9,-3.1,22,13,47,9,82,9,181,18,30,brissos01
Marcus Morris,32,LAC,PF,54,54,1564,-4.9,-8.2,32,19,52,8,59,9,284,14,22,morrima03
Gordon Hayward,31,CHA,SF,49,48,1564,-0.2,-1.2,42,22,35,15,67,8,445,17,27,haywago01
Tyus Jones,25,MEM,PG,73,23,1549,8,3.5,27,12,13,2,19,4,792,5,18,jonesty01
Chris Duarte,24,IND,SG,55,39,1541,-2.2,3,45,21,35,8,53,5,265,10,36,duartch01
Trey Lyles,26,TOT,PF,75,23,1537,-7.7,-0.7,34,19,68,15,127,10,217,42,34,lylestr01
Javonte Green,28,CHI,SF,65,45,1519,1.8,3.4,9,10,68,5,47,12,143,8,17,greenja02
Talen Horton-Tucker,21,LAL,SG,60,19,1511,-2.7,0.7,44,23,75,8,59,6,386,11,28,hortota01
Jerami Grant,27,DET,PF,47,47,1500,-7.5,0.9,38,24,53,19,109,11,280,18,30,grantje01
Alperen Şengün,19,HOU,C,72,13,1489,-10.6,-2.5,59,42,119,28,96,23,453,23,46,sengual01
Kyle Anderson,28,MEM,PF,69,11,1484,3,-4.5,33,19,44,8,46,6,440,14,25,anderky01
Kristaps Porziņģis,26,TOT,PF,51,51,1481,0.6,-1.1,33,24,59,18,115,3,278,18,29,porzikr01
Austin Rivers,29,DEN,SG,67,18,1480,2.8,0.8,26,18,54,3,17,4,232,4,13,riverau01
Patrick Beverley,33,MIN,PG,58,54,1476,3.7,2.1,50,9,66,6,44,31,648,9,23,beverpa01
Nickeil Alexander-Walker,23,TOT,SG,65,21,1466,-4.1,-5.6,63,18,47,7,47,10,373,7,41,alexani01
Cedi Osman,26,CLE,SF,66,3,1462,-1.9,-6.3,34,19,48,8,55,10,330,15,26,osmande01
Nicolas Batum,33,LAC,PF,59,54,1462,-5.1,-8.3,29,2,27,2,16,11,236,3,5,batumni01
Norman Powell,28,TOT,SF,45,41,1458,-7.4,1.3,30,29,48,4,107,6,233,21,32,powelno01
Delon Wright,29,ATL,SG,77,8,1452,3.1,1.9,26,14,25,0,23,15,476,2,12,wrighde01
Maxi Kleber,30,DAL,PF,59,21,1450,4.1,0.8,12,11,76,14,21,20,172,5,14,klebima01
Terrence Ross,30,ORL,SG,63,0,1448,-12.7,-7.1,43,18,20,8,55,5,273,18,24,rosste01
Daniel Gafford,23,WAS,C,72,53,1444,-6.7,-5.4,22,22,112,15,76,4,166,30,38,gaffoda01
Bradley Beal,28,WAS,SG,40,40,1439,-3.2,0.1,73,38,49,9,85,16,623,16,32,bealbr01
Landry Shamet,24,PHX,SG,69,14,1437,5,-4.3,29,6,40,5,30,12,248,6,29,shamela01
Andre Drummond,28,TOT,C,73,36,1437,2.5,0.2,47,20,103,31,72,3,315,24,47,drumman01
Austin Reaves,23,LAL,SG,61,19,1418,1.1,6.5,23,10,40,2,51,33,271,14,11,reaveau01
Furkan Korkmaz,24,PHI,SG,67,19,1414,0.9,-2.9,30,9,28,1,32,10,311,4,18,korkmfu01
Avery Bradley,31,LAL,SG,62,45,1406,-4.8,-2.5,23,7,43,3,6,11,111,1,18,bradlav01
Anthony Davis,28,LAL,C,40,40,1404,-3.2,-0.2,31,34,57,11,89,5,309,25,18,davisan02
R.J. Hampton,20,ORL,SG,64,14,1402,-14.3,-9.5,52,21,51,3,52,11,409,10,38,hamptrj01
Jaxson Hayes,21,NOP,C,70,28,1398,0.7,2.8,18,13,85,19,101,6,101,31,19,hayesja02
Otto Porter Jr.,28,GSW,PF,63,15,1396,6.8,1.6,18,7,47,7,27,3,241,6,9,porteot01
Raul Neto,29,WAS,PG,70,19,1372,-2.5,1.2,53,15,44,5,45,22,519,14,24,netora01
Caleb Martin,26,MIA,SF,60,12,1372,7,3.7,21,12,48,9,45,17,165,9,23,martica02
Tre Mann,20,OKC,PG,60,26,1367,-10.9,-4,30,28,62,2,39,4,216,9,33,manntr01
Eric Bledsoe,32,LAC,PG,54,29,1361,-1.4,-2.3,63,33,24,10,60,23,550,23,19,bledser01
Danny Green,34,PHI,SF,62,28,1353,2.4,-0.5,24,10,52,3,3,8,154,2,11,greenda02
Ziaire Williams,20,MEM,SF,62,31,1346,4.7,-1.6,21,12,56,1,24,13,156,6,17,willizi02
Josh Christopher,20,HOU,SG,74,2,1334,-10.5,-2.3,55,36,42,6,47,7,361,10,34,chrisjo01
Draymond Green,31,GSW,PF,46,44,1329,6.6,1.3,106,9,64,19,41,13,778,7,15,greendr01
Bones Hyland,21,DEN,SG,69,4,1310,1.5,-1.3,40,26,68,6,43,2,463,7,38,hylanbo01
Jalen Suggs,20,ORL,PG,48,45,1307,-7.6,1,67,48,63,17,72,23,518,11,48,suggsja01
John Konchar,25,MEM,SG,72,7,1292,4,-2.6,19,7,51,1,22,4,266,2,3,konchjo01
Bryn Forbes,28,TOT,SG,75,2,1286,0.3,-1.1,24,17,46,7,36,3,183,8,29,forbebr01
Ben McLemore,28,POR,SG,64,6,1285,-13.4,-6.7,25,17,62,2,29,9,146,5,21,mclembe01
Chimezie Metu,24,SAC,C,60,20,1279,-5.7,-0.3,23,25,38,9,45,8,146,7,29,metuch01
Cameron Payne,27,PHX,PG,58,12,1278,6.1,-2.4,61,28,52,9,40,25,682,11,33,payneca01
Hamidou Diallo,23,DET,SG,58,29,1269,-8.2,-0.2,26,15,70,6,77,10,184,22,25,diallha01
Damion Lee,29,GSW,SG,63,5,1256,2.8,-4.3,9,11,50,10,23,16,160,5,12,leeda03
George Hill,35,MIL,PG,54,17,1253,11.4,11.9,25,5,35,3,12,10,297,2,15,hillge01
Gary Payton II,29,GSW,SG,71,16,1247,9.8,5.9,24,5,34,8,27,5,157,6,9,paytoga02
Brandon Clarke,25,MEM,PF,64,1,1246,8,3.2,6,10,57,12,60,4,206,21,26,clarkbr01
Tim Hardaway Jr.,29,DAL,SG,42,20,1245,1.3,-3.3,17,12,26,1,43,13,220,9,18,hardati02
Drew Eubanks,24,TOT,C,71,31,1245,-12.9,-9.8,30,14,58,22,57,12,210,11,26,eubandr01
Myles Turner,25,IND,C,42,42,1235,-0.4,5.2,18,12,70,17,50,8,107,15,15,turnemy01
Aleksej Pokusevski,20,OKC,PF,61,12,1233,-3.3,7.3,51,24,46,10,21,5,322,3,24,pokusal01
Obi Toppin,23,NYK,PF,72,10,1230,7.1,9.9,18,12,50,15,60,2,203,13,28,toppiob01
Doug McDermott,30,SAS,PF,51,51,1223,-3.2,-4.7,18,14,39,5,21,2,150,4,23,mcderdo01
Isaiah Hartenstein,23,LAC,C,68,0,1216,7,9.9,37,19,85,16,63,11,376,17,18,harteis01
Naz Reid,22,MIN,C,77,6,1215,-3.6,-8.7,25,24,100,19,78,7,178,20,33,reidna01
Lonzo Ball,24,CHI,PG,35,35,1212,2.8,4.5,57,15,41,7,13,4,408,5,18,balllo01
Aaron Wiggins,23,OKC,SG,50,35,1209,-7.2,1.5,30,13,47,2,39,0,161,12,21,wiggiaa01
Malcolm Brogdon,29,IND,PG,36,36,1206,-1.4,3.8,47,15,28,8,56,7,514,10,36,brogdma01
James Johnson,34,BKN,PF,62,10,1191,-0.9,-3.2,27,9,80,8,30,3,318,9,19,johnsja01
Jonathan Kuminga,19,GSW,SF,70,12,1185,2,-5.3,33,19,66,18,93,5,156,11,35,kuminjo01
Jordan Nwora,23,MIL,SF,62,13,1185,-3.1,-9,26,17,45,3,19,5,149,4,20,nworajo01
Facundo Campazzo,30,DEN,PG,65,4,1184,-8.4,-15.2,51,8,41,6,21,27,543,4,9,campafa01
Shake Milton,25,PHI,SG,55,6,1179,-1.3,-5.7,23,8,47,10,37,5,332,15,20,miltosh01
Taurean Prince,27,MIN,PF,69,8,1177,-0.1,-3.6,24,14,65,2,42,23,164,13,13,princta02
Cam Thomas,20,BKN,SG,67,2,1176,-6.2,-10.9,23,19,42,6,46,1,177,10,27,thomaca02
CJ Elleby,21,POR,SF,58,28,1174,-14.8,-8.4,35,17,57,3,41,6,200,8,12,ellebcj01
JaVale McGee,34,PHX,C,74,17,1172,4.4,-4.7,27,25,104,32,67,6,95,24,20,mcgeeja01
Frank Jackson,23,DET,PG,53,7,1164,-7.3,1.1,20,8,50,3,48,10,138,12,25,jacksfr01
Hassan Whiteside,32,UTA,C,65,8,1162,10.1,5.7,9,17,117,18,72,2,66,17,30,whiteha01
