Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
330,Lindy Waters III,27,2TM,SG,52,9,778,92,249,.369,64,186,.344,28,63,.444,.498,8,11,.727,20,90,110,52,27,11,20,62,256,0,,waterli01
331,Ben Simmons,28,2TM,PG,51,24,1120,116,223,.520,0,0,,116,223,.520,.520,24,33,.727,47,194,241,285,38,23,102,107,256,0,,simmobe01
332,Oso Ighodaro,22,PHO,PF,61,6,1045,113,187,.604,0,2,.000,113,185,.611,.604,29,50,.580,66,156,222,71,28,29,39,102,255,0,,ighodos01
333,Pelle Larsson,23,MIA,SG,55,8,782,89,203,.438,32,95,.337,57,108,.528,.517,41,61,.672,28,64,92,65,32,7,24,91,251,0,,larsspe01
334,Lonnie Walker IV,26,PHI,SG,20,7,477,89,212,.420,45,127,.354,44,85,.518,.526,24,30,.800,6,57,63,50,10,5,25,27,247,0,,walkelo01
335,Bol Bol,25,PHO,PF,36,10,448,96,183,.525,32,93,.344,64,90,.711,.612,20,26,.769,20,84,104,22,9,25,20,20,244,0,,bolbo01
336,Caleb Houstan,22,ORL,SF,58,6,788,80,190,.421,64,160,.400,16,30,.533,.589,15,17,.882,19,56,75,35,22,6,13,62,239,0,,houstca01
337,A.J. Lawson,24,TOR,SG,26,2,486,80,190,.421,33,101,.327,47,89,.528,.508,43,63,.683,20,66,86,31,13,6,15,44,236,0,,lawsoaj01
338,Malaki Branham,21,SAS,SG,47,0,427,87,190,.458,34,84,.405,53,106,.500,.547,27,33,.818,7,44,51,38,11,2,34,29,235,0,,branhma01
339,Ajay Mitchell,22,OKC,SG,36,1,597,91,184,.495,23,60,.383,68,124,.548,.557,29,35,.829,18,50,68,64,25,4,29,68,234,0,,mitchaj01
340,Monte Morris,29,PHO,PG,45,0,571,83,195,.426,31,86,.360,52,109,.477,.505,36,42,.857,12,55,67,73,20,3,21,23,233,0,,morrimo01
