Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off., Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Terry Rozier,30,MIA,PG,64,23,1658,-3.8,-7.5,43,18,31,10,48,15,410,9,36,roziete01
Peyton Watson,22,DEN,SF,68,18,1656,1.3,-4.6,25,20,82,7,67,4,218,13,36,watsope01
Moses Moody,22,GSW,SG,74,34,1649,4.8,2.2,23,18,53,5,64,7,241,10,36,moodymo01
Tristan Da Silva,23,ORL,SF,74,38,1629,-4.4,-6.6,28,15,51,8,30,3,268,6,24,dasiltr01
Donte DiVincenzo,28,MIN,SG,62,10,1606,6,1.7,66,24,55,5,22,16,526,3,22,divindo01
Isaiah Joe,25,OKC,SG,74,16,1604,15.5,4,18,18,54,0,21,32,300,5,19,joeis01
Corey Kispert,25,WAS,SF,61,0,1602,-9.2,5,30,18,50,6,39,6,252,6,34,kispeco01
Caris LeVert,30,TOT,SG,64,3,1596,7.3,2.9,49,20,46,2,71,4,528,18,27,leverca01
Miles McBride,24,NYK,SG,64,10,1593,7.5,5.6,22,11,50,2,25,14,466,4,33,mcbrimi01
Isaiah Hartenstein,26,OKC,C,57,53,1590,12.6,-0.8,50,21,90,17,56,2,501,13,31,harteis01
Gradey Dick,21,TOR,SG,54,54,1587,-6.6,-3.8,38,32,58,7,63,16,236,5,36,dickgr01
Paolo Banchero,22,ORL,PF,46,46,1582,-1,-0.9,64,60,59,10,197,4,534,47,51,banchpa01
Patrick Williams,23,CHI,PF,63,36,1576,-4.8,-6,37,26,50,7,40,1,310,8,37,willipa01
Obi Toppin,26,IND,PF,79,4,1545,-2.6,-8.3,32,19,61,8,49,1,296,12,25,toppiob01
Grayson Allen,29,PHX,SG,64,7,1544,-3.1,-0.5,47,18,52,8,47,9,332,8,18,allengr01
Sam Hauser,27,BOS,PF,71,19,1541,9.7,1.1,13,7,45,0,4,3,164,2,4,hausesa01
Ziaire Williams,23,BKN,SF,63,45,1541,-9.9,-4,36,19,75,3,47,19,198,6,38,willizi02
Gabe Vincent,28,LAL,PG,72,11,1527,1.3,-0.5,26,4,84,9,6,18,240,1,12,vincega01
Victor Wembanyama,21,SAS,C,46,46,1527,2.9,9.6,69,59,56,10,86,11,387,23,27,wembavi01
Jerami Grant,30,POR,PF,47,47,1524,-6.3,-4.9,31,22,46,6,72,8,245,13,42,grantje01
Jonas Valančiūnas,32,TOT,C,81,21,1524,-9.7,-2.9,42,33,97,36,79,2,388,16,39,valanjo01
Kyle Filipowski,21,UTA,C,72,27,1522,-11,-3,45,30,99,16,73,4,335,19,40,filipky01
Ja Morant,25,MEM,PG,50,50,1519,6.2,2,122,44,50,2,154,17,862,39,51,moranja01
Matas Buzelis,20,CHI,SF,80,31,1511,-1.6,-0.6,25,33,97,4,57,4,195,10,29,buzelma01
LaMelo Ball,23,CHA,PG,47,47,1505,-5.4,6.6,86,39,50,21,95,9,835,20,43,ballla01
Dalton Knecht,23,LAL,SF,78,16,1494,-2.3,-6.3,19,9,62,7,35,1,161,4,27,knechda01
Kevin Porter Jr.,24,TOT,SG,75,4,1482,1.5,-2.9,71,42,49,14,73,10,625,15,48,porteke02
D'Angelo Russell,28,TOT,PG,58,36,1480,-1.6,1.5,69,23,55,11,62,10,712,12,14,russeda01
Lauri Markkanen,27,UTA,PF,47,47,1476,-6.5,4.2,20,29,39,12,68,8,179,13,39,markkla01
