Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,playerID
Wendell Moore Jr.,23,TOT,SG,36,1,13.9,2.6,1.2,4.2,moorewe01
Dominick Barlow,21,ATL,PF,35,4,10.7,2.4,0.5,4.2,barlodo01
Kessler Edwards,24,DAL,SF,40,18,15.2,2.9,1.1,4.2,edwarke02
Oso Ighodaro,22,PHX,PF,61,6,17.1,3.6,1.2,4.2,ighodos01
Kris Murray,24,POR,SF,69,6,15.1,2.6,1,4.2,murrakr01
Duop Reath,28,POR,C,46,0,10.2,2,0.6,4.2,reathdu01
Cam Spencer,24,MEM,SG,25,1,10.1,1.2,1.4,4.2,spencca01
Maxwell Lewis,22,TOT,SF,28,1,11.7,2,0.7,4.1,lewisma05
Jaylen Clark,23,MIN,SG,40,4,13.1,1.3,0.7,4.1,clarkja02
Caleb Houstan,22,ORL,SF,58,6,13.6,1.3,0.6,4.1,houstca01
Jordan Miller,25,LAC,SF,37,0,11.4,1.6,0.9,4.1,millejo02
Jalen Pickett,25,DEN,SG,49,4,13.6,1.4,2.2,4.1,pickeja02
Paul Reed,25,DET,C,45,0,9.7,2.7,1,4.1,reedpa01
Gui Santos,22,GSW,PF,56,2,13.6,3.1,1.4,4.1,santogu01
Jarred Vanderbilt,25,LAL,PF,36,2,16.1,5.1,1.1,4.1,vandeja01
Colby Jones,22,TOT,SG,39,0,13.2,2.2,1.1,4,jonesco02
Nicolas Batum,36,LAC,PF,78,8,17.5,2.8,1.1,4,batumni01
Malachi Flynn,26,CHA,PG,4,0,11,1.8,1.8,4,flynnma01
Ron Harper Jr.,24,DET,SF,1,0,17,7,2,4,harpero02
Josh Richardson,31,MIA,SG,8,0,18.8,1.5,1.5,4,richajo01
Steven Adams,31,HOU,C,58,3,13.7,5.6,1.1,3.9,adamsst01
Kyle Lowry,38,PHI,PG,35,12,18.8,1.9,2.7,3.9,lowryky01
Olivier-Maxence Prosper,22,DAL,PF,52,4,11.2,2.4,0.8,3.9,prospol01
Patty Mills,36,TOT,PG,29,0,11.1,0.8,0.9,3.8,millspa02
Branden Carlson,25,OKC,C,32,0,7.7,1.7,0.4,3.8,carlsbr01
Devin Carter,22,SAC,PG,36,0,11,2.1,1.1,3.8,cartede02
Ousmane Dieng,21,OKC,C,37,1,10.9,2.2,0.8,3.8,diengou01
Markieff Morris,35,TOT,PF,15,2,11,1.5,1.4,3.7,morrima02
Emoni Bates,21,CLE,SF,10,0,7.5,0.7,0.8,3.7,batesem01
DeAndre Jordan,36,DEN,C,56,5,12.3,5.1,0.9,3.7,jordade01
Craig Porter Jr.,24,CLE,PG,51,1,10.1,1.3,1.4,3.7,portecr01
Jackson Rowe,28,GSW,PF,6,0,8.7,1.8,0.7,3.7,roweja01
Blake Wesley,21,SAS,SG,58,0,11.8,1.1,2,3.7,weslebl01
JT Thor,22,TOT,PF,20,0,12.5,2.4,0.3,3.6,thorjt01
Baylor Scheierman,24,BOS,SG,31,2,12.4,2.1,1.1,3.6,scheiba01
Jae'Sean Tate,29,HOU,SF,52,2,11.3,2.3,0.9,3.6,tateja01
Jaylon Tyson,22,CLE,SG,47,3,9.6,2,0.9,3.6,tysonja01
Elfrid Payton,30,TOT,PG,24,9,21.3,3.3,6.9,3.5,paytoel01
Luka Garza,26,MIN,C,39,0,5.6,1.4,0.3,3.5,garzalu01
Cory Joseph,33,ORL,PG,50,16,12.2,1.5,1.4,3.5,josepco01
Doug McDermott,33,SAC,SF,42,3,8.1,0.5,0.2,3.5,mcderdo01
Dario Šarić,30,DEN,C,16,4,13.1,3.1,1.4,3.5,saricda01
Jamaree Bouyea,25,MIL,PG,5,1,12.4,1,2,3.4,bouyeja01
Bruno Fernando,26,TOR,C,17,2,8.6,3,1.1,3.4,fernabr01
Andre Jackson Jr.,23,MIL,SG,67,43,14.6,2.7,1.2,3.4,jacksan01
Isaac Jones,24,SAC,PF,40,0,7.6,1.4,0.3,3.4,jonesis01
Kevin Knox,25,GSW,SF,14,0,6,1.2,0.4,3.3,knoxke01
Damion Lee,32,PHX,SG,25,0,5.8,0.8,0.4,3.3,leeda03
Nate Williams,25,HOU,SG,20,0,7.4,0.7,0.5,3.3,willije02
Elijah Harkless,24,UTA,SG,10,0,13.8,2.1,0.8,3.2,harklej01
Zeke Nnaji,24,DEN,PF,57,4,10.7,1.6,0.4,3.2,nnajize01
Cam Reddish,25,LAL,SF,33,8,17.8,2,0.7,3.2,reddica01
Delon Wright,32,TOT,PG,40,7,15.9,1.7,1.9,3.1,wrighde01
Kylor Kelley,27,TOT,C,11,2,11.5,3.5,0.5,3.1,kelleky01
Gary Harris,30,ORL,SG,48,3,14.8,1.3,0.6,3,harriga01
Maxi Kleber,33,DAL,PF,34,4,18.7,2.8,1.3,3,klebima01
Taze Moore,26,POR,SG,2,0,10,4,0.5,3,mooreta02
Rayan Rupert,20,POR,SG,52,0,8.8,1.3,0.5,3,ruperra01
P.J. Tucker,39,NYK,SF,3,1,19.3,2.7,0,3,tuckepj01
Pete Nance,24,TOT,C,13,1,10.6,1.6,0.8,2.9,nancepe01
Markelle Fultz,26,SAC,PG,21,0,8.8,1,1.3,2.9,fultzma01
Taj Gibson,39,CHA,C,37,11,11.1,3.2,0.6,2.9,gibsota01
Tyler Smith,20,MIL,PF,23,0,5.3,1.1,0.2,2.9,smithty02
RayJ Dennis,23,IND,PG,11,0,6.4,1.1,1.3,2.7,dennira01
David Duke Jr.,25,SAS,SG,6,0,5.7,0.8,0.7,2.7,dukeda01
Keshad Johnson,23,MIA,SF,16,0,6.1,1.8,0.3,2.7,johnske10
Reece Beekman,23,TOT,PG,36,4,13,1.1,1.8,2.6,beekmre01
Jae Crowder,34,SAC,PF,9,2,11.4,2.2,0.7,2.6,crowdja01
Josh Minott,22,MIN,SF,46,0,6,1,0.4,2.6,minotjo01
Hunter Tyson,24,DEN,PF,51,2,7.8,1.5,0.4,2.6,tysonhu01
Jaden Springer,22,TOT,PG,43,2,8.5,1.3,0.8,2.5,sprinja01
Trey Jemison,25,TOT,C,38,0,10.3,2.8,0.4,2.5,jemistr01
Anthony Gill,32,WAS,PF,51,0,7.8,1.3,0.3,2.5,gillan01
Dillon Jones,23,OKC,SF,54,3,10.2,2.2,1.1,2.5,jonesdi01
Pat Spencer,28,GSW,PG,39,0,6.4,1.2,1.2,2.5,spencpa01
Johnny Davis,22,WAS,SG,34,0,7.1,1.1,0.3,2.4,davisjo06
Christian Koloko,24,LAL,C,37,0,9.2,2.5,0.4,2.4,kolokch01
John Konchar,28,MEM,SG,46,4,12.1,3.3,0.9,2.4,konchjo01
MarJon Beauchamp,24,TOT,SF,35,0,4.5,1.3,0.3,2.3,beaucma01
Bronny James,20,LAL,SG,27,1,6.7,0.7,0.8,2.3,jamesbr02
Mason Jones,26,SAC,SG,10,0,4.5,0.9,1.1,2.3,jonesma05
Miles Norris,24,BOS,PF,3,0,11.7,3,0,2.3,norrimi01
Patrick Baldwin Jr.,22,TOT,SF,24,0,4.5,1,0.1,2.2,baldwpa01
Drew Peterson,25,BOS,PF,25,1,7.4,1.6,0.5,2.2,peterdr01
TyTy Washington Jr.,23,PHX,PG,16,0,7.4,0.8,1,2.2,washity02
Jordan McLaughlin,28,TOT,PG,46,0,6.8,0.7,1.1,2.1,mclaujo01
JD Davison,22,BOS,PG,16,0,5.8,0.8,0.8,2.1,davisjd01
Chris Duarte,27,CHI,SG,17,0,4.4,1.2,0.5,2.1,duartch01
Enrique Freeman,24,IND,PF,22,1,8.2,1.4,0.4,2.1,freemen01
Johnny Furphy,20,IND,SG,50,0,7.6,1.4,0.4,2.1,furphjo01
Dwight Powell,33,DAL,C,55,3,10,2.1,1,2.1,poweldw01
Josh Christopher,23,MIA,SG,14,0,4.9,0.6,0.6,2,chrisjo01
Tyler Kolek,23,NYK,PG,41,0,7.2,0.7,1.7,2,kolekty01
Adama Sanogo,22,CHI,C,4,0,5.3,1.5,0.3,2,sanogad01
Kobe Brown,25,LAC,PF,40,0,6.8,1.6,0.6,1.9,brownko01
Ariel Hukporti,22,NYK,C,25,1,8.7,2,0.4,1.9,hukpoar01
Bobi Klintman,21,DET,SF,8,0,5.3,0.9,0.9,1.9,klintbo01
Garrett Temple,38,TOR,SG,28,0,8.1,1,1.1,1.9,templga01
Jericho Sims,26,TOT,C,53,5,11.9,3.7,0.6,1.8,simsje01
Vlatko Čančar,27,DEN,PF,13,0,10.5,2.5,0.7,1.8,cancavl01
Adam Flagler,25,OKC,SG,37,0,5.5,0.7,0.3,1.8,flaglad01
Trentyn Flowers,19,LAC,SF,6,0,4.5,0.7,0,1.8,flowetr01
E.J. Liddell,24,CHI,PF,12,0,4.4,0.8,0.3,1.8,liddeej01
