Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,playerID
Matt Ryan,27,NYK,SF,19,0,68,6.1,0.439,0.613,0.065,0,13.4,6.8,5.9,1.5,0,8.6,22.3,-0.1,0.1,-0.1,-0.057,-5.1,-2.3,-7.5,-0.1,ryanma01
Armel Traoré,22,LAL,SF,9,0,67,3.5,0.317,0.368,0.368,3.5,21.2,12.6,2,2.9,2.8,12,16.4,-0.2,0.1,-0.1,-0.092,-9.5,-0.4,-9.8,-0.1,armeltr01
PJ Hall,22,DEN,C,19,0,66,18.3,0.641,0.333,0.167,10.5,25.4,18.3,8.4,0,5.4,7.2,17.8,0.2,0.1,0.2,0.168,-0.7,-0.6,-1.3,0,hallpj01
Nae'Qwan Tomlin,24,CLE,PF,5,1,63,14.4,0.489,0.313,0.344,15.9,20.1,18.1,4.4,0,1.4,5.1,26.1,0.1,0.1,0.1,0.093,-3,-2.4,-5.5,-0.1,tomlina01
Jamaree Bouyea,25,MIL,PG,5,1,62,9.7,0.581,0.417,0.5,1.8,6.7,4.4,20.8,3.1,3,35.3,16,-0.1,0.1,0,0.007,-4.6,-0.9,-5.4,0,bouyeja01
Cam Christie,19,LAC,SG,13,0,59,9.1,0.349,0.542,0.167,5.8,17,11.5,13.7,4.2,1.7,7.2,20.5,-0.1,0.1,0,-0.005,-5.5,3,-2.5,0,chrisca02
P.J. Tucker,39,NYK,SF,3,1,58,5.5,0.643,0.857,0,8,7.8,7.9,0,0.9,1.6,12.5,6,0,0,0.1,0.07,-4.8,-2.4,-7.2,-0.1,tuckepj01
Jazian Gortman,21,DAL,PG,16,0,57,6.5,0.485,0.478,0.174,2,7.5,4.8,14.7,1.7,1.5,16.8,22.4,-0.1,0,-0.1,-0.056,-5.5,-0.8,-6.3,-0.1,gortmja01
Liam Robbins,25,MIL,C,13,0,57,2.6,0.363,0.25,1.25,13.9,9.2,11.4,4.2,1.7,3.3,32.6,14.2,-0.1,0.1,-0.1,-0.066,-9.2,-1.3,-10.5,-0.1,robbili01
E.J. Liddell,24,CHI,PF,12,0,53,11.1,0.661,0.667,0.133,6,11.7,8.9,7.6,0.9,1.6,11.2,14.1,0.1,0,0.1,0.108,-2.7,-1.4,-4.1,0,liddeej01
Jackson Rowe,28,GSW,PF,6,0,52,15.9,0.56,0.588,0.353,6,17,11.4,11.1,3.7,0,4.8,16.7,0.1,0.1,0.2,0.153,-0.5,1.5,1,0,roweja01
N'Faly Dante,23,HOU,C,4,0,51,24,0.789,0,0.385,12.3,32,21.9,5.7,1,8.8,11.6,13.9,0.2,0.1,0.3,0.283,0.7,1.7,2.4,0.1,nfalyda01
Isaiah Crawford,23,SAC,SF,15,0,46,9.2,0.509,0.455,0.364,2.4,17.1,9.7,2.8,1.1,4.3,7.3,12.9,0,0,0,0.037,-3.4,-0.7,-4.1,0,crawfis01
Mason Jones,26,SAC,SG,10,0,45,20.6,0.569,0.444,0.278,5,17.5,11.2,35.6,0,2.2,4.7,20.3,0.2,0,0.2,0.198,3.5,-0.6,2.9,0.1,jonesma05
Phillip Wheeler,22,PHI,PF,5,0,44,-2.3,0.183,0.476,0.095,4.9,16.1,10.3,6,1.1,4.5,4.4,22.6,-0.3,0,-0.3,-0.283,-12,-6.2,-18.2,-0.2,wheelph02
Malachi Flynn,26,CHA,PG,4,0,44,12.4,0.512,0.308,0.462,7.1,9.9,8.5,23.3,3.4,0,20.4,19,0,0,0,0.043,-4.4,1.5,-2.8,0,flynnma01
Jack McVeigh,28,HOU,PF,9,0,43,4,0.412,0.765,0,4.9,7.6,6.2,3,0,4.2,10.5,18.2,-0.1,0,0,-0.031,-4.8,-3,-7.7,-0.1,mcveija01
Bobi Klintman,21,DET,SF,8,0,42,15.9,0.689,0.5,0.2,2.7,15.7,9.2,22.5,2.3,2.3,8.4,11.9,0.1,0.1,0.2,0.208,-1,1.9,1,0,klintbo01
James Johnson,37,IND,PF,12,0,37,0,0.35,0.273,0.091,0,17.9,9,13.7,0,4.9,25.9,18,-0.2,0,-0.1,-0.162,-9.6,-0.2,-9.7,-0.1,johnsja01
PJ Dozier,28,MIN,SG,9,0,35,9.5,0.621,1,2,3.2,12.5,7.9,18.1,1.4,0,15.1,8.2,0,0,0.1,0.107,-2,2.7,0.7,0,doziepj01
Harrison Ingram,22,SAS,SF,5,0,35,10.9,0.5,0.25,0,6.1,21.5,13.8,10.6,4.1,0,20,6.1,0,0.1,0.1,0.093,-3.6,2.4,-1.2,0,ingraha01
Miles Norris,24,BOS,PF,3,0,35,8.5,0.354,0.778,0.222,6.2,21.7,14,0,2.9,2.6,0,12.4,0,0.1,0,0.049,-2.3,0.4,-1.9,0,norrimi01
David Duke Jr.,25,SAS,SG,6,0,34,12.2,0.538,0.429,0.143,3.1,12.6,7.9,17,1.4,0,11.8,21.2,0,0,0,0.023,-0.1,-1.4,-1.5,0,dukeda01
D.J. Carton,24,TOR,SG,4,0,33,-2.6,0.202,0.429,0.143,0,13.3,6.5,10.9,2.9,0,35,14.5,-0.2,0,-0.1,-0.199,-10.4,-0.7,-11.1,-0.1,cartodj01
Bryce McGowens,22,POR,SG,13,0,32,1.7,0.391,0.286,0.429,6.6,3.5,5.1,8.7,1.5,0,19.4,26.8,-0.1,0,-0.1,-0.172,-9.9,-3.8,-13.6,-0.1,mcgowbr01
Leonard Miller,21,MIN,SF,13,0,32,19.9,0.54,0.333,0.533,10.6,27.3,19.1,0,3.1,2.9,9.7,27.8,0,0.1,0.1,0.145,-3.4,-0.3,-3.7,0,millele01
Ulrich Chomche,19,TOR,PF,7,0,32,5.2,0.425,0,0.4,13.1,13.7,13.4,7.8,0,3,25.4,10.3,0,0,0,0.001,-6.1,-1.3,-7.4,0,chomcul01
Jalen Bridges,23,PHX,SF,8,0,30,-0.1,0.514,1,0.571,0,14.5,7.4,0,0,0,31.3,18.8,-0.1,0,-0.1,-0.178,-7.8,-4.7,-12.5,-0.1,bridgja01
Jahmir Young,24,CHI,PG,6,0,30,16.8,0.935,0.4,0.4,3.6,6.9,5.2,26.2,0,0,14.5,9.6,0.1,0,0.1,0.22,1.2,-0.8,0.5,0,youngja05
Kevin McCullar Jr.,23,NYK,SF,4,0,29,6.7,0.381,0.143,0.286,0,31.3,15.8,8.4,1.7,3.2,0,11.8,0,0,0,0.06,-8.5,1.3,-7.2,0,mcculke01
Trentyn Flowers,19,LAC,SF,6,0,27,4.3,0.446,0.182,0.273,4.3,12.4,8.4,0,0,0,7.5,21.5,0,0,0,-0.033,-7.1,-1.3,-8.3,0,flowetr01
Emanuel Miller,24,CHI,PF,6,0,25,18.1,0.563,0.125,0.25,17.1,16.5,16.8,10.9,1.9,0,0,14.8,0.1,0,0.1,0.201,-0.9,-0.9,-1.8,0,milleem01
Daniss Jenkins,23,DET,PG,7,0,23,-0.1,0.322,0.7,0.2,0,9.6,4.8,17.3,0,0,8.4,21.8,-0.1,0,-0.1,-0.15,-10.2,-5.7,-15.8,-0.1,jenkida01
Anton Watson,24,NYK,SF,9,0,22,5.9,0.444,0.111,0,5.3,10.3,7.8,12.8,2.3,0,18.2,21.7,-0.1,0,0,-0.07,-8.3,-1.8,-10.1,0,watsoan02
Tolu Smith,24,DET,PF,1,0,22,19.5,0.678,0,0.333,20.3,20,20.1,0,0,0,16.2,23.6,0,0,0.1,0.128,-2.4,-6.5,-8.9,0,smithto05
Malevy Leons,25,OKC,SF,6,0,21,-2.3,0.266,0.5,2,5.2,10,7.7,5.1,0,0,21,9.6,0,0,0,-0.052,-10.4,-1.9,-12.4,-0.1,leonsma01
Adama Sanogo,22,CHI,C,4,0,21,15.2,0.571,0,0,25.4,4.9,15,6.7,0,0,12.5,15.9,0,0,0,0.105,0.7,-3.4,-2.6,0,sanogad01
Taze Moore,26,POR,SG,2,0,20,7.1,0.276,0.4,0.2,21.1,22.3,21.7,6.8,4.9,0,15.5,26.8,-0.1,0,-0.1,-0.15,-3.9,-0.4,-4.3,0,mooreta02
Ron Harper Jr.,24,DET,SF,1,0,17,7.9,0.225,0.75,0.25,26.3,19.4,22.8,14.3,0,0,0,22,0,0,0,-0.06,-5.5,-9.2,-14.7,0,harpero02
Isaiah Mobley,25,PHI,PF,1,0,17,17.2,0.381,0.429,0.286,6.4,20.8,13.3,41.8,2.9,5.8,0,20.2,0,0,0,0.119,0,4.8,4.7,0,mobleis01
Yuri Collins,23,GSW,PG,2,0,16,13.9,0.333,0,0,13.1,6.9,10.1,31.9,6.1,0,0,7.9,0,0,0.1,0.214,-6.2,6.5,0.3,0,colliyu01
Tristen Newton,23,TOT,SG,8,0,16,-6.1,0.178,0.375,0.125,14.1,13.6,13.9,15.4,3.1,0,19.2,28.2,-0.1,0,-0.1,-0.33,-16.7,-4,-20.7,-0.1,newtotr01
Daishen Nix,22,MIN,PG,3,0,13,-7,0.266,1,2,0,33.6,17.1,27.2,0,0,68,19.6,-0.1,0,-0.1,-0.327,-14.9,-1.2,-16.2,0,nixda01
Skal Labissière,28,SAC,PF,4,0,12,15.9,0.625,0.25,0,9.3,18.7,14,11.6,0,0,0,14.3,0,0,0,0.165,3.3,-1.3,2.1,0,labissk01
Braxton Key,27,GSW,SF,3,0,11,1.1,0.226,0.25,1.5,9.5,10.1,9.8,0,8.8,0,13.1,29.3,-0.1,0,-0.1,-0.259,-13.9,0.3,-13.6,0,keybr01
Cui Yongxi,21,BKN,SG,5,0,10,-10.7,0.19,0.429,0.286,0,23.8,11.4,0,0,0,0,34.4,-0.1,0,-0.1,-0.473,-16.8,-8.2,-24.9,-0.1,cuiyo01
Mac McClung,26,ORL,SG,2,0,10,-0.3,0,0.5,0,0,12.1,5.7,37.8,0,0,0,8.7,0,0,0,-0.047,-10.2,-0.8,-11,0,mccluma01
Quincy Olivari,23,LAL,PG,2,0,10,-5.2,0.3,1,0,0,0,0,13.3,0,0,16.7,26.3,-0.1,0,-0.1,-0.3,-10.1,-8.5,-18.6,0,olivaqu01
Terence Davis,27,SAC,SG,1,0,8,-4,0,0.5,0,0,14,7,14.1,0,0,0,10.8,0,0,0,-0.191,-12.8,-4.1,-16.9,0,daviste02
Jalen McDaniels,27,WAS,SF,4,0,7,10.9,0,0,0,0,0,0,17.4,6.8,0,0,0,0,0,0,0.114,-0.5,6,5.6,0,mcdanja01
Riley Minix,24,SAS,SF,1,0,7,-1.7,0,1,0,0,30.7,15.3,0,0,0,0,6.1,0,0,0,-0.114,-8.5,-3.3,-11.8,0,minixri01
Isaiah Stevens,24,MIA,PG,3,0,6,0.1,0,0.5,0,0,36.5,18.4,0,8.3,0,0,14.8,0,0,0,-0.196,-19.5,7.7,-11.8,0,steveis01
Terry Taylor,25,SAC,PF,3,0,6,9.8,0,0,0,18.6,0,9.3,37.6,0,0,0,7.2,0,0,0,0.049,3.2,0.1,3.3,0,taylote01
Jesse Edwards,24,MIN,C,2,0,5,-0.1,0,0,0,0,0,0,23.6,0,0,0,0,0,0,0,0.111,-8.8,4.7,-4,0,edwarje01
James Wiseman,23,IND,C,1,0,5,31.2,0.615,0.25,0.5,0,22.1,11.1,0,0,0,0,42.2,0,0,0,0.237,6,-4.4,1.6,0,wisemja01
Alondes Williams,25,DET,SG,1,0,4,53.4,1.25,0.5,0,0,0,0,65,0,0,0,21.1,0,0,0,0.565,37.9,6.2,44.1,0,willial06
Zyon Pullin,23,MEM,SG,3,0,3,-11.7,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0,-0.304,-15,-7.7,-22.7,0,pullizy01
Jahlil Okafor,29,IND,C,1,0,3,13.8,0,0,0,0,36.8,18.6,37,0,0,0,0,0,0,0,0.196,2.5,4.9,7.5,0,okafoja01
