Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Mikal Bridges,28,NYK,SF,82,82,3036,0.5,0.609,0.185,0.189,0.192,0.042,0.391,0.594,0.785,0.513,0.507,0.52,0.354,0.682,0.957,0.025,28,0.449,0.423,bridgmi01
Josh Hart,29,NYK,SG,77,77,2897,0.525,0.673,0.408,0.162,0.066,0.036,0.327,0.618,0.732,0.44,0.412,0.5,0.333,0.613,0.869,0.03,21,0.258,0.308,hartjo01
Anthony Edwards,23,MIN,SG,79,79,2871,0.447,0.497,0.176,0.158,0.084,0.08,0.503,0.501,0.678,0.453,0.341,0.372,0.395,0.384,0.475,0.039,54,0.107,0.414,edwaran01
Devin Booker,28,PHX,SG,75,75,2795,0.461,0.612,0.109,0.175,0.206,0.123,0.388,0.542,0.69,0.492,0.531,0.5,0.332,0.431,0.716,0.013,14,0.123,0.338,bookede01
James Harden,35,LAC,PG,79,79,2789,0.41,0.484,0.106,0.232,0.122,0.024,0.516,0.472,0.657,0.422,0.405,0.484,0.352,0.176,0.37,0.003,4,0.042,0.429,hardeja01
DeMar DeRozan,35,SAC,SF,77,77,2768,0.477,0.804,0.065,0.171,0.299,0.269,0.196,0.513,0.706,0.549,0.509,0.449,0.328,0.363,0.881,0.006,7,0.309,0.38,derozde01
Trae Young,26,ATL,PG,76,76,2739,0.411,0.533,0.124,0.219,0.134,0.057,0.467,0.474,0.544,0.468,0.467,0.359,0.34,0.287,0.294,0.001,0,0.078,0.44,youngtr01
Tyler Herro,25,MIA,SG,77,77,2725,0.472,0.514,0.137,0.213,0.126,0.038,0.486,0.565,0.698,0.515,0.529,0.481,0.375,0.378,0.753,0.008,10,0.118,0.456,herroty01
OG Anunoby,27,NYK,PF,74,74,2706,0.476,0.552,0.338,0.123,0.055,0.037,0.448,0.561,0.706,0.349,0.321,0.289,0.372,0.717,0.93,0.14,132,0.45,0.377,anunoog01
Jalen Green,22,HOU,SG,82,82,2697,0.423,0.54,0.191,0.175,0.058,0.116,0.46,0.482,0.664,0.418,0.298,0.371,0.354,0.262,0.538,0.046,54,0.107,0.366,greenja05
Christian Braun,23,DEN,SG,79,77,2675,0.58,0.727,0.418,0.245,0.027,0.038,0.273,0.648,0.758,0.522,0.409,0.419,0.397,0.762,0.888,0.124,94,0.317,0.352,braunch01
Bam Adebayo,27,MIA,C,78,78,2674,0.485,0.801,0.213,0.285,0.247,0.057,0.199,0.517,0.705,0.461,0.436,0.444,0.357,0.605,0.886,0.123,125,0.29,0.453,adebaba01
Ivica Zubac,27,LAC,C,80,80,2624,0.628,1,0.426,0.499,0.072,0.003,0,0.628,0.706,0.585,0.485,0.333,0,0.703,0,0.203,177,0,0,zubaciv01
Jayson Tatum,26,BOS,PF,72,72,2624,0.452,0.503,0.182,0.149,0.089,0.083,0.497,0.559,0.782,0.479,0.359,0.43,0.343,0.35,0.46,0.059,79,0.059,0.419,tatumja01
Jaden McDaniels,24,MIN,PF,82,82,2614,0.477,0.637,0.253,0.23,0.121,0.032,0.363,0.561,0.73,0.427,0.535,0.296,0.33,0.611,0.95,0.074,51,0.512,0.335,mcdanja02
Keegan Murray,24,SAC,PF,76,76,2610,0.444,0.452,0.144,0.195,0.078,0.035,0.548,0.566,0.831,0.469,0.359,0.483,0.343,0.652,0.987,0.087,66,0.29,0.385,murrake02
Zach LaVine,29,TOT,SG,74,74,2602,0.511,0.562,0.242,0.131,0.07,0.119,0.438,0.562,0.723,0.488,0.442,0.386,0.446,0.495,0.544,0.06,68,0.17,0.473,lavinza01
Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,0.519,0.737,0.206,0.231,0.222,0.079,0.263,0.571,0.742,0.492,0.548,0.42,0.375,0.212,0.35,0.028,46,0.034,0.333,gilgesh01
Michael Porter Jr.,26,DEN,SF,77,77,2593,0.504,0.533,0.228,0.156,0.053,0.095,0.467,0.599,0.762,0.53,0.536,0.36,0.395,0.74,0.922,0.096,88,0.125,0.508,portemi01
Derrick White,30,BOS,SG,76,76,2574,0.442,0.279,0.084,0.121,0.05,0.024,0.721,0.593,0.716,0.586,0.563,0.261,0.384,0.465,0.808,0.009,8,0.171,0.432,whitede01
Dyson Daniels,21,ATL,SG,76,76,2571,0.493,0.745,0.284,0.377,0.078,0.007,0.255,0.545,0.676,0.486,0.389,0.167,0.34,0.517,0.938,0.054,45,0.217,0.431,daniedy01
Nikola Jokić,29,DEN,C,70,70,2571,0.576,0.757,0.235,0.403,0.078,0.042,0.243,0.627,0.725,0.605,0.491,0.544,0.417,0.653,0.862,0.019,25,0.045,0.533,jokicni01
Austin Reaves,26,LAL,SG,73,73,2550,0.46,0.488,0.142,0.211,0.107,0.028,0.512,0.547,0.748,0.484,0.45,0.379,0.377,0.44,0.72,0.007,7,0.122,0.446,reaveau01
Toumani Camara,24,POR,PF,78,78,2548,0.458,0.497,0.289,0.198,0.008,0.001,0.503,0.542,0.652,0.401,0.167,0,0.375,0.658,0.956,0.084,49,0.419,0.358,camarto01
Pascal Siakam,30,IND,PF,78,78,2548,0.519,0.726,0.218,0.258,0.179,0.071,0.274,0.568,0.771,0.544,0.441,0.345,0.389,0.589,0.976,0.041,45,0.29,0.404,siakapa01
Brook Lopez,36,MIL,C,80,80,2546,0.509,0.518,0.229,0.151,0.109,0.03,0.482,0.636,0.78,0.59,0.464,0.391,0.373,0.745,0.986,0.071,52,0.097,0.583,lopezbr01
Karl-Anthony Towns,29,NYK,C,72,72,2517,0.526,0.722,0.353,0.277,0.058,0.035,0.278,0.567,0.695,0.476,0.4,0.262,0.42,0.586,0.972,0.071,76,0.062,0.333,townska01
Bub Carrington,19,WAS,PG,82,57,2458,0.401,0.456,0.102,0.114,0.102,0.139,0.544,0.475,0.553,0.353,0.553,0.462,0.339,0.481,0.667,0.027,18,0.135,0.327,carrica01
Cade Cunningham,23,DET,PG,70,70,2452,0.469,0.713,0.167,0.362,0.129,0.056,0.287,0.515,0.605,0.497,0.479,0.444,0.356,0.228,0.57,0.033,39,0.048,0.4,cunnica01
Tyrese Haliburton,24,IND,PG,73,73,2451,0.473,0.441,0.101,0.14,0.107,0.092,0.559,0.581,0.725,0.582,0.546,0.462,0.388,0.391,0.528,0.024,22,0.073,0.439,halibty01
Coby White,24,CHI,SG,74,73,2450,0.453,0.479,0.224,0.153,0.06,0.043,0.521,0.544,0.669,0.456,0.507,0.25,0.37,0.336,0.759,0.01,8,0.135,0.38,whiteco01
LeBron James,40,LAL,SF,70,70,2444,0.513,0.688,0.242,0.23,0.113,0.104,0.312,0.574,0.782,0.473,0.503,0.394,0.376,0.382,0.691,0.056,71,0.088,0.343,jamesle01
Domantas Sabonis,28,SAC,C,70,70,2429,0.59,0.825,0.43,0.306,0.044,0.047,0.175,0.627,0.708,0.56,0.462,0.452,0.417,0.63,0.985,0.097,80,0.051,0.5,sabondo01
Jamal Murray,27,DEN,PG,67,67,2418,0.474,0.646,0.155,0.175,0.153,0.163,0.354,0.518,0.667,0.485,0.468,0.459,0.393,0.355,0.615,0.012,13,0.093,0.378,murraja01
Alperen Şengün,22,HOU,C,76,76,2395,0.496,0.921,0.319,0.405,0.164,0.033,0.079,0.519,0.679,0.454,0.396,0.368,0.233,0.473,0.952,0.067,65,0.067,0.333,sengual01
Dillon Brooks,29,HOU,SF,75,75,2388,0.429,0.476,0.127,0.155,0.135,0.058,0.524,0.465,0.544,0.475,0.372,0.481,0.397,0.444,0.962,0.019,15,0.23,0.38,brookdi01
Rudy Gobert,32,MIN,C,72,72,2388,0.669,1,0.757,0.218,0.022,0.004,0,0.669,0.79,0.324,0,0,0,0.707,0,0.494,225,0,0,goberru01
Tobias Harris,32,DET,PF,73,73,2305,0.477,0.672,0.168,0.293,0.168,0.043,0.328,0.542,0.77,0.475,0.489,0.314,0.345,0.539,0.934,0.075,56,0.447,0.39,harrito02
Darius Garland,25,CLE,PG,75,75,2301,0.472,0.549,0.148,0.193,0.147,0.06,0.451,0.53,0.649,0.485,0.549,0.338,0.401,0.33,0.571,0.002,1,0.151,0.4,garlada01
Jalen Brunson,28,NYK,PG,65,65,2301,0.488,0.669,0.149,0.255,0.181,0.084,0.331,0.539,0.676,0.497,0.525,0.455,0.383,0.236,0.461,0,0,0.144,0.404,brunsja01
Jarrett Allen,26,CLE,C,82,82,2296,0.706,0.992,0.594,0.342,0.05,0.006,0.008,0.712,0.813,0.584,0.469,0,0,0.825,0,0.272,159,0.4,0,allenja01
Chris Paul,39,SAS,PG,82,82,2292,0.427,0.364,0.026,0.048,0.189,0.101,0.636,0.514,0.8,0.536,0.518,0.424,0.377,0.22,0.493,0,0,0.127,0.34,paulch01
Anfernee Simons,25,POR,SG,70,70,2292,0.426,0.473,0.124,0.181,0.108,0.059,0.527,0.496,0.636,0.446,0.369,0.591,0.363,0.186,0.609,0.014,15,0.093,0.327,simonan01
Giannis Antetokounmpo,30,MIL,PF,67,67,2289,0.601,0.952,0.511,0.195,0.096,0.15,0.048,0.62,0.773,0.428,0.48,0.439,0.222,0.429,0.5,0.205,243,0.048,0,antetgi01
Malik Beasley,28,DET,SG,82,18,2283,0.43,0.285,0.057,0.132,0.055,0.041,0.715,0.466,0.656,0.447,0.356,0.409,0.416,0.634,0.937,0.022,20,0.209,0.531,beaslma01
Kentavious Caldwell-Pope,31,ORL,SG,77,77,2279,0.439,0.393,0.123,0.063,0.064,0.143,0.607,0.589,0.761,0.412,0.543,0.538,0.342,0.698,0.929,0.029,16,0.348,0.339,caldwke01
Nikola Vučević,34,CHI,C,73,72,2278,0.53,0.691,0.214,0.319,0.118,0.04,0.309,0.587,0.689,0.565,0.508,0.452,0.402,0.758,0.992,0.012,10,0.084,0.407,vucevni01
Payton Pritchard,27,BOS,PG,80,3,2271,0.472,0.277,0.112,0.09,0.044,0.031,0.723,0.642,0.794,0.615,0.447,0.444,0.407,0.247,0.804,0,0,0.157,0.469,pritcpa01
Kevin Durant,36,PHX,PF,62,62,2265,0.527,0.669,0.091,0.176,0.312,0.09,0.331,0.574,0.824,0.561,0.524,0.525,0.43,0.433,0.888,0.041,44,0.223,0.506,duranke01
Shaedon Sharpe,21,POR,SG,72,52,2252,0.452,0.572,0.226,0.14,0.106,0.101,0.428,0.557,0.755,0.419,0.47,0.396,0.311,0.409,0.707,0.07,65,0.165,0.333,sharpsh01
Stephen Curry,36,GSW,PG,70,70,2252,0.448,0.377,0.083,0.171,0.07,0.053,0.623,0.534,0.673,0.488,0.455,0.567,0.397,0.478,0.704,0.001,1,0.101,0.494,curryst01
De'Aaron Fox,27,TOT,PG,62,62,2241,0.463,0.672,0.156,0.255,0.153,0.108,0.328,0.538,0.698,0.53,0.472,0.421,0.31,0.318,0.669,0.019,22,0.16,0.328,foxde01
Jalen Williams,23,OKC,SG,69,69,2237,0.484,0.709,0.201,0.237,0.187,0.084,0.291,0.533,0.723,0.43,0.523,0.388,0.365,0.395,0.782,0.069,70,0.094,0.406,willija06
Donovan Mitchell,28,CLE,SG,71,71,2232,0.443,0.52,0.156,0.183,0.084,0.098,0.48,0.512,0.607,0.531,0.441,0.388,0.368,0.222,0.541,0.014,16,0.096,0.475,mitchdo01
Harrison Barnes,32,SAS,PF,82,82,2230,0.508,0.473,0.25,0.184,0.038,0,0.527,0.591,0.69,0.468,0.538,0,0.433,0.586,0.981,0.042,29,0.547,0.477,barneha02
Julius Randle,30,MIN,PF,69,69,2226,0.485,0.666,0.252,0.262,0.121,0.03,0.334,0.555,0.751,0.423,0.465,0.429,0.344,0.447,0.843,0.052,46,0.21,0.273,randlju01
Amen Thompson,22,HOU,SF,69,42,2225,0.557,0.869,0.42,0.298,0.096,0.055,0.131,0.599,0.758,0.471,0.493,0.263,0.275,0.523,0.96,0.212,138,0.582,0.377,thompam01
Jaren Jackson Jr.,25,MEM,C,74,74,2207,0.488,0.679,0.119,0.415,0.134,0.011,0.321,0.541,0.667,0.518,0.509,0.462,0.375,0.451,0.952,0.029,31,0.206,0.4,jacksja02
Desmond Bane,26,MEM,SG,69,68,2205,0.484,0.589,0.188,0.246,0.093,0.063,0.411,0.548,0.712,0.492,0.4,0.5,0.392,0.426,0.634,0.005,5,0.187,0.308,banede01
Naz Reid,25,MIN,C,80,17,2200,0.462,0.499,0.2,0.255,0.044,0,0.501,0.544,0.681,0.468,0.366,0,0.379,0.641,0.92,0.034,25,0.227,0.39,reidna01
Tyus Jones,28,PHX,PG,81,58,2174,0.448,0.413,0.06,0.174,0.16,0.019,0.587,0.496,0.78,0.479,0.422,0.385,0.414,0.393,0.873,0,0,0.344,0.5,jonesty01
Myles Turner,28,IND,C,72,72,2174,0.481,0.514,0.175,0.206,0.073,0.06,0.486,0.561,0.746,0.425,0.559,0.49,0.396,0.846,0.981,0.09,59,0.14,0.491,turnemy01
Evan Mobley,23,CLE,PF,71,71,2167,0.557,0.746,0.421,0.27,0.038,0.018,0.254,0.621,0.787,0.429,0.353,0.188,0.37,0.64,0.894,0.22,192,0.2,0.435,mobleev01
Taurean Prince,30,MIL,SF,80,73,2166,0.457,0.348,0.16,0.119,0.058,0.012,0.652,0.492,0.646,0.361,0.333,0.5,0.439,0.773,0.986,0.018,8,0.507,0.453,princta02
Stephon Castle,20,SAS,SG,81,47,2162,0.428,0.663,0.311,0.217,0.084,0.052,0.337,0.501,0.655,0.369,0.373,0.333,0.285,0.46,0.789,0.078,69,0.147,0.347,castlst01
Deni Avdija,24,POR,SF,72,54,2161,0.476,0.595,0.322,0.219,0.026,0.027,0.405,0.552,0.665,0.416,0.364,0.478,0.365,0.448,0.848,0.027,20,0.181,0.323,avdijde01
Jaylen Brown,28,BOS,SF,63,63,2158,0.463,0.68,0.197,0.265,0.145,0.073,0.32,0.529,0.75,0.456,0.407,0.439,0.324,0.386,0.724,0.045,43,0.184,0.439,brownja02
Tim Hardaway Jr.,32,DET,SG,77,77,2153,0.406,0.328,0.082,0.1,0.072,0.074,0.672,0.484,0.679,0.485,0.469,0.28,0.368,0.815,0.923,0.016,8,0.241,0.373,hardati02
Bennedict Mathurin,22,IND,SF,72,49,2149,0.458,0.662,0.273,0.237,0.066,0.087,0.338,0.519,0.635,0.485,0.393,0.338,0.34,0.584,0.714,0.049,39,0.139,0.4,mathube01
Spencer Dinwiddie,31,DAL,PG,79,30,2136,0.416,0.522,0.136,0.252,0.106,0.028,0.478,0.492,0.645,0.419,0.458,0.526,0.334,0.211,0.55,0.012,4,0.184,0.417,dinwisp01
Scottie Barnes,23,TOR,PF,65,65,2134,0.446,0.737,0.219,0.26,0.176,0.082,0.263,0.508,0.687,0.428,0.476,0.356,0.271,0.452,0.737,0.066,60,0.132,0.351,barnesc01
Max Christie,21,TOT,SG,78,36,2127,0.427,0.468,0.144,0.18,0.073,0.071,0.532,0.496,0.8,0.396,0.279,0.357,0.366,0.606,0.957,0.053,25,0.366,0.383,chrisma02
Josh Giddey,22,CHI,PG,70,69,2117,0.465,0.652,0.277,0.276,0.076,0.023,0.348,0.512,0.584,0.5,0.377,0.222,0.378,0.414,0.895,0.013,9,0.277,0.39,giddejo01
Fred VanVleet,30,HOU,PG,60,60,2111,0.378,0.393,0.095,0.111,0.07,0.117,0.607,0.43,0.528,0.393,0.434,0.382,0.345,0.234,0.623,0,0,0.093,0.326,vanvlfr01
Keyonte George,21,UTA,PG,67,35,2109,0.391,0.448,0.073,0.242,0.098,0.036,0.552,0.449,0.627,0.428,0.4,0.364,0.343,0.427,0.649,0.015,11,0.136,0.493,georgke01
Dennis Schröder,31,TOT,PG,75,49,2105,0.406,0.551,0.129,0.197,0.135,0.089,0.449,0.458,0.636,0.38,0.491,0.324,0.342,0.244,0.756,0,0,0.092,0.471,schrode01
Damian Lillard,34,MIL,PG,58,58,2093,0.448,0.472,0.169,0.113,0.071,0.119,0.528,0.528,0.655,0.393,0.486,0.5,0.376,0.158,0.574,0.005,5,0.078,0.39,lillada01
Russell Westbrook,36,DEN,PG,75,36,2092,0.449,0.65,0.314,0.213,0.063,0.06,0.35,0.517,0.682,0.424,0.212,0.3,0.323,0.423,0.862,0.032,23,0.337,0.439,westbru01
Kelly Oubre Jr.,29,PHI,SF,60,57,2078,0.47,0.673,0.328,0.266,0.067,0.012,0.327,0.555,0.704,0.452,0.26,0.444,0.293,0.534,0.972,0.097,63,0.318,0.351,oubreke01
Nickeil Alexander-Walker,26,MIN,SG,82,10,2073,0.438,0.399,0.166,0.14,0.063,0.031,0.601,0.524,0.667,0.43,0.359,0.526,0.381,0.612,0.986,0.019,8,0.335,0.468,alexani01
Luguentz Dort,25,OKC,SF,71,71,2073,0.435,0.304,0.123,0.094,0.059,0.027,0.696,0.489,0.589,0.375,0.429,0.563,0.412,0.67,0.959,0.032,14,0.259,0.421,dortlu01
Onyeka Okongwu,24,ATL,C,74,40,2064,0.567,0.784,0.48,0.263,0.038,0.003,0.216,0.634,0.738,0.472,0.5,0,0.324,0.768,1,0.145,91,0.534,0.354,okongon01
Malik Monk,26,SAC,SG,65,45,2054,0.439,0.544,0.145,0.242,0.106,0.051,0.456,0.534,0.632,0.524,0.47,0.438,0.325,0.443,0.82,0.036,29,0.121,0.442,monkma01
Jaylen Wells,21,MEM,SG,79,74,2043,0.425,0.42,0.142,0.163,0.059,0.056,0.58,0.525,0.729,0.382,0.625,0.316,0.352,0.658,0.906,0.036,20,0.38,0.369,wellsja01
Jalen Duren,21,DET,C,78,78,2034,0.692,1,0.663,0.332,0.004,0.002,0,0.692,0.76,0.558,0.5,1,0,0.624,0,0.441,219,0,0,durenja01
Jalen Wilson,24,BKN,PF,79,22,2031,0.397,0.416,0.165,0.216,0.023,0.013,0.584,0.481,0.608,0.41,0.286,0.375,0.337,0.597,1,0.002,0,0.29,0.352,wilsoja03
Miles Bridges,26,CHA,PF,64,64,2029,0.431,0.587,0.242,0.274,0.051,0.02,0.413,0.513,0.712,0.393,0.309,0.273,0.313,0.482,0.908,0.058,55,0.236,0.396,bridgmi02
Davion Mitchell,26,TOT,PG,74,37,2027,0.468,0.557,0.271,0.204,0.05,0.032,0.443,0.525,0.651,0.433,0.375,0.267,0.398,0.281,0.821,0,0,0.19,0.425,mitchda01
Franz Wagner,23,ORL,SF,60,60,2023,0.463,0.697,0.214,0.349,0.091,0.043,0.303,0.535,0.726,0.452,0.491,0.36,0.295,0.446,0.692,0.036,39,0.111,0.436,wagnefr01
Quentin Grimes,24,TOT,SG,75,37,2013,0.467,0.488,0.232,0.113,0.077,0.067,0.512,0.552,0.728,0.409,0.397,0.364,0.385,0.441,0.79,0.033,26,0.233,0.49,grimequ01
Jordan Poole,25,WAS,SG,68,68,2001,0.432,0.412,0.166,0.156,0.056,0.034,0.588,0.51,0.703,0.412,0.271,0.417,0.378,0.347,0.574,0.01,10,0.087,0.333,poolejo01
Draymond Green,34,GSW,PF,68,66,1983,0.424,0.517,0.187,0.25,0.053,0.028,0.483,0.517,0.6,0.472,0.444,0.5,0.325,0.809,0.988,0.029,14,0.39,0.333,greendr01
Devin Vassell,24,SAS,SG,64,53,1983,0.443,0.517,0.139,0.105,0.175,0.098,0.483,0.513,0.677,0.419,0.474,0.448,0.368,0.547,0.861,0.046,35,0.228,0.439,vassede01
Klay Thompson,34,DAL,SF,72,72,1965,0.412,0.369,0.067,0.081,0.105,0.116,0.631,0.448,0.712,0.38,0.37,0.412,0.391,0.69,0.944,0.002,2,0.264,0.39,thompkl01
Tyrese Maxey,24,PHI,PG,52,52,1960,0.437,0.562,0.226,0.22,0.071,0.044,0.438,0.515,0.644,0.408,0.462,0.479,0.337,0.307,0.491,0.014,15,0.084,0.275,maxeyty01
Norman Powell,31,LAC,SG,60,60,1958,0.484,0.547,0.184,0.236,0.086,0.041,0.453,0.538,0.718,0.453,0.42,0.462,0.418,0.601,0.793,0.019,16,0.145,0.419,powelno01
Yves Missi,20,NOP,C,73,67,1956,0.547,0.998,0.667,0.311,0.018,0.002,0.002,0.548,0.619,0.405,0.444,0,0,0.677,0,0.297,116,0,0,missiyv01
Keon Ellis,25,SAC,SG,80,28,1948,0.489,0.308,0.103,0.119,0.056,0.03,0.692,0.615,0.833,0.6,0.308,0.5,0.433,0.682,0.921,0.05,23,0.324,0.51,elliske01
Bilal Coulibaly,20,WAS,SF,59,59,1948,0.421,0.641,0.268,0.218,0.096,0.059,0.359,0.5,0.749,0.346,0.283,0.297,0.281,0.51,0.905,0.128,72,0.232,0.346,coulibi01
Kyle Kuzma,29,TOT,PF,65,62,1936,0.436,0.631,0.222,0.285,0.085,0.039,0.369,0.512,0.75,0.413,0.361,0.212,0.307,0.573,0.854,0.029,24,0.246,0.325,kuzmaky01
Julian Champagnie,23,SAS,SF,82,29,1932,0.415,0.278,0.159,0.095,0.009,0.015,0.722,0.53,0.623,0.381,0.667,0.4,0.371,0.735,0.972,0.047,23,0.302,0.421,champju02
Keon Johnson,22,BKN,SG,79,56,1925,0.389,0.485,0.223,0.191,0.04,0.031,0.515,0.468,0.58,0.362,0.419,0.375,0.314,0.492,0.952,0.059,36,0.294,0.331,johnske07
Naji Marshall,27,DAL,SF,69,31,1919,0.508,0.694,0.25,0.33,0.098,0.015,0.306,0.611,0.73,0.528,0.571,0.727,0.275,0.483,1,0.038,20,0.482,0.295,marshna01
Jrue Holiday,34,BOS,PG,62,62,1896,0.443,0.466,0.164,0.209,0.07,0.023,0.534,0.547,0.723,0.458,0.45,0.385,0.353,0.493,0.861,0.003,1,0.314,0.302,holidjr01
Guerschon Yabusele,29,PHI,C,70,43,1895,0.501,0.513,0.313,0.165,0.028,0.007,0.487,0.616,0.744,0.462,0.188,0.25,0.38,0.725,1,0.089,44,0.241,0.364,yabusgu01
Gary Trent Jr.,26,MIL,SG,74,9,1893,0.431,0.341,0.072,0.079,0.111,0.079,0.659,0.46,0.574,0.404,0.493,0.365,0.416,0.476,0.906,0.003,1,0.217,0.489,trentga02
Anthony Black,21,ORL,PG,78,10,1887,0.423,0.685,0.255,0.308,0.071,0.052,0.315,0.471,0.627,0.414,0.25,0.344,0.318,0.435,0.839,0.06,30,0.39,0.395,blackan01
Josh Green,24,CHA,SG,68,67,1887,0.428,0.411,0.185,0.128,0.064,0.033,0.589,0.48,0.615,0.407,0.296,0.357,0.391,0.614,0.979,0.04,17,0.609,0.411,greenjo02
Nic Claxton,25,BKN,C,70,62,1882,0.563,0.963,0.481,0.359,0.1,0.023,0.037,0.576,0.755,0.397,0.456,0.154,0.238,0.673,1,0.229,119,0.381,0.25,claxtni01
Andrew Nembhard,25,IND,SG,65,65,1881,0.458,0.675,0.163,0.187,0.199,0.126,0.325,0.538,0.727,0.535,0.449,0.441,0.291,0.474,0.824,0.002,1,0.269,0.298,nembhan01
Cason Wallace,21,OKC,SG,68,43,1876,0.474,0.575,0.272,0.233,0.055,0.014,0.425,0.562,0.662,0.491,0.407,0.429,0.356,0.563,0.986,0.065,29,0.438,0.341,wallaca01
Derrick Jones Jr.,27,LAC,SF,77,55,1873,0.526,0.628,0.357,0.239,0.019,0.014,0.372,0.627,0.752,0.461,0.455,0.5,0.356,0.741,1,0.209,112,0.507,0.351,jonesde02
Rui Hachimura,26,LAL,PF,59,57,1869,0.509,0.571,0.274,0.181,0.073,0.043,0.429,0.581,0.753,0.394,0.5,0.4,0.413,0.817,0.961,0.13,67,0.429,0.425,hachiru01
RJ Barrett,24,TOR,SF,58,58,1869,0.468,0.688,0.354,0.273,0.049,0.012,0.312,0.522,0.624,0.392,0.542,0.417,0.35,0.459,0.925,0.032,27,0.229,0.4,barrerj01
Buddy Hield,32,GSW,SG,82,22,1863,0.417,0.302,0.093,0.127,0.041,0.041,0.698,0.527,0.726,0.5,0.406,0.281,0.37,0.616,0.931,0.011,9,0.233,0.367,hieldbu01
Trey Murphy III,24,NOP,SF,53,51,1854,0.454,0.478,0.217,0.178,0.054,0.03,0.522,0.556,0.725,0.43,0.378,0.4,0.361,0.691,0.848,0.093,73,0.155,0.441,murphtr02
Zaccharie Risacher,19,ATL,SF,75,73,1843,0.458,0.558,0.28,0.216,0.033,0.03,0.442,0.54,0.651,0.458,0.308,0.348,0.355,0.732,0.975,0.095,67,0.41,0.433,risacza01
Andrew Wiggins,29,TOT,SF,60,60,1842,0.448,0.585,0.168,0.284,0.061,0.073,0.415,0.501,0.596,0.487,0.49,0.344,0.374,0.504,0.869,0.052,40,0.164,0.421,wiggian01
Isaiah Collier,20,UTA,PG,71,46,1839,0.422,0.695,0.209,0.368,0.094,0.025,0.305,0.497,0.698,0.451,0.288,0.286,0.249,0.349,0.595,0.027,15,0.26,0.341,colliis01
Keldon Johnson,25,SAS,SF,77,0,1838,0.482,0.644,0.336,0.277,0.023,0.008,0.356,0.573,0.703,0.451,0.333,0,0.318,0.627,0.897,0.044,30,0.339,0.29,johnske04
Royce O'Neale,31,PHX,SF,75,22,1837,0.423,0.226,0.089,0.111,0.021,0.005,0.774,0.481,0.725,0.349,0.25,0,0.406,0.71,0.961,0.007,3,0.231,0.529,onealro01
P.J. Washington,26,DAL,PF,57,56,1835,0.453,0.641,0.223,0.332,0.068,0.018,0.359,0.493,0.703,0.38,0.4,0.333,0.381,0.524,0.901,0.054,34,0.331,0.367,washipj01
CJ McCollum,33,NOP,PG,56,56,1832,0.444,0.541,0.157,0.185,0.138,0.061,0.459,0.505,0.669,0.443,0.442,0.41,0.373,0.443,0.737,0.003,3,0.144,0.348,mccolcj01
Haywood Highsmith,28,MIA,SF,74,42,1818,0.458,0.404,0.205,0.159,0.036,0.005,0.596,0.57,0.688,0.484,0.357,0,0.382,0.667,0.978,0.049,19,0.459,0.439,highsha01
Dorian Finney-Smith,31,TOT,PF,63,40,1818,0.448,0.278,0.182,0.074,0.018,0.005,0.722,0.545,0.62,0.375,0.5,0.5,0.411,0.697,0.992,0.037,14,0.382,0.45,finnedo01
Alex Sarr,19,WAS,C,67,67,1814,0.394,0.588,0.17,0.298,0.086,0.034,0.412,0.454,0.695,0.36,0.324,0.393,0.308,0.701,0.952,0.077,58,0.15,0.373,sarral01
Kyrie Irving,32,DAL,SG,50,50,1804,0.473,0.62,0.153,0.252,0.134,0.08,0.38,0.517,0.703,0.487,0.441,0.382,0.401,0.32,0.632,0.001,1,0.15,0.5,irvinky01
Kyshawn George,21,WAS,SG,68,38,1802,0.372,0.352,0.159,0.132,0.049,0.011,0.648,0.464,0.609,0.347,0.37,0.167,0.322,0.573,0.921,0.026,11,0.192,0.353,georgky01
Cameron Johnson,28,BKN,PF,57,57,1800,0.475,0.454,0.191,0.119,0.082,0.062,0.546,0.578,0.783,0.449,0.41,0.413,0.39,0.556,0.906,0.035,24,0.213,0.448,johnsca02
Duncan Robinson,30,MIA,SF,74,37,1785,0.437,0.271,0.122,0.128,0.018,0.003,0.729,0.556,0.642,0.518,0.333,0,0.393,0.76,0.884,0.012,6,0.184,0.427,robindu01
Kris Dunn,30,LAC,PG,74,58,1783,0.439,0.487,0.13,0.275,0.064,0.018,0.513,0.549,0.719,0.492,0.536,0.25,0.335,0.556,0.933,0.016,7,0.478,0.318,dunnkr01
Luka Dončić,25,TOT,PG,50,50,1769,0.45,0.531,0.104,0.193,0.167,0.066,0.469,0.522,0.748,0.535,0.45,0.309,0.368,0.261,0.441,0.001,1,0.046,0.364,doncilu01
Scoot Henderson,20,POR,PG,66,10,1759,0.419,0.566,0.235,0.199,0.072,0.061,0.434,0.469,0.59,0.346,0.49,0.381,0.354,0.253,0.771,0.02,11,0.138,0.39,hendesc01
