Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
AJ Johnson,20,TOT,SG,29,11,639,0.385,0.577,0.291,0.258,0.028,0,0.423,0.472,0.565,0.418,0,0,0.267,0.534,0.667,0.099,15,0.122,0.364,johnsaj01
Maxi Kleber,33,DAL,PF,34,4,637,0.385,0.49,0.177,0.208,0.021,0.083,0.51,0.511,0.706,0.3,0.5,0.625,0.265,0.833,0.923,0.073,6,0.347,0.235,klebima01
Delon Wright,32,TOT,PG,40,7,635,0.344,0.443,0.244,0.153,0.038,0.008,0.557,0.431,0.563,0.25,0.2,1,0.274,0.44,1,0,0,0.26,0.421,wrighde01
Jericho Sims,26,TOT,C,53,5,632,0.634,1,0.718,0.239,0.042,0,0,0.634,0.725,0.412,0.333,0,0,0.8,0,0.577,35,0,0,simsje01
Josh Okogie,26,TOT,SG,40,7,625,0.443,0.566,0.283,0.25,0.028,0.005,0.434,0.517,0.733,0.302,0.333,0,0.348,0.629,1,0.08,14,0.522,0.396,okogijo01
Jeff Dowtin Jr.,27,PHI,PG,41,3,621,0.487,0.696,0.209,0.217,0.187,0.083,0.304,0.525,0.604,0.44,0.628,0.316,0.4,0.298,0.607,0.004,1,0.2,0.5,dowtije01
Daniel Theis,32,NOP,C,38,9,621,0.473,0.713,0.31,0.271,0.116,0.016,0.287,0.565,0.7,0.457,0.467,0.5,0.243,0.75,1,0.116,11,0.243,0,theisda01
Cory Joseph,33,ORL,PG,50,16,612,0.403,0.305,0.091,0.11,0.052,0.052,0.695,0.489,0.643,0.412,0.375,0.5,0.364,0.391,0.872,0,0,0.215,0.304,josepco01
Zeke Nnaji,24,DEN,PF,57,4,608,0.496,0.631,0.383,0.199,0.007,0.043,0.369,0.596,0.741,0.321,1,0.5,0.327,0.792,0.941,0.184,22,0.519,0.296,nnajize01
Kessler Edwards,24,DAL,SF,40,18,608,0.496,0.6,0.311,0.207,0.067,0.015,0.4,0.556,0.667,0.464,0.333,0.5,0.407,0.822,1,0.104,12,0.5,0.37,edwarke02
Pat Connaughton,32,MIL,SG,41,1,603,0.469,0.542,0.35,0.164,0.023,0.006,0.458,0.594,0.661,0.448,0.5,1,0.321,0.702,0.885,0.04,6,0.235,0.211,connapa01
Ajay Mitchell,22,OKC,SG,36,1,597,0.495,0.674,0.217,0.353,0.065,0.038,0.326,0.548,0.625,0.492,0.833,0.143,0.383,0.397,0.957,0.005,0,0.267,0.375,mitchaj01
Brandon Ingram,27,NOP,SF,18,18,595,0.465,0.655,0.117,0.153,0.24,0.144,0.345,0.514,0.744,0.412,0.538,0.396,0.374,0.402,0.837,0.027,9,0.07,0.25,ingrabr01
Jared McCain,20,PHI,SG,23,8,592,0.46,0.515,0.193,0.179,0.106,0.036,0.485,0.532,0.642,0.429,0.448,0.7,0.383,0.32,0.804,0.007,2,0.203,0.333,mccaija01
Cam Reddish,25,LAL,SF,33,8,589,0.404,0.5,0.245,0.202,0.032,0.021,0.5,0.532,0.87,0.211,0,0.5,0.277,0.52,1,0.096,8,0.489,0.304,reddica01
Jae'Sean Tate,29,HOU,SF,52,2,588,0.473,0.689,0.27,0.385,0.034,0,0.311,0.529,0.7,0.421,0.4,0,0.348,0.519,1,0.041,4,0.674,0.452,tateja01
Olivier-Maxence Prosper,22,DAL,PF,52,4,584,0.402,0.707,0.356,0.276,0.029,0.046,0.293,0.472,0.661,0.313,0,0.25,0.235,0.638,1,0.08,11,0.667,0.265,prospol01
Jarred Vanderbilt,25,LAL,PF,36,2,581,0.488,0.736,0.554,0.174,0.008,0,0.264,0.562,0.672,0.238,0,0,0.281,0.7,1,0.289,30,0.75,0.375,vandeja01
Joel Embiid,30,PHI,C,19,19,574,0.444,0.756,0.194,0.194,0.203,0.165,0.244,0.492,0.623,0.508,0.422,0.404,0.299,0.538,0.957,0.016,5,0,0,embiijo01
Monte Morris,29,PHX,PG,45,0,571,0.426,0.559,0.056,0.262,0.144,0.097,0.441,0.477,0.909,0.431,0.393,0.474,0.36,0.462,0.903,0,0,0.465,0.375,morrimo01
Moritz Wagner,27,ORL,C,30,1,564,0.562,0.699,0.486,0.201,0.008,0.004,0.301,0.649,0.711,0.54,0,0,0.36,0.69,1,0.076,18,0.307,0.391,wagnemo01
Malcolm Brogdon,32,WAS,PG,24,13,564,0.433,0.767,0.296,0.242,0.129,0.1,0.233,0.478,0.676,0.362,0.355,0.333,0.286,0.364,0.938,0,0,0.089,0.4,brogdma01
John Konchar,28,MEM,SG,46,4,558,0.451,0.319,0.22,0.066,0.033,0,0.681,0.621,0.7,0.5,0.333,0,0.371,0.667,1,0.011,1,0.5,0.387,konchjo01
Dwight Powell,33,DAL,C,55,3,551,0.689,0.918,0.689,0.213,0.016,0,0.082,0.714,0.81,0.462,0,0,0.4,0.775,1,0.295,15,0.8,0.5,poweldw01
Dillon Jones,23,OKC,SF,54,3,551,0.383,0.526,0.286,0.18,0.045,0.015,0.474,0.5,0.658,0.292,0.333,0.5,0.254,0.657,0.938,0,0,0.206,0.231,jonesdi01
Jordan Goodwin,26,LAL,PG,29,5,543,0.438,0.528,0.146,0.215,0.118,0.049,0.472,0.487,0.571,0.484,0.412,0.429,0.382,0.459,0.962,0,0,0.456,0.419,goodwjo01
Richaun Holmes,31,WAS,PF,31,7,534,0.647,0.978,0.626,0.309,0.036,0.007,0.022,0.662,0.77,0.488,0.4,0,0,0.633,0,0.281,39,0.667,0,holmeri01
Mouhamed Gueye,22,ATL,PF,33,28,533,0.421,0.526,0.339,0.129,0.053,0.006,0.474,0.567,0.655,0.364,0.556,0,0.259,0.824,1,0.17,25,0.593,0.25,gueyemo02
Bismack Biyombo,32,SAS,C,28,26,528,0.588,1,0.465,0.447,0.088,0,0,0.588,0.698,0.569,0.1,0,0,0.791,0,0.123,11,0,0,biyombi01
Jaylen Clark,23,MIN,SG,40,4,522,0.467,0.575,0.3,0.217,0.05,0.008,0.425,0.493,0.528,0.462,0.5,0,0.431,0.559,1,0.025,2,0.549,0.429,clarkja02
Rob Dillingham,20,MIN,PG,49,1,516,0.441,0.649,0.213,0.223,0.123,0.09,0.351,0.496,0.733,0.404,0.462,0.211,0.338,0.309,0.48,0.014,3,0.135,0.5,dilliro01
Colby Jones,22,TOT,SG,39,0,515,0.457,0.62,0.178,0.264,0.14,0.039,0.38,0.538,0.696,0.441,0.556,0.4,0.327,0.558,0.938,0.039,5,0.245,0.333,jonesco02
Craig Porter Jr.,24,CLE,PG,51,1,513,0.514,0.657,0.343,0.2,0.079,0.036,0.343,0.554,0.708,0.393,0.455,0.2,0.438,0.529,0.714,0.05,6,0.25,0.333,portecr01
Tristan Vukcevic,21,WAS,C,35,1,513,0.496,0.579,0.186,0.252,0.103,0.037,0.421,0.586,0.8,0.426,0.52,0.778,0.373,0.793,1,0.058,14,0.098,0.3,vukcetr01
Elfrid Payton,30,TOT,PG,24,9,511,0.328,0.951,0.148,0.525,0.262,0.016,0.049,0.336,0.333,0.375,0.25,0.5,0.167,0.179,1,0,0,0.167,0,paytoel01
Jamal Cain,25,NOP,SF,37,0,502,0.43,0.494,0.19,0.215,0.07,0.019,0.506,0.538,0.767,0.471,0.273,0,0.325,0.595,0.885,0.044,6,0.488,0.308,cainja01
Keaton Wallace,25,ATL,PG,31,5,501,0.401,0.494,0.08,0.154,0.191,0.068,0.506,0.475,0.538,0.6,0.419,0.273,0.329,0.289,0.815,0.025,4,0.122,0.4,wallake01
Jock Landale,29,HOU,C,42,3,500,0.533,0.829,0.355,0.289,0.132,0.053,0.171,0.556,0.648,0.545,0.35,0.5,0.423,0.629,0.909,0.105,15,0.077,0,landajo01
Vince Williams Jr.,24,MEM,SG,27,5,499,0.401,0.431,0.144,0.21,0.066,0.012,0.569,0.569,0.625,0.543,0.545,0.5,0.274,0.61,0.923,0.012,1,0.284,0.37,willivi01
Wendell Moore Jr.,23,TOT,SG,36,1,499,0.468,0.675,0.389,0.175,0.071,0.04,0.325,0.529,0.612,0.5,0.333,0.2,0.341,0.6,0.929,0.04,5,0.537,0.409,moorewe01
Brandon Williams,25,DAL,PG,33,3,487,0.521,0.681,0.356,0.218,0.069,0.037,0.319,0.578,0.672,0.415,0.615,0.571,0.4,0.297,0.833,0.005,1,0.2,0.417,willibr03
A.J. Lawson,24,TOR,SG,26,2,486,0.421,0.468,0.289,0.168,0.011,0,0.532,0.528,0.618,0.406,0,0,0.327,0.638,0.939,0.074,11,0.347,0.314,lawsoaj01
Grant Williams,26,CHA,PF,16,7,479,0.439,0.398,0.154,0.154,0.057,0.033,0.602,0.551,0.737,0.579,0.143,0.25,0.365,0.815,1,0.024,3,0.203,0.267,willigr01
Lonnie Walker IV,26,PHI,SG,20,7,477,0.42,0.401,0.165,0.099,0.061,0.075,0.599,0.518,0.686,0.333,0.462,0.438,0.354,0.591,0.778,0.028,5,0.142,0.333,walkelo01
Duop Reath,28,POR,C,46,0,469,0.422,0.361,0.229,0.108,0.018,0.006,0.639,0.6,0.763,0.333,0.333,0,0.321,0.472,0.971,0.03,5,0.226,0.333,reathdu01
Reece Beekman,23,TOT,PG,36,4,469,0.327,0.626,0.215,0.318,0.047,0.047,0.374,0.418,0.609,0.382,0,0.2,0.175,0.464,1,0.009,1,0.4,0.25,beekmre01
Kai Jones,24,TOT,C,40,6,468,0.798,0.954,0.651,0.156,0.119,0.028,0.046,0.827,0.944,0.706,0.462,0.333,0.2,0.826,1,0.596,62,0.2,0,joneska01
Larry Nance Jr.,32,ATL,PF,24,3,463,0.516,0.51,0.239,0.206,0.045,0.019,0.49,0.582,0.703,0.469,0.571,0.333,0.447,0.848,0.971,0.135,16,0.342,0.423,nancela02
Collin Gillespie,25,PHX,PG,33,9,461,0.43,0.43,0.101,0.19,0.101,0.038,0.57,0.426,0.5,0.4,0.313,0.667,0.433,0.276,0.795,0,0,0.189,0.529,gilleco01
Rayan Rupert,20,POR,SG,52,0,460,0.408,0.585,0.268,0.254,0.063,0,0.415,0.506,0.632,0.389,0.444,0,0.271,0.524,0.813,0.035,5,0.339,0.35,ruperra01
GG Jackson II,20,MEM,PF,29,3,459,0.372,0.523,0.236,0.251,0.025,0.01,0.477,0.404,0.553,0.28,0.2,0.5,0.337,0.476,0.938,0.085,12,0.284,0.296,jacksgg01
Jaylon Tyson,22,CLE,SG,47,3,453,0.43,0.611,0.302,0.242,0.054,0.013,0.389,0.484,0.533,0.444,0.375,0.5,0.345,0.477,0.85,0.047,5,0.448,0.346,tysonja01
Bol Bol,25,PHX,PF,36,10,448,0.525,0.492,0.098,0.158,0.153,0.082,0.508,0.711,0.833,0.759,0.679,0.533,0.344,0.844,1,0.055,10,0.548,0.353,bolbo01
Paul Reed,25,DET,C,45,0,438,0.507,0.803,0.359,0.254,0.155,0.035,0.197,0.561,0.765,0.389,0.318,0.8,0.286,0.688,1,0.141,18,0.179,0.2,reedpa01
Colin Castleton,24,TOT,C,26,4,432,0.469,0.837,0.337,0.388,0.112,0,0.163,0.537,0.697,0.421,0.455,0,0.125,0.682,1,0.102,8,0.563,0.111,castlco01
Trevelin Queen,27,ORL,SG,31,2,430,0.381,0.476,0.238,0.19,0.027,0.02,0.524,0.486,0.6,0.393,0.25,0.333,0.286,0.588,0.818,0.088,11,0.234,0.444,queentr01
Malaki Branham,21,SAS,SG,47,0,427,0.458,0.558,0.184,0.195,0.126,0.053,0.442,0.5,0.8,0.351,0.333,0.4,0.405,0.509,0.941,0.026,4,0.19,0.438,branhma01
Jordan Miller,25,LAC,SF,37,0,420,0.433,0.716,0.313,0.343,0.06,0,0.284,0.521,0.619,0.457,0.375,0,0.211,0.48,1,0.052,6,0.289,0.182,millejo02
Mo Bamba,26,TOT,C,32,2,413,0.464,0.518,0.259,0.214,0.027,0.018,0.482,0.638,0.793,0.458,0.667,0.5,0.278,0.649,1,0.107,10,0.352,0.263,bambamo01
David Roddy,23,TOT,PF,33,3,410,0.456,0.512,0.216,0.264,0.032,0,0.488,0.594,0.667,0.545,0.5,0,0.311,0.737,0.842,0.016,2,0.262,0.438,roddyda01
Taj Gibson,39,CHA,C,37,11,409,0.495,0.979,0.505,0.316,0.137,0.021,0.021,0.495,0.625,0.4,0.231,0.5,0.5,0.63,1,0.095,9,1,0.5,gibsota01
Ousmane Dieng,21,OKC,C,37,1,405,0.432,0.432,0.232,0.12,0.048,0.032,0.568,0.574,0.655,0.467,0.5,0.5,0.324,0.742,0.913,0.136,16,0.31,0.318,diengou01
Jordan Walsh,20,BOS,PF,52,1,403,0.361,0.337,0.193,0.145,0,0,0.663,0.536,0.688,0.333,0,0,0.273,0.467,1,0.084,4,0.418,0.217,walshjo01
Hunter Tyson,24,DEN,PF,51,2,400,0.375,0.383,0.175,0.142,0.025,0.042,0.617,0.478,0.714,0.235,0.667,0.2,0.311,0.682,0.913,0.067,6,0.284,0.286,tysonhu01
Anthony Gill,32,WAS,PF,51,0,397,0.489,0.648,0.295,0.33,0.011,0.011,0.352,0.579,0.654,0.552,0,0,0.323,0.606,1,0.011,1,0.387,0.333,gillan01
Devin Carter,22,SAC,PG,36,0,396,0.37,0.52,0.15,0.268,0.079,0.016,0.48,0.439,0.579,0.412,0.4,0,0.295,0.345,0.778,0.063,8,0.23,0.214,cartede02
Jeff Green,38,HOU,PF,32,3,396,0.504,0.347,0.124,0.099,0.091,0.033,0.653,0.762,0.8,0.75,0.636,1,0.367,0.531,0.966,0.074,9,0.506,0.4,greenje02
Trey Jemison,25,TOT,C,38,0,392,0.554,1,0.514,0.419,0.054,0.014,0,0.554,0.658,0.484,0.25,0,0,0.756,0,0.203,13,0,0,jemistr01
Reggie Jackson,34,PHI,PG,31,1,384,0.391,0.444,0.128,0.158,0.083,0.075,0.556,0.458,0.647,0.524,0.273,0.2,0.338,0.444,0.8,0,0,0.189,0.429,jacksre01
Baylor Scheierman,24,BOS,SG,31,2,384,0.355,0.255,0.073,0.118,0.018,0.045,0.745,0.464,0.625,0.385,0,0.6,0.317,0.615,0.885,0,0,0.28,0.348,scheiba01
Quenton Jackson,26,IND,PG,28,7,381,0.475,0.672,0.451,0.156,0.025,0.041,0.328,0.524,0.618,0.368,0.333,0.2,0.375,0.558,0.933,0.074,8,0.3,0.333,jacksqu01
Alex Len,31,TOT,C,46,7,380,0.508,0.857,0.429,0.333,0.079,0.016,0.143,0.556,0.63,0.571,0.2,0,0.222,0.733,1,0.206,9,0.444,0.25,lenal01
Johnny Furphy,20,IND,SG,50,0,379,0.38,0.457,0.261,0.174,0,0.022,0.543,0.476,0.667,0.25,0,0,0.3,0.85,0.933,0.098,8,0.44,0.364,furphjo01
Charles Bassey,24,SAS,C,36,1,376,0.581,1,0.598,0.299,0.094,0.009,0,0.581,0.614,0.571,0.455,0,0,0.779,0,0.325,30,0,0,bassech01
Dominick Barlow,21,ATL,PF,35,4,375,0.531,0.761,0.416,0.195,0.133,0.018,0.239,0.616,0.766,0.5,0.333,0.5,0.259,0.717,1,0.159,18,0.815,0.182,barlodo01
Danté Exum,29,DAL,PG,20,13,372,0.478,0.604,0.261,0.239,0.075,0.03,0.396,0.506,0.657,0.375,0.3,0.75,0.434,0.415,0.913,0.03,2,0.321,0.588,exumda01
Damion Baugh,24,CHA,SG,15,2,370,0.323,0.569,0.208,0.323,0.031,0.008,0.431,0.405,0.63,0.286,0.25,0,0.214,0.433,1,0.008,0,0.339,0.105,baughda01
Jaden Springer,22,TOT,PG,43,2,365,0.389,0.467,0.144,0.256,0.056,0.011,0.533,0.548,0.846,0.435,0.4,0,0.25,0.522,0.917,0.033,3,0.458,0.182,sprinja01
Robert Williams,27,POR,C,20,3,351,0.641,0.962,0.705,0.205,0.026,0.026,0.038,0.653,0.8,0.25,0.5,0,0.333,0.755,1,0.385,25,0.667,0.5,williro04
Doug McDermott,33,SAC,SF,42,3,342,0.427,0.137,0.043,0.043,0.026,0.026,0.863,0.375,0.6,0.2,0.333,0.333,0.436,1,1,0.009,1,0.277,0.464,mcderdo01
Christian Koloko,24,LAL,C,37,0,342,0.606,0.939,0.621,0.273,0.015,0.03,0.061,0.645,0.707,0.5,1,0.5,0,0.825,0,0.455,25,0.5,0,kolokch01
Terrence Shannon Jr.,24,MIN,SG,32,1,339,0.482,0.728,0.325,0.333,0.044,0.026,0.272,0.53,0.73,0.368,0.6,0,0.355,0.841,1,0.07,6,0.645,0.4,shannte01
Keion Brooks Jr.,24,NOP,SF,14,6,332,0.486,0.606,0.275,0.202,0.11,0.018,0.394,0.591,0.8,0.318,0.5,1,0.326,0.718,1,0.092,8,0.395,0.412,brookke02
Tristan Thompson,33,CLE,C,40,0,328,0.437,0.958,0.465,0.366,0.113,0.014,0.042,0.456,0.606,0.385,0.125,0,0,0.71,0,0.155,7,0.333,0,thomptr01
Maxwell Lewis,22,TOT,SF,28,1,327,0.417,0.537,0.167,0.25,0.065,0.056,0.463,0.448,0.722,0.333,0.429,0.167,0.38,0.654,0.895,0.037,3,0.4,0.35,lewisma05
Jevon Carter,29,CHI,PG,36,1,321,0.377,0.281,0.103,0.082,0.068,0.027,0.719,0.488,0.533,0.417,0.5,0.5,0.333,0.6,0.743,0.007,1,0.238,0.4,carteje01
Patty Mills,36,TOT,PG,29,0,321,0.375,0.219,0.021,0.094,0.031,0.073,0.781,0.476,0.5,0.556,0.333,0.429,0.347,0.5,0.769,0,0,0.147,0.455,millspa02
Tre Mann,23,CHA,PG,13,0,319,0.435,0.627,0.273,0.205,0.099,0.05,0.373,0.455,0.455,0.515,0.375,0.375,0.4,0.174,0.542,0.006,1,0.217,0.385,manntr01
