Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,playerID
Terance Mann,26,LAC,SG,81,36,23.1,3.4,2.3,8.8,mannte01
Royce O'Neale,29,BKN,SF,76,53,31.7,5.1,3.7,8.8,onealro01
Dennis Smith Jr.,25,CHA,PG,54,15,25.7,3.1,4.8,8.8,smithde03
Jordan Nwora,24,TOT,SF,62,14,19.2,3.7,1.4,8.7,nworajo01
T.J. McConnell,30,IND,PG,75,6,20.3,3.1,5.3,8.7,mccontj01
Cedi Osman,27,CLE,SF,77,2,20.1,2.3,1.5,8.7,osmande01
Landry Shamet,25,PHX,SG,40,9,20.2,1.7,2.3,8.7,shamela01
Steven Adams,29,MEM,C,42,42,27,11.5,2.3,8.6,adamsst01
Ayo Dosunmu,23,CHI,SG,80,51,26.2,2.8,2.6,8.6,dosunay01
Draymond Green,32,GSW,PF,73,73,31.5,7.2,6.8,8.5,greendr01
Shake Milton,26,PHI,SG,76,11,20.6,2.5,3.2,8.4,miltosh01
Dorian Finney-Smith,29,TOT,PF,66,66,30.4,4.8,1.5,8.3,finnedo01
Terrence Ross,31,TOT,SG,63,9,21.1,2.4,1.5,8.3,rosste01
Gary Harris,28,ORL,SG,48,42,24.7,2,1.2,8.3,harriga01
Kevin Love,34,TOT,PF,62,20,20,6.4,1.9,8.2,loveke01
Damion Lee,30,PHX,SG,74,5,20.4,3,1.3,8.2,leeda03
Georges Niang,29,PHI,PF,78,1,19.4,2.4,1,8.2,niangge01
Nick Richards,25,CHA,C,65,9,18.7,6.4,0.6,8.2,richani01
Aleksej Pokusevski,21,OKC,PF,34,25,20.6,4.7,1.9,8.1,pokusal01
Grant Williams,24,BOS,PF,79,23,25.9,4.6,1.7,8.1,willigr01
Jevon Carter,27,MIL,PG,81,39,22.3,2.5,2.4,8,carteje01
Kemba Walker,32,DAL,PG,9,1,16,1.8,2.1,8,walkeke02
Kenrich Williams,28,OKC,PF,53,10,22.8,4.9,2,8,willike04
Robert Williams,25,BOS,C,35,20,23.5,8.3,1.4,8,williro04
Gabe York,29,IND,SG,3,0,18.7,2,1.7,8,yorkga01
Jarred Vanderbilt,23,TOT,PF,78,65,24.1,7.5,2.4,7.9,vandeja01
Ochai Agbaji,22,UTA,SG,59,22,20.5,2.1,1.1,7.9,agbajoc01
Chris Duarte,25,IND,SF,46,12,19.5,2.5,1.4,7.9,duartch01
Duane Washington Jr.,22,PHX,SG,31,3,12.7,1.2,2,7.9,washidu02
Jeff Green,36,DEN,PF,56,4,19.5,2.6,1.2,7.8,greenje02
Tre Mann,21,OKC,PG,67,5,17.7,2.3,1.8,7.7,manntr01
Pat Connaughton,30,MIL,SF,61,33,23.7,4.6,1.3,7.6,connapa01
Joe Harris,31,BKN,SF,74,33,20.6,2.2,1.4,7.6,harrijo01
Trey Lyles,27,SAC,PF,74,0,16.9,4.1,0.9,7.6,lylestr01
T.J. Warren,29,TOT,PF,42,0,16.4,2.9,1,7.5,warretj01
Devonte' Graham,27,TOT,PG,73,8,18.3,1.7,2.7,7.4,grahade01
Torrey Craig,32,PHX,PF,79,60,24.7,5.4,1.5,7.4,craigto01
Mitchell Robinson,24,NYK,C,59,58,27,9.4,0.9,7.4,robinmi01
Obi Toppin,24,NYK,PF,67,5,15.7,2.8,1,7.4,toppiob01
Trendon Watford,22,POR,PF,62,12,19.1,3.8,2.1,7.4,watfotr01
Delon Wright,30,WAS,PG,50,14,24.4,3.6,3.9,7.4,wrighde01
Jay Huff,24,WAS,C,7,0,13.6,3,1.4,7.3,huffja01
Josh Okogie,24,PHX,SG,72,26,18.8,3.5,1.5,7.3,okogijo01
Reggie Bullock,31,DAL,SF,78,55,30.3,3.6,1.4,7.2,bullore01
Isaiah Jackson,21,IND,C,63,12,16.5,4.5,0.8,7.2,jacksis01
Kendrick Nunn,27,TOT,SG,70,2,13.8,1.6,1.3,7.1,nunnke01
Troy Brown Jr.,23,LAL,SF,76,45,24.5,4.1,1.3,7.1,browntr01
Edmond Sumner,27,BKN,SG,53,12,13.9,1.5,1.3,7.1,sumneed01
Lindell Wigginton,24,MIL,PG,7,1,12.4,1,2,7.1,wiggili01
Eugene Omoruyi,25,TOT,SF,40,6,16.1,2.8,0.7,7,omorueu01
Chance Comanche,26,POR,C,1,0,21,3,0,7,comanch01
Kevon Looney,26,GSW,C,82,70,23.9,9.3,2.5,7,looneke01
Joshua Primo,20,SAS,SG,4,0,23.3,3.3,4.5,7,primojo01
Daniel Theis,30,IND,C,7,1,15.6,3.1,1.3,7,theisda01
Xavier Tillman Sr.,24,MEM,C,61,29,19.3,5,1.6,7,tillmxa01
Svi Mykhailiuk,25,TOT,SF,32,8,14.6,1.7,1.7,6.9,mykhasv01
Jae Crowder,32,MIL,PF,18,3,18.9,3.8,1.5,6.9,crowdja01
Willy Hernangómez,28,NOP,C,38,2,12.1,4.7,0.9,6.9,hernawi01
Joe Ingles,35,MIL,SF,46,0,22.7,2.8,3.3,6.9,inglejo01
Ty Jerome,25,GSW,SG,45,2,18.1,1.7,3,6.9,jeromty01
Cory Joseph,31,DET,PG,62,2,19.8,1.7,3.5,6.9,josepco01
Romeo Langford,23,SAS,SG,43,21,19.6,2.7,1.2,6.9,langfro01
Ben Simmons,26,BKN,PG,42,33,26.3,6.3,6.1,6.9,simmobe01
Will Barton,32,TOT,SG,56,2,17.7,2.4,2,6.8,bartowi01
Larry Nance Jr.,30,NOP,C,65,1,21.2,5.4,1.8,6.8,nancela02
Jeremiah Robinson-Earl,22,OKC,PF,43,20,18.9,4.2,1,6.8,robinje02
Aaron Wiggins,24,OKC,SG,70,14,18.5,3,1.1,6.8,wiggiaa01
Justise Winslow,26,POR,PF,29,11,26.8,5,3.4,6.8,winslju01
Terence Davis,25,SAC,SG,64,5,13.1,2.2,1,6.7,daviste02
Anthony Lamb,25,GSW,SF,62,4,19.3,3.5,1.5,6.7,lamban01
Isaiah Livers,24,DET,PF,52,22,23.1,2.8,0.8,6.7,liveris01
Théo Maledon,21,CHA,PG,44,7,19.4,2.8,3.5,6.7,maledth01
Dwight Powell,31,DAL,C,76,64,19.2,4.1,0.9,6.7,poweldw01
David Roddy,21,MEM,PF,70,4,18,2.8,0.8,6.7,roddyda01
Kevin Knox,23,TOT,SF,63,5,15.1,2.8,0.5,6.6,knoxke01
Mo Bamba,24,TOT,C,49,7,15.7,4.6,0.9,6.6,bambamo01
Drew Eubanks,25,POR,C,78,28,20.3,5.4,1.3,6.6,eubandr01
Jordan Goodwin,24,WAS,PG,62,7,17.8,3.3,2.7,6.6,goodwjo01
Jock Landale,27,PHX,C,69,4,14.2,4.1,1,6.6,landajo01
Nassir Little,22,POR,SF,54,4,18.1,2.6,0.9,6.6,littlna01
Brandon Boston Jr.,21,LAC,SF,22,1,11.3,1.4,0.9,6.5,bostobr01
Luka Garza,24,MIN,C,28,0,8.7,2.3,0.6,6.5,garzalu01
Jay Scrubb,22,ORL,SG,2,0,15,3,0.5,6.5,scrubja01
Cody Zeller,30,MIA,C,15,2,14.5,4.3,0.7,6.5,zelleco01
Dario Šarić,28,TOT,C,57,12,14.1,3.6,1.3,6.4,saricda01
R.J. Hampton,21,TOT,SG,47,3,16,1.9,1.1,6.4,hamptrj01
JaMychal Green,32,GSW,PF,57,1,14,3.6,0.9,6.4,greenja01
