Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
D'Angelo Russell,26,TOT,PG,71,71,2304,1.4,0.5,131,34,56,8,79,18,1012,16,23,russeda01
Draymond Green,32,GSW,PF,73,73,2297,7.3,13.1,144,19,113,29,47,30,1218,13,20,greendr01
KJ Martin,22,HOU,SF,82,49,2292,-8.4,-0.2,33,23,75,18,119,6,306,30,53,martike04
Joel Embiid,28,PHI,C,66,66,2284,9.1,10.2,75,89,109,32,354,3,702,75,90,embiijo01
Bruce Brown,26,DEN,SF,80,31,2280,0.9,-5.6,56,37,106,12,75,11,631,23,37,brownbr01
Klay Thompson,32,GSW,SF,69,69,2279,3.1,3.1,57,24,73,12,53,3,379,11,33,thompkl01
Jalen Williams,21,OKC,SG,75,62,2276,-0.3,-3.3,42,41,99,16,99,20,604,25,52,willija06
Lauri Markkanen,25,UTA,PF,66,66,2273,3.2,10,31,53,64,35,169,9,319,45,65,markkla01
Max Strus,26,MIA,SF,80,33,2272,-4.1,-9.1,40,13,103,9,34,17,397,8,23,strusma01
Luguentz Dort,23,OKC,SF,74,73,2272,1,-0.4,31,30,111,14,120,93,365,23,53,dortlu01
Nic Claxton,23,BKN,C,76,76,2271,5.2,9.1,21,21,105,31,119,14,350,35,29,claxtni01
Jerami Grant,28,POR,PF,63,63,2246,-0.9,6.4,36,40,76,24,161,25,371,39,52,grantje01
Kyrie Irving,30,TOT,SG,60,60,2241,4.6,5.3,69,36,85,9,114,16,808,34,55,irvinky01
Kyle Kuzma,27,WAS,PF,64,64,2239,0.2,3.4,65,52,76,35,120,8,574,29,59,kuzmaky01
Caris LeVert,28,CLE,SG,74,30,2237,4.7,-2.2,73,24,87,7,79,30,667,16,32,leverca01
Bennedict Mathurin,20,IND,SG,78,17,2222,-4.5,-2.5,56,49,67,30,218,10,288,52,83,mathube01
Terry Rozier,28,CHA,SG,63,63,2221,-6.3,-1.1,56,40,52,15,93,38,756,23,64,roziete01
Jarrett Allen,24,CLE,C,68,68,2220,7.9,4.9,41,18,90,17,100,13,271,20,43,allenja01
Dillon Brooks,27,MEM,SF,73,73,2214,4.3,1.7,43,27,104,15,70,23,451,18,38,brookdi01
Kevin Huerter,24,SAC,SG,75,75,2203,3,1.6,53,14,85,6,49,8,516,12,23,huertke01
Jrue Holiday,32,MIL,PG,67,65,2183,9.3,12.8,124,48,55,14,69,21,1209,17,45,holidjr01
Alperen Şengün,20,HOU,C,75,72,2171,-7.9,0.8,85,44,152,34,123,31,672,42,62,sengual01
Anfernee Simons,23,POR,SG,62,62,2171,-1.2,5.4,65,34,73,15,69,11,595,18,42,simonan01
Ivica Zubac,25,LAC,C,76,76,2170,-0.6,-2.8,36,31,148,28,110,2,184,18,46,zubaciv01
Killian Hayes,21,DET,PG,76,56,2154,-11.6,-6.8,111,38,111,5,36,28,1147,5,29,hayeski01
Tim Hardaway Jr.,30,DAL,SF,71,45,2152,4.2,8.5,31,14,65,11,66,40,330,16,25,hardati02
De'Anthony Melton,24,PHI,SG,77,58,2150,2.9,-3.9,56,26,94,9,29,8,492,5,25,meltode01
Rudy Gobert,30,MIN,C,70,70,2148,-0.3,-0.3,27,40,108,35,165,4,213,45,40,goberru01
Jimmy Butler,33,MIA,PF,64,64,2138,1.4,3.5,54,24,32,10,245,12,835,61,53,butleji01
James Harden,33,PHI,PG,58,58,2135,6.5,3.7,117,40,46,20,147,11,1429,36,50,hardeja01
Jamal Murray,25,DEN,PG,65,65,2133,6.2,6.2,93,29,59,8,65,17,923,9,35,murraja01
John Collins,25,ATL,PF,71,71,2130,-0.3,-1.6,24,28,149,18,90,20,214,21,45,collijo01
Saddiq Bey,23,TOT,SF,77,37,2129,-3.4,3.1,19,14,44,12,121,3,282,27,55,beysa01
De'Andre Hunter,25,ATL,SF,67,67,2126,-0.2,-1.5,20,33,97,13,99,33,225,20,47,huntede01
Russell Westbrook,34,TOT,PG,73,24,2126,-0.1,-1.4,169,51,71,16,144,8,1252,34,79,westbru01
Quentin Grimes,22,NYK,SG,71,66,2121,4.7,3.3,30,14,93,7,44,15,351,13,20,grimequ01
Kristaps Porziņģis,27,WAS,C,65,65,2120,1.6,6.2,52,40,112,31,175,8,419,51,57,porzikr01
Gary Trent Jr.,24,TOR,SG,66,44,2118,-1.6,-6.2,17,16,42,12,85,10,254,21,32,trentga02
Damian Lillard,32,POR,PG,58,58,2107,2.2,12.8,139,29,54,8,200,23,1009,43,43,lillada01
Ayo Dosunmu,23,CHI,SG,80,51,2098,-1.2,-6,43,28,85,8,43,9,481,10,49,dosunay01
Corey Kispert,23,WAS,SF,74,45,2093,-3.4,-4.5,23,9,54,10,39,6,201,8,36,kispeco01
Malik Beasley,26,TOT,SG,81,27,2093,-2.8,-3.2,48,29,56,6,26,6,302,10,26,beaslma01
Caleb Martin,27,MIA,SF,71,49,2077,0.9,2.4,30,19,71,12,48,30,295,10,26,martica02
Andrew Nembhard,23,IND,SG,75,63,2073,-6.2,-5.8,84,20,75,7,26,30,807,12,25,nembhan01
Keldon Johnson,23,SAS,SF,63,63,2063,-11.7,-3.4,58,47,55,14,175,4,442,59,64,johnske04
Aaron Gordon,27,DEN,PF,68,68,2055,12.1,18.4,39,29,82,16,147,10,474,31,64,gordoaa01
Mason Plumlee,32,TOT,C,79,60,2054,-6,-2.8,49,25,117,30,150,9,574,38,38,plumlma01
Grant Williams,24,BOS,PF,79,23,2045,5.3,-2.7,27,20,100,17,47,20,333,12,21,willigr01
Deandre Ayton,24,PHX,C,67,67,2035,-1.6,-6.8,23,41,117,35,96,0,279,24,39,aytonde01
Mike Conley,35,TOT,PG,67,66,2029,0.8,2.2,76,19,75,3,61,43,1090,15,14,conlemi01
Giannis Antetokounmpo,28,MIL,PF,63,63,2024,7.4,7.8,71,62,69,59,385,5,927,98,82,antetgi01
Kevin Porter Jr.,22,HOU,PG,59,59,2024,-8.8,-1.1,113,51,58,12,117,12,809,31,62,porteke02
Deni Avdija,22,WAS,SF,76,40,2020,-0.6,1.3,62,30,129,23,78,6,502,21,36,avdijde01
Tyrese Maxey,22,PHI,SG,60,41,2016,5.7,1.9,36,13,55,15,109,10,506,33,38,maxeyty01
Dorian Finney-Smith,29,TOT,PF,66,66,2009,0.4,-0.2,33,10,81,9,27,4,250,9,20,finnedo01
Jordan Clarkson,30,UTA,SG,61,61,1988,0.2,2.6,97,49,52,11,99,6,662,25,52,clarkjo01
Dennis Schröder,29,LAL,PG,66,50,1986,2.9,4.7,77,24,61,8,86,30,717,20,45,schrode01
Tre Jones,23,SAS,PG,68,65,1984,-8.3,3.6,70,24,53,5,71,50,1076,20,41,jonestr01
Grayson Allen,27,MIL,SG,72,70,1972,5.7,4.1,49,11,68,1,44,23,409,7,22,allengr01
Jonas Valančiūnas,30,NOP,C,79,79,1968,-0.5,-5.1,34,46,123,53,108,1,321,24,47,valanjo01
Eric Gordon,34,TOT,SG,69,58,1965,-5.3,0.9,56,24,47,8,72,8,429,20,31,gordoer01
Kevon Looney,26,GSW,C,82,70,1958,5.1,6.4,15,7,125,19,77,2,526,19,34,looneke01
Kyle Anderson,29,MIN,PF,69,46,1957,1.9,4,54,21,63,10,67,16,780,16,19,anderky01
Marcus Smart,28,BOS,PG,61,61,1957,5.9,-1.5,84,22,79,19,48,51,914,11,18,smartma01
LeBron James,38,LAL,PF,55,54,1954,5.1,8.8,107,36,37,27,170,9,870,60,47,jamesle01
Herbert Jones,24,NOP,PF,66,66,1951,3.8,3.2,40,13,105,14,76,35,386,18,33,joneshe01
Torrey Craig,32,PHX,PF,79,60,1948,-3.2,-9.9,37,17,102,12,21,14,287,5,23,craigto01
Ja Morant,23,MEM,PG,61,59,1948,6.9,6.5,111,46,46,10,234,25,1170,62,84,moranja01
Kelly Olynyk,31,UTA,C,68,68,1942,0,2.1,75,40,121,32,89,25,606,28,30,olynyke01
Stephen Curry,34,GSW,PG,56,56,1941,5.8,8,111,26,49,12,114,20,838,37,41,curryst01
Tyus Jones,26,MEM,PG,80,22,1940,1.4,-4.2,57,10,14,4,29,11,1009,7,14,jonesty01
Paul George,32,LAC,SF,56,56,1939,3.6,5.9,98,47,80,18,115,16,714,23,37,georgpa01
Al Horford,36,BOS,C,63,63,1922,7.9,2.4,17,5,80,14,10,2,466,5,8,horfoal01
P.J. Tucker,37,PHI,PF,75,75,1920,4.2,-1.1,13,3,97,21,6,12,153,2,9,tuckepj01
Jalen McDaniels,25,TOT,SF,80,24,1913,-2.8,1.1,35,29,99,15,72,15,312,22,39,mcdanja01
Jakob Poeltl,27,TOT,C,72,71,1906,-3.5,2.8,58,32,125,26,93,4,446,25,34,poeltja01
Anthony Davis,29,LAL,C,56,54,1904,4.7,7.8,39,42,85,25,198,5,355,49,58,davisan02
Donte DiVincenzo,26,GSW,SG,72,36,1894,3.2,2.6,71,17,52,11,27,34,612,7,16,divindo01
Bojan Bogdanović,33,DET,PF,59,59,1893,-8.5,0,60,52,49,11,93,6,377,20,79,bogdabo02
Chris Paul,37,PHX,PG,59,59,1889,1.8,0,81,20,59,7,26,8,1233,4,6,paulch01
Tyrese Haliburton,22,IND,PG,56,56,1883,-1.3,4.1,84,32,35,6,86,7,1419,33,46,halibty01
Jarred Vanderbilt,23,TOT,PF,78,65,1879,-1.7,-1.6,29,36,92,16,61,22,462,11,30,vandeja01
Terance Mann,26,LAC,SG,81,36,1872,1.3,1.3,38,21,56,14,61,18,447,16,33,mannte01
Troy Brown Jr.,23,LAL,SF,76,45,1860,-0.9,-2.7,27,10,65,5,18,12,226,5,30,browntr01
Onyeka Okongwu,22,ATL,C,80,18,1849,2.3,3.4,22,16,161,31,92,3,204,22,42,okongon01
Austin Reaves,24,LAL,SG,64,22,1843,5.2,8.7,49,27,70,8,117,44,520,38,19,reaveau01
Desmond Bane,24,MEM,SG,58,58,1841,8.2,8.6,48,33,78,17,78,8,615,28,73,banede01
Devin Booker,26,PHX,SG,53,53,1835,5.5,7,75,40,74,17,156,14,715,50,43,bookede01
Marcus Morris,33,LAC,PF,65,65,1825,-0.8,-2.7,18,16,68,10,32,7,283,9,15,morrima03
Myles Turner,26,IND,C,62,62,1825,-1.6,3.4,26,21,130,31,129,5,214,32,30,turnemy01
Bobby Portis,27,MIL,PF,70,22,1818,0.4,-5.9,22,24,55,15,51,1,275,11,34,portibo01
Aaron Nesmith,23,IND,SF,73,60,1816,-5.4,-3.6,34,13,134,11,60,34,238,12,46,nesmiaa01
Patrick Beverley,34,TOT,SG,67,67,1816,-1.1,-2.9,32,7,84,6,21,26,453,5,12,beverpa01
Jevon Carter,27,MIL,PG,81,39,1810,3.4,-0.3,44,18,75,1,10,6,492,2,16,carteje01
Michael Porter Jr.,24,DEN,SF,62,62,1798,10.1,12.7,25,20,77,8,57,0,156,15,28,portemi01
Naji Marshall,25,NOP,SF,77,21,1792,1.1,-1.9,56,15,63,10,82,5,445,24,39,marshna01
Jaren Jackson Jr.,23,MEM,C,63,63,1787,10,11.7,28,28,109,38,154,5,138,31,66,jacksja02
Shaedon Sharpe,19,POR,SG,80,15,1779,-7.7,-7.3,32,29,63,8,47,8,229,11,31,sharpsh01
Markelle Fultz,24,ORL,PG,60,60,1778,-4.2,-2.5,73,33,60,19,56,7,835,19,40,fultzma01
Tari Eason,21,HOU,PF,82,5,1767,-4,7.9,39,28,99,15,81,3,213,21,67,easonta01
Gabe Vincent,26,MIA,PG,68,34,1759,-0.1,0.1,48,19,76,13,32,24,403,11,19,vincega01
Kawhi Leonard,31,LAC,SF,52,50,1748,5.9,9.3,34,29,44,7,123,4,515,33,25,leonaka01
Malcolm Brogdon,30,BOS,PG,67,0,1744,5.1,-2.7,42,34,49,7,78,18,616,14,50,brogdma01
Christian Wood,27,DAL,C,67,17,1738,-1.3,-2.6,33,29,94,37,131,8,290,38,40,woodch01
Coby White,22,CHI,SG,74,2,1730,4,4.3,38,18,69,3,33,24,479,12,24,whiteco01
Clint Capela,28,ATL,C,65,63,1730,-0.5,-1.7,17,8,69,15,68,18,137,17,26,capelca01
Malik Monk,24,SAC,SG,77,0,1719,1.1,-2.1,85,32,69,13,80,7,694,18,53,monkma01
Kyle Lowry,36,MIA,PG,55,44,1718,1.3,2.7,70,16,69,4,56,29,656,18,24,lowryky01
Nicolas Batum,34,LAC,PF,78,19,1709,4.8,7.4,30,5,67,8,21,5,302,5,5,batumni01
Walker Kessler,21,UTA,C,74,40,1703,2.8,6.8,13,12,119,24,70,1,180,23,34,kesslwa01
Monte Morris,27,WAS,PG,62,61,1695,0.1,2.4,42,12,34,2,30,15,769,11,19,morrimo01
Wendell Carter Jr.,23,ORL,C,57,54,1690,-1.5,2.3,35,28,82,30,78,4,301,17,18,cartewe01
Santi Aldama,22,MEM,PF,77,20,1682,2.2,-2.5,19,20,93,11,48,11,231,12,20,aldamsa01
Bradley Beal,29,WAS,SG,50,50,1673,0.8,3.6,79,45,57,12,104,7,651,26,33,bealbr01
Kevin Durant,34,TOT,PF,47,47,1672,7.8,9.1,91,43,51,13,139,7,554,48,25,duranke01
Jalen Duren,19,DET,C,67,31,1670,-8.4,0.1,33,16,97,31,77,2,174,17,35,durenja01
Reggie Jackson,32,TOT,PG,68,40,1657,-2.8,-5.1,65,17,52,17,34,9,566,12,16,jacksre01
Isaac Okoro,22,CLE,SF,76,46,1652,6.1,0.7,14,11,68,4,56,10,199,15,16,okorois01
Isaiah Hartenstein,24,NYK,C,82,8,1626,4.5,2.3,33,7,113,17,33,6,242,13,17,harteis01
Daniel Gafford,24,WAS,C,78,47,1604,-2.1,-1.4,21,24,120,32,97,7,201,36,28,gaffoda01
Mitchell Robinson,24,NYK,C,59,58,1591,6.5,5.4,11,12,115,9,58,3,133,8,27,robinmi01
Drew Eubanks,25,POR,C,78,28,1584,-3,1.1,26,13,110,20,47,12,262,11,9,eubandr01
Gordon Hayward,32,CHA,SF,50,50,1577,-3.2,4.4,45,24,36,11,82,4,495,25,19,haywago01
Alex Caruso,28,CHI,PG,67,36,1575,6,7.2,51,18,82,3,34,47,449,7,15,carusal01
Shake Milton,26,PHI,SG,76,11,1567,4.2,-0.9,47,20,66,11,56,4,569,13,36,miltosh01
Norman Powell,29,LAC,SG,60,8,1567,-3.3,-6.5,35,40,54,15,120,10,271,19,39,powelno01
Cole Anthony,22,ORL,PG,60,4,1552,-0.6,3.6,43,28,83,6,76,8,558,20,22,anthoco01
Malaki Branham,19,SAS,SG,66,32,1550,-10.6,-0.8,46,16,76,2,35,6,288,8,40,branhma01
Cedi Osman,27,CLE,SF,77,2,1548,7.1,2.3,21,16,54,6,44,26,276,12,22,osmande01
Kelly Oubre Jr.,27,CHA,SF,48,40,1548,-7.7,-3.2,22,28,61,7,107,25,124,37,55,oubreke01
Josh Green,22,DAL,SG,60,21,1539,2.5,3.7,33,23,66,10,50,36,262,14,23,greenjo02
Brandon Ingram,25,NOP,SF,45,45,1538,3.1,1.6,62,42,61,21,117,11,654,29,36,ingrabr01
Josh Richardson,29,TOT,SG,65,10,1530,-5.1,1.2,48,14,62,9,27,12,411,9,9,richajo01
Joe Harris,31,BKN,SF,74,33,1527,-1.9,-5.1,26,3,76,7,11,4,242,3,22,harrijo01
T.J. McConnell,30,IND,PG,75,6,1526,-2.4,1.6,89,33,46,2,31,30,960,16,17,mccontj01
Chris Boucher,30,TOR,PF,76,0,1523,-0.7,-3,7,17,95,8,75,18,65,19,35,bouchch01
Georges Niang,29,PHI,PF,78,1,1512,1.7,-5,27,7,76,10,20,9,186,8,13,niangge01
Bogdan Bogdanović,30,ATL,SG,54,9,1508,1.8,2.1,39,17,44,2,31,3,343,2,13,bogdabo01
Damion Lee,30,PHX,SG,74,5,1506,1.3,-0.8,24,23,55,11,29,20,239,5,14,leeda03
Bol Bol,23,ORL,PF,70,33,1505,-4.4,-2.5,36,47,50,8,55,3,164,16,19,bolbo01
John Konchar,26,MEM,SF,72,23,1494,7,5.5,24,8,68,2,21,18,247,9,14,konchjo01
Rui Hachimura,24,TOT,PF,63,9,1466,-1.2,-1.1,15,20,34,13,57,2,139,14,40,hachiru01
Dwight Powell,31,DAL,C,76,64,1458,6.2,9.3,15,14,138,28,69,16,169,16,17,poweldw01
Jeremy Sochan,19,SAS,PF,56,53,1458,-7.6,3.8,47,27,58,10,62,7,340,18,48,sochaje01
Keita Bates-Diop,27,SAS,PF,67,42,1452,-8,3.2,23,17,41,4,84,2,260,23,37,bateske01
Davion Mitchell,24,SAC,PG,80,9,1447,2.4,0.2,40,8,53,4,16,51,463,9,13,mitchda01
Pat Connaughton,30,MIL,SF,61,33,1443,4.9,2,20,6,51,6,18,9,184,5,14,connapa01
Zach Collins,25,SAS,C,63,26,1441,-8.1,3.1,54,23,118,40,59,13,411,16,35,colliza01
Isaiah Stewart,21,DET,C,50,47,1414,-8.4,0.2,17,16,70,18,64,5,170,11,20,stewais01
AJ Griffin,19,ATL,SF,72,12,1401,2.9,3.8,17,15,47,1,23,5,174,4,22,griffaj01
Isaiah Joe,23,OKC,SG,73,10,1395,4.8,5.6,23,13,55,1,36,34,216,8,11,joeis01
Jonathan Kuminga,20,GSW,PF,67,16,1394,-1.4,-5,37,25,65,14,66,10,328,13,33,kuminjo01
Jusuf Nurkić,28,POR,C,52,52,1391,-0.3,5.2,44,32,99,34,95,8,364,32,34,nurkiju01
Dennis Smith Jr.,25,CHA,PG,54,15,1390,-1.6,6.4,52,16,63,5,46,6,614,5,37,smithde03
Larry Nance Jr.,30,NOP,C,65,1,1381,7.8,8.8,17,7,57,15,35,15,281,9,14,nancela02
Josh Okogie,24,PHX,SG,72,26,1350,5.1,5,30,15,59,5,84,38,253,7,26,okogijo01
Devonte' Graham,27,TOT,PG,73,8,1338,-6.3,-4.2,32,13,43,5,50,13,444,8,12,grahade01
Terrence Ross,31,TOT,SG,63,9,1330,-3.4,-2.2,23,8,58,3,16,8,228,5,16,rosste01
Luke Kennard,26,TOT,SG,59,14,1315,6.5,5.5,23,14,44,6,13,6,227,4,12,kennalu01
Doug McDermott,31,SAS,SF,64,0,1314,-10.6,-0.8,29,10,71,9,28,4,215,7,23,mcderdo01
Talen Horton-Tucker,22,UTA,SG,65,20,1313,-0.4,1,60,24,50,19,78,10,584,21,45,hortota01
Jose Alvarado,24,NOP,PG,61,10,1310,4.7,3.9,46,20,61,6,33,15,430,5,30,alvarjo01
Aaron Wiggins,24,OKC,SG,70,14,1297,2.4,1.8,23,20,65,5,40,6,199,11,33,wiggiaa01
Lonnie Walker IV,24,LAL,SG,56,32,1297,-6.6,-10.7,18,10,45,4,51,5,150,10,21,walkelo01
Sam Hauser,25,BOS,SF,80,8,1290,7.7,1.6,13,11,59,3,6,4,175,1,6,hausesa01
Jalen Smith,22,IND,C,68,31,1279,-4.5,-1.5,19,21,95,19,67,11,159,19,39,smithja04
LaMelo Ball,21,CHA,PG,36,36,1268,-5.2,0.8,71,17,51,13,40,11,686,9,27,ballla01
David Roddy,21,MEM,PF,70,4,1258,-2,-8.2,21,15,65,9,32,8,140,7,24,roddyda01
Jaylen Nowell,23,MIN,SG,65,2,1252,-0.7,-0.8,38,14,54,5,51,14,311,18,38,nowelja01
Naz Reid,23,MIN,C,68,11,1251,-4.6,-6.6,34,21,120,17,61,9,186,19,33,reidna01
Trey Lyles,27,SAC,PF,74,0,1247,3.5,1.8,34,7,56,10,55,11,160,14,21,lylestr01
Jalen Suggs,21,ORL,SG,53,19,1246,-2.4,0.6,55,21,54,11,49,27,366,15,29,suggsja01
Kevin Love,34,TOT,PF,62,20,1240,3.4,-0.5,44,8,61,11,29,35,258,6,8,loveke01
Cory Joseph,31,DET,PG,62,2,1227,-5.2,4.6,34,12,43,6,26,13,535,5,19,josepco01
Delon Wright,30,WAS,PG,50,14,1221,2.4,5.3,18,16,32,3,29,15,467,11,14,wrighde01
Nick Richards,25,CHA,C,65,9,1217,-3.8,2.9,10,12,73,33,99,5,89,34,38,richani01
Seth Curry,32,BKN,SG,61,7,1211,-3.9,-7.4,24,9,33,7,17,12,244,8,14,curryse01
Ochai Agbaji,22,UTA,SG,59,22,1209,-0.5,0.9,15,8,65,9,32,3,159,4,20,agbajoc01
Kenrich Williams,28,OKC,PF,53,10,1206,4.7,5.1,11,10,60,7,21,35,255,5,13,willike04
Matisse Thybulle,25,TOT,SG,71,28,1200,1.8,1.6,16,3,50,3,16,10,133,4,7,thybuma01
Isaiah Livers,24,DET,PF,52,22,1199,-8.3,0.3,12,5,62,3,15,7,99,2,7,liveris01
Cameron Johnson,26,TOT,PF,42,41,1199,6.6,6.1,17,13,42,3,49,11,187,16,26,johnsca02
Anthony Lamb,25,GSW,SF,62,4,1195,1,-1.2,33,11,69,6,23,16,249,8,11,lamban01
Taurean Prince,28,MIN,PF,54,4,1192,1.3,2.2,33,15,69,8,38,23,196,13,14,princta02
Andrew Wiggins,27,GSW,SF,37,37,1190,5.3,5,23,12,59,10,38,10,219,12,21,wiggian01
Jordan Nwora,24,TOT,SF,62,14,1188,-8.5,-10.1,25,22,47,7,49,4,207,17,29,nworajo01
Gary Harris,28,ORL,SG,48,42,1184,-3.5,-1,11,4,43,3,12,6,145,3,14,harriga01
Tre Mann,21,OKC,PG,67,5,1183,0.7,-0.7,26,19,55,5,28,8,297,9,16,manntr01
Trendon Watford,22,POR,PF,62,12,1182,-6.4,-4,25,15,60,18,51,13,311,12,14,watfotr01
Christian Braun,21,DEN,SG,76,6,1181,-3.2,-9.2,9,8,51,5,31,4,145,10,25,braunch01
Xavier Tillman Sr.,24,MEM,C,61,29,1180,-1.3,-7,15,14,55,11,45,3,227,12,34,tillmxa01
Devin Vassell,22,SAS,SG,38,32,1178,-12.9,-4,36,11,38,5,47,4,335,12,18,vassede01
