Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on  0-3,FG% on  3-10,FG% on  10-16,FG% on  16-3P,FG% on  3P,% of 2PFG assisted,% of 3PFG assited,%FGA that are dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Royce O'Neale,29,BKN,SF,76,53,2409,0.386,0.293,0.155,0.118,0.015,0.005,0.707,0.379,0.489,0.271,0.222,0,0.389,0.394,0.975,0.01,5,0.15,0.349,onealro01
Jaylen Brown,26,BOS,SF,67,67,2405,0.491,0.648,0.237,0.203,0.101,0.093,0.352,0.576,0.741,0.477,0.543,0.406,0.335,0.467,0.687,0.052,63,0.125,0.279,brownja02
Luka Dončić,23,DAL,PG,66,66,2391,0.496,0.627,0.176,0.252,0.145,0.054,0.373,0.588,0.745,0.578,0.51,0.333,0.342,0.131,0.216,0.01,12,0.041,0.273,doncilu01
OG Anunoby,25,TOR,SF,67,67,2386,0.476,0.585,0.293,0.173,0.062,0.056,0.415,0.539,0.695,0.366,0.364,0.46,0.387,0.566,0.937,0.13,103,0.392,0.458,anunoog01
Keegan Murray,22,SAC,SF,80,78,2382,0.453,0.359,0.179,0.106,0.042,0.027,0.641,0.527,0.671,0.349,0.455,0.333,0.411,0.689,0.966,0.058,39,0.277,0.439,murrake02
Kentavious Caldwell-Pope,29,DEN,SG,76,76,2381,0.462,0.495,0.136,0.114,0.081,0.155,0.505,0.502,0.686,0.403,0.431,0.449,0.423,0.828,0.926,0.024,12,0.411,0.405,caldwke01
P.J. Washington,24,CHA,PF,73,73,2380,0.444,0.562,0.198,0.242,0.06,0.061,0.438,0.518,0.691,0.451,0.424,0.317,0.348,0.74,0.919,0.05,45,0.22,0.351,washipj01
Jalen Brunson,26,NYK,PG,68,68,2379,0.491,0.731,0.149,0.331,0.172,0.079,0.269,0.519,0.612,0.504,0.471,0.511,0.416,0.166,0.575,0.002,2,0.205,0.424,brunsja01
Brook Lopez,34,MIL,C,78,78,2373,0.531,0.595,0.281,0.17,0.108,0.036,0.405,0.637,0.771,0.569,0.485,0.375,0.374,0.745,0.971,0.087,71,0.198,0.403,lopezbr01
Josh Giddey,20,OKC,PF,76,76,2367,0.482,0.791,0.301,0.381,0.089,0.021,0.209,0.524,0.646,0.455,0.455,0.304,0.325,0.363,0.934,0.011,12,0.128,0.4,giddejo01
Reggie Bullock,31,DAL,SF,78,55,2364,0.409,0.155,0.077,0.04,0.019,0.019,0.845,0.562,0.75,0.421,0.444,0.222,0.38,0.854,0.98,0.002,1,0.491,0.451,bullore01
Immanuel Quickley,23,NYK,SG,81,21,2344,0.448,0.515,0.127,0.205,0.127,0.056,0.485,0.521,0.681,0.5,0.471,0.346,0.37,0.263,0.72,0.009,8,0.271,0.366,quickim01
Tyler Herro,23,MIA,SG,67,67,2337,0.439,0.516,0.093,0.189,0.152,0.076,0.484,0.497,0.699,0.486,0.462,0.357,0.378,0.387,0.69,0.012,13,0.168,0.444,herroty01
Patrick Williams,21,CHI,PF,82,65,2323,0.464,0.591,0.258,0.112,0.12,0.1,0.409,0.498,0.64,0.316,0.432,0.412,0.415,0.633,0.983,0.118,59,0.39,0.463,willipa01
Nikola Jokić,27,DEN,C,69,69,2323,0.632,0.854,0.303,0.414,0.092,0.038,0.146,0.675,0.784,0.643,0.5,0.59,0.383,0.603,0.825,0.022,21,0.027,0.25,jokicni01
Derrick White,28,BOS,SG,82,70,2319,0.462,0.484,0.156,0.214,0.079,0.024,0.516,0.548,0.72,0.469,0.517,0.333,0.381,0.502,0.886,0.018,11,0.284,0.387,whitede01
Jaden Ivey,20,DET,SG,74,73,2304,0.416,0.644,0.242,0.211,0.097,0.087,0.356,0.457,0.584,0.333,0.411,0.442,0.343,0.239,0.733,0.033,28,0.117,0.366,iveyja01
D'Angelo Russell,26,TOT,PG,71,71,2304,0.469,0.483,0.129,0.137,0.133,0.084,0.517,0.548,0.721,0.492,0.484,0.475,0.396,0.315,0.68,0,0,0.102,0.4,russeda01
Draymond Green,32,GSW,PF,73,73,2297,0.527,0.724,0.297,0.363,0.04,0.023,0.276,0.612,0.709,0.57,0.474,0.273,0.305,0.852,1,0.051,21,0.298,0.308,greendr01
KJ Martin,22,HOU,SF,82,49,2292,0.569,0.7,0.417,0.281,0.003,0,0.3,0.679,0.807,0.49,0.5,0,0.315,0.772,1,0.275,173,0.236,0.353,martike04
Joel Embiid,28,PHI,C,66,66,2284,0.548,0.849,0.269,0.196,0.242,0.133,0.151,0.587,0.807,0.435,0.514,0.489,0.33,0.589,0.879,0.065,74,0.04,0.25,embiijo01
Bruce Brown,26,DEN,SF,80,31,2280,0.483,0.657,0.262,0.266,0.086,0.032,0.343,0.548,0.809,0.391,0.391,0.25,0.358,0.551,0.923,0.076,50,0.382,0.392,brownbr01
Klay Thompson,32,GSW,SF,69,69,2279,0.436,0.416,0.058,0.123,0.114,0.121,0.584,0.47,0.694,0.513,0.378,0.408,0.412,0.727,0.89,0.011,11,0.17,0.403,thompkl01
Jalen Williams,21,OKC,SG,75,62,2276,0.521,0.742,0.377,0.246,0.073,0.047,0.258,0.579,0.726,0.436,0.448,0.351,0.356,0.416,0.904,0.106,77,0.146,0.367,willija06
Lauri Markkanen,25,UTA,PF,66,66,2273,0.499,0.554,0.213,0.251,0.053,0.037,0.446,0.585,0.717,0.505,0.525,0.452,0.391,0.65,0.935,0.112,111,0.184,0.489,markkla01
Max Strus,26,MIA,SF,80,33,2272,0.41,0.287,0.138,0.114,0.023,0.011,0.713,0.559,0.679,0.478,0.444,0.111,0.35,0.701,0.939,0.025,17,0.274,0.461,strusma01
Luguentz Dort,23,OKC,SF,74,73,2272,0.388,0.532,0.301,0.174,0.032,0.024,0.468,0.44,0.521,0.309,0.357,0.476,0.33,0.51,0.889,0.04,29,0.232,0.411,dortlu01
Nic Claxton,23,BKN,C,76,76,2271,0.705,0.997,0.671,0.303,0.022,0,0.003,0.708,0.805,0.511,0.462,0,0,0.763,0,0.346,191,1,0,claxtni01
Jerami Grant,28,POR,PF,63,63,2246,0.475,0.607,0.264,0.141,0.085,0.103,0.393,0.523,0.68,0.419,0.397,0.383,0.401,0.569,0.944,0.083,70,0.357,0.375,grantje01
Kyrie Irving,30,TOT,SG,60,60,2241,0.494,0.588,0.16,0.182,0.155,0.091,0.412,0.574,0.724,0.507,0.538,0.509,0.379,0.291,0.511,0.002,1,0.107,0.34,irvinky01
Kyle Kuzma,27,WAS,PF,64,64,2239,0.448,0.579,0.186,0.266,0.082,0.045,0.421,0.533,0.722,0.487,0.383,0.294,0.333,0.466,0.781,0.036,38,0.243,0.41,kuzmaky01
Caris LeVert,28,CLE,SG,74,30,2237,0.431,0.563,0.235,0.181,0.115,0.028,0.437,0.462,0.638,0.373,0.306,0.238,0.392,0.368,0.701,0.042,29,0.228,0.405,leverca01
Bennedict Mathurin,20,IND,SG,78,17,2222,0.434,0.674,0.286,0.26,0.075,0.044,0.326,0.488,0.625,0.397,0.366,0.333,0.323,0.591,0.74,0.035,28,0.194,0.333,mathube01
Terry Rozier,28,CHA,SG,63,63,2221,0.415,0.575,0.194,0.199,0.101,0.081,0.425,0.48,0.622,0.376,0.467,0.417,0.327,0.326,0.655,0.003,3,0.289,0.301,roziete01
Jarrett Allen,24,CLE,C,68,68,2220,0.644,0.984,0.57,0.304,0.075,0.027,0.016,0.653,0.765,0.516,0.511,0.294,0.1,0.769,1,0.316,177,0.6,0,allenja01
Dillon Brooks,27,MEM,SF,73,73,2214,0.396,0.557,0.157,0.19,0.138,0.072,0.443,0.451,0.635,0.362,0.453,0.282,0.326,0.438,0.797,0.012,12,0.164,0.361,brookdi01
Kevin Huerter,24,SAC,SG,75,75,2203,0.485,0.411,0.135,0.141,0.087,0.042,0.589,0.604,0.778,0.607,0.413,0.444,0.402,0.656,0.868,0.014,11,0.149,0.395,huertke01
Jrue Holiday,32,MIL,PG,67,65,2183,0.479,0.598,0.194,0.216,0.096,0.093,0.402,0.542,0.727,0.452,0.459,0.453,0.384,0.247,0.43,0.007,6,0.117,0.458,holidjr01
Alperen Şengün,20,HOU,C,75,72,2171,0.553,0.929,0.395,0.464,0.053,0.016,0.071,0.57,0.677,0.499,0.476,0.308,0.333,0.499,1,0.109,77,0.035,0,sengual01
Anfernee Simons,23,POR,SG,62,62,2171,0.447,0.462,0.166,0.124,0.092,0.08,0.538,0.528,0.647,0.431,0.542,0.417,0.377,0.29,0.684,0.029,26,0.107,0.4,simonan01
Ivica Zubac,25,LAC,C,76,76,2170,0.634,0.996,0.593,0.377,0.021,0.004,0.004,0.637,0.702,0.546,0.455,0.5,0,0.733,0,0.286,130,0,0,zubaciv01
Killian Hayes,21,DET,PG,76,56,2154,0.377,0.649,0.086,0.216,0.236,0.112,0.351,0.429,0.586,0.403,0.401,0.418,0.28,0.141,0.763,0.017,13,0.259,0.243,hayeski01
Tim Hardaway Jr.,30,DAL,SF,71,45,2152,0.401,0.351,0.109,0.093,0.09,0.059,0.649,0.431,0.543,0.367,0.434,0.32,0.385,0.641,0.896,0.014,9,0.271,0.389,hardati02
De'Anthony Melton,24,PHI,SG,77,58,2150,0.425,0.381,0.183,0.131,0.037,0.026,0.619,0.484,0.622,0.329,0.292,0.529,0.39,0.467,0.873,0.011,6,0.241,0.371,meltode01
Rudy Gobert,30,MIN,C,70,70,2148,0.659,0.995,0.778,0.19,0.022,0.004,0.005,0.663,0.748,0.365,0.333,0,0,0.744,0,0.388,200,0,0,goberru01
Jimmy Butler,33,MIA,PF,64,64,2138,0.539,0.884,0.314,0.341,0.158,0.055,0.116,0.564,0.703,0.492,0.5,0.408,0.35,0.377,0.694,0.068,54,0.534,0.345,butleji01
James Harden,33,PHI,PG,58,58,2135,0.441,0.504,0.162,0.188,0.106,0.043,0.496,0.495,0.618,0.418,0.438,0.528,0.385,0.129,0.416,0.001,1,0.05,0.429,hardeja01
Jamal Murray,25,DEN,PG,65,65,2133,0.454,0.585,0.144,0.161,0.134,0.142,0.415,0.494,0.667,0.44,0.46,0.399,0.398,0.326,0.587,0.018,17,0.12,0.5,murraja01
John Collins,25,ATL,PF,71,71,2130,0.508,0.661,0.29,0.207,0.109,0.045,0.339,0.619,0.795,0.459,0.481,0.5,0.292,0.775,0.943,0.113,73,0.4,0.302,collijo01
Saddiq Bey,23,TOT,SF,77,37,2129,0.422,0.5,0.218,0.177,0.05,0.049,0.5,0.483,0.643,0.399,0.286,0.268,0.361,0.381,0.894,0.036,30,0.347,0.407,beysa01
De'Andre Hunter,25,ATL,SF,67,67,2126,0.461,0.652,0.157,0.176,0.193,0.114,0.348,0.521,0.651,0.421,0.522,0.489,0.35,0.584,0.9,0.044,32,0.406,0.397,huntede01
Russell Westbrook,34,TOT,PG,73,24,2126,0.436,0.711,0.305,0.229,0.103,0.075,0.289,0.487,0.632,0.379,0.461,0.257,0.311,0.23,0.663,0.023,19,0.227,0.231,westbru01
Quentin Grimes,22,NYK,SG,71,66,2121,0.468,0.324,0.248,0.047,0.018,0.012,0.676,0.641,0.745,0.321,0.182,0.429,0.386,0.776,0.994,0.043,24,0.327,0.474,grimequ01
Kristaps Porziņģis,27,WAS,C,65,65,2120,0.498,0.65,0.166,0.229,0.163,0.092,0.35,0.559,0.74,0.536,0.494,0.404,0.385,0.622,0.949,0.095,83,0.053,0.526,porzikr01
Gary Trent Jr.,24,TOR,SG,66,44,2118,0.433,0.519,0.116,0.128,0.118,0.15,0.481,0.493,0.704,0.475,0.455,0.364,0.369,0.494,0.855,0.024,20,0.176,0.291,trentga02
Damian Lillard,32,POR,PG,58,58,2107,0.463,0.453,0.231,0.103,0.049,0.057,0.547,0.574,0.673,0.452,0.525,0.493,0.371,0.157,0.5,0.012,10,0.058,0.395,lillada01
Ayo Dosunmu,23,CHI,SG,80,51,2098,0.493,0.668,0.411,0.147,0.07,0.04,0.332,0.583,0.679,0.429,0.5,0.304,0.312,0.55,1,0.018,9,0.466,0.33,dosunay01
Corey Kispert,23,WAS,SF,74,45,2093,0.497,0.344,0.179,0.126,0.029,0.009,0.656,0.637,0.762,0.541,0.412,0.2,0.424,0.766,0.982,0.029,15,0.224,0.488,kispeco01
Malik Beasley,26,TOT,SG,81,27,2093,0.395,0.298,0.036,0.131,0.073,0.058,0.702,0.484,0.706,0.528,0.353,0.407,0.357,0.511,0.855,0.006,4,0.167,0.373,beaslma01
Caleb Martin,27,MIA,SF,71,49,2077,0.464,0.569,0.235,0.155,0.049,0.117,0.431,0.545,0.674,0.424,0.481,0.469,0.356,0.588,0.833,0.051,21,0.407,0.302,martica02
Andrew Nembhard,23,IND,SG,75,63,2073,0.441,0.592,0.169,0.182,0.169,0.068,0.408,0.504,0.716,0.436,0.376,0.455,0.35,0.406,0.902,0.002,1,0.266,0.357,nembhan01
Keldon Johnson,23,SAS,SF,63,63,2063,0.452,0.634,0.27,0.27,0.08,0.014,0.366,0.523,0.657,0.455,0.337,0.313,0.329,0.509,0.903,0.022,22,0.226,0.348,johnske04
Aaron Gordon,27,DEN,PF,68,68,2055,0.564,0.773,0.481,0.18,0.063,0.035,0.227,0.628,0.779,0.394,0.292,0.333,0.347,0.618,0.733,0.26,178,0.312,0.259,gordoaa01
Mason Plumlee,32,TOT,C,79,60,2054,0.68,1,0.707,0.25,0.033,0.01,0,0.68,0.766,0.463,0.5,0.6,0,0.657,0,0.26,115,0,0,plumlma01
Grant Williams,24,BOS,PF,79,23,2045,0.454,0.389,0.137,0.197,0.046,0.006,0.611,0.546,0.738,0.468,0.364,0.333,0.395,0.594,0.922,0.032,15,0.416,0.421,willigr01
Deandre Ayton,24,PHX,C,67,67,2035,0.589,0.973,0.313,0.352,0.223,0.085,0.027,0.597,0.806,0.532,0.455,0.467,0.292,0.792,0.857,0.131,110,0,0,aytonde01
Mike Conley,35,TOT,PG,67,66,2029,0.428,0.425,0.084,0.203,0.108,0.03,0.575,0.486,0.608,0.427,0.5,0.5,0.385,0.381,0.696,0,0,0.157,0.545,conlemi01
Giannis Antetokounmpo,28,MIL,PF,63,63,2024,0.553,0.866,0.48,0.212,0.091,0.084,0.134,0.596,0.791,0.354,0.353,0.355,0.275,0.415,0.617,0.166,198,0.023,0.25,antetgi01
Kevin Porter Jr.,22,HOU,PG,59,59,2024,0.442,0.564,0.153,0.221,0.115,0.076,0.436,0.501,0.711,0.385,0.461,0.478,0.366,0.18,0.525,0.054,41,0.117,0.489,porteke02
Deni Avdija,22,WAS,SF,76,40,2020,0.437,0.599,0.283,0.263,0.038,0.016,0.401,0.53,0.72,0.395,0.227,0.111,0.297,0.538,0.942,0.057,29,0.241,0.339,avdijde01
Tyrese Maxey,22,PHI,SG,60,41,2016,0.481,0.596,0.222,0.208,0.101,0.06,0.404,0.513,0.626,0.447,0.467,0.4,0.434,0.444,0.688,0.014,13,0.195,0.514,maxeyty01
Dorian Finney-Smith,29,TOT,PF,66,66,2009,0.391,0.325,0.218,0.088,0.012,0.008,0.675,0.503,0.642,0.227,0,0.5,0.337,0.671,0.974,0.084,33,0.382,0.38,finnedo01
Jordan Clarkson,30,UTA,SG,61,61,1988,0.444,0.555,0.109,0.302,0.13,0.015,0.445,0.53,0.688,0.508,0.47,0.333,0.338,0.215,0.748,0.016,12,0.12,0.4,clarkjo01
Dennis Schröder,29,LAL,PG,66,50,1986,0.415,0.654,0.168,0.208,0.18,0.098,0.346,0.461,0.55,0.422,0.462,0.391,0.329,0.245,0.905,0,0,0.258,0.345,schrode01
Tre Jones,23,SAS,PG,68,65,1984,0.459,0.787,0.276,0.262,0.21,0.039,0.213,0.506,0.673,0.385,0.442,0.483,0.285,0.26,0.867,0.004,1,0.323,0.255,jonestr01
Grayson Allen,27,MIL,SG,72,70,1972,0.44,0.343,0.18,0.104,0.054,0.005,0.657,0.518,0.67,0.345,0.4,0,0.399,0.606,0.884,0.027,12,0.213,0.474,allengr01
Jonas Valančiūnas,30,NOP,C,79,79,1968,0.547,0.866,0.357,0.325,0.134,0.039,0.134,0.577,0.725,0.494,0.44,0.313,0.349,0.569,0.974,0.086,67,0.046,0.2,valanjo01
Eric Gordon,34,TOT,SG,69,58,1965,0.446,0.455,0.164,0.243,0.041,0.006,0.545,0.535,0.71,0.453,0.37,0.25,0.371,0.39,0.811,0.002,1,0.084,0.467,gordoer01
Kevon Looney,26,GSW,C,82,70,1958,0.63,0.997,0.557,0.365,0.044,0.031,0.003,0.632,0.734,0.521,0.412,0.417,0,0.669,0,0.177,68,0,0,looneke01
Kyle Anderson,29,MIN,PF,69,46,1957,0.509,0.788,0.246,0.426,0.087,0.028,0.212,0.536,0.648,0.512,0.465,0.143,0.41,0.512,0.93,0.02,10,0.448,0.468,anderky01
Marcus Smart,28,BOS,PG,61,61,1957,0.415,0.432,0.14,0.204,0.053,0.025,0.568,0.519,0.75,0.431,0.438,0.267,0.336,0.274,0.826,0.008,4,0.193,0.333,smartma01
LeBron James,38,LAL,PF,55,54,1954,0.5,0.691,0.302,0.197,0.084,0.107,0.309,0.58,0.788,0.463,0.34,0.397,0.321,0.395,0.628,0.062,74,0.08,0.267,jamesle01
Herbert Jones,24,NOP,PF,66,66,1951,0.469,0.667,0.381,0.22,0.018,0.038,0.333,0.536,0.66,0.391,0.444,0.211,0.335,0.659,0.911,0.084,37,0.503,0.321,joneshe01
Torrey Craig,32,PHX,PF,79,60,1948,0.456,0.494,0.266,0.138,0.062,0.028,0.506,0.518,0.699,0.319,0.258,0.357,0.395,0.57,0.99,0.044,17,0.474,0.45,craigto01
Ja Morant,23,MEM,PG,61,59,1948,0.466,0.753,0.289,0.295,0.144,0.025,0.247,0.519,0.652,0.419,0.463,0.467,0.307,0.181,0.533,0.058,55,0.1,0.433,moranja01
Kelly Olynyk,31,UTA,C,68,68,1942,0.499,0.576,0.223,0.269,0.048,0.036,0.424,0.576,0.702,0.54,0.296,0.45,0.394,0.643,0.968,0.025,13,0.203,0.438,olynyke01
Stephen Curry,34,GSW,PG,56,56,1941,0.493,0.436,0.107,0.191,0.063,0.076,0.564,0.579,0.76,0.551,0.493,0.465,0.427,0.371,0.593,0,0,0.097,0.597,curryst01
Tyus Jones,26,MEM,PG,80,22,1940,0.438,0.541,0.085,0.182,0.235,0.039,0.459,0.495,0.6,0.488,0.473,0.429,0.371,0.284,0.793,0,0,0.202,0.53,jonesty01
Paul George,32,LAC,SF,56,56,1939,0.457,0.576,0.145,0.14,0.132,0.157,0.424,0.521,0.699,0.553,0.421,0.411,0.371,0.322,0.614,0.042,36,0.134,0.491,georgpa01
Al Horford,36,BOS,C,63,63,1922,0.476,0.322,0.14,0.123,0.038,0.021,0.678,0.539,0.672,0.525,0.278,0.2,0.446,0.675,0.993,0.023,11,0.378,0.488,horfoal01
P.J. Tucker,37,PHI,PF,75,75,1920,0.427,0.378,0.173,0.151,0.036,0.018,0.622,0.482,0.487,0.441,0.5,0.75,0.393,0.732,0.982,0,0,0.914,0.398,tuckepj01
Jalen McDaniels,25,TOT,SF,80,24,1913,0.455,0.624,0.305,0.207,0.078,0.016,0.376,0.53,0.649,0.398,0.396,0.4,0.332,0.549,0.974,0.073,36,0.384,0.337,mcdanja01
Jakob Poeltl,27,TOT,C,72,71,1906,0.629,0.998,0.487,0.351,0.138,0.002,0.002,0.63,0.757,0.516,0.471,0,0,0.632,0,0.045,27,0,0,poeltja01
Anthony Davis,29,LAL,C,56,54,1904,0.563,0.923,0.348,0.323,0.134,0.117,0.077,0.589,0.788,0.514,0.442,0.372,0.257,0.625,1,0.156,138,0.149,0.364,davisan02
Donte DiVincenzo,26,GSW,SG,72,36,1894,0.435,0.3,0.124,0.131,0.026,0.019,0.7,0.525,0.567,0.563,0.286,0.3,0.397,0.612,0.927,0.017,9,0.228,0.419,divindo01
Bojan Bogdanović,33,DET,PF,59,59,1893,0.488,0.6,0.144,0.214,0.169,0.073,0.4,0.539,0.685,0.487,0.537,0.406,0.411,0.537,0.828,0.012,10,0.297,0.419,bogdabo02
Chris Paul,37,PHX,PG,59,59,1889,0.44,0.609,0.025,0.127,0.302,0.154,0.391,0.482,0.588,0.447,0.485,0.485,0.375,0.163,0.551,0,0,0.073,0.421,paulch01
Tyrese Haliburton,22,IND,PG,56,56,1883,0.49,0.522,0.209,0.163,0.092,0.048,0.478,0.572,0.733,0.453,0.403,0.55,0.4,0.243,0.435,0.02,17,0.092,0.514,halibty01
Jarred Vanderbilt,23,TOT,PF,78,65,1879,0.548,0.8,0.483,0.282,0.031,0.004,0.2,0.604,0.72,0.449,0.214,0.5,0.322,0.679,1,0.213,90,0.878,0.354,vandeja01
Terance Mann,26,LAC,SG,81,36,1872,0.519,0.622,0.33,0.191,0.061,0.04,0.378,0.598,0.769,0.4,0.375,0.476,0.389,0.554,0.883,0.107,47,0.495,0.337,mannte01
Troy Brown Jr.,23,LAL,SF,76,45,1860,0.43,0.396,0.166,0.148,0.032,0.049,0.604,0.505,0.688,0.377,0.4,0.348,0.381,0.667,0.953,0.03,10,0.395,0.405,browntr01
Onyeka Okongwu,22,ATL,C,80,18,1849,0.638,0.974,0.606,0.233,0.05,0.074,0.026,0.647,0.764,0.448,0.56,0.405,0.308,0.706,1,0.207,95,0.769,0.4,okongon01
Austin Reaves,24,LAL,SG,64,22,1843,0.529,0.559,0.184,0.194,0.129,0.053,0.441,0.631,0.833,0.558,0.54,0.423,0.398,0.405,0.86,0.016,8,0.264,0.368,reaveau01
Desmond Bane,24,MEM,SG,58,58,1841,0.479,0.567,0.229,0.21,0.071,0.056,0.433,0.534,0.642,0.447,0.478,0.491,0.408,0.521,0.729,0.007,6,0.15,0.508,banede01
Devin Booker,26,PHX,SG,53,53,1835,0.494,0.704,0.156,0.202,0.204,0.142,0.296,0.554,0.717,0.491,0.555,0.464,0.351,0.387,0.685,0.02,20,0.149,0.362,bookede01
Marcus Morris,33,LAC,PF,65,65,1825,0.426,0.521,0.07,0.118,0.199,0.134,0.479,0.484,0.711,0.5,0.414,0.453,0.364,0.414,0.955,0.008,5,0.231,0.31,morrima03
Myles Turner,26,IND,C,62,62,1825,0.548,0.66,0.302,0.251,0.071,0.029,0.34,0.638,0.778,0.516,0.615,0.286,0.373,0.767,0.968,0.095,67,0.096,0.458,turnemy01
Bobby Portis,27,MIL,PF,70,22,1818,0.496,0.68,0.23,0.202,0.172,0.076,0.32,0.555,0.643,0.549,0.471,0.492,0.37,0.597,1,0.025,17,0.35,0.278,portibo01
Aaron Nesmith,23,IND,SF,73,60,1816,0.427,0.468,0.249,0.136,0.063,0.02,0.532,0.496,0.639,0.263,0.486,0.333,0.366,0.701,0.965,0.042,22,0.424,0.383,nesmiaa01
Patrick Beverley,34,TOT,SG,67,67,1816,0.4,0.336,0.122,0.181,0.022,0.011,0.664,0.529,0.636,0.446,0.5,0.75,0.335,0.359,0.875,0.003,1,0.335,0.35,beverpa01
Jevon Carter,27,MIL,PG,81,39,1810,0.423,0.404,0.092,0.067,0.09,0.154,0.596,0.425,0.538,0.237,0.431,0.437,0.421,0.34,0.789,0.004,1,0.231,0.436,carteje01
Michael Porter Jr.,24,DEN,SF,62,62,1798,0.487,0.444,0.165,0.103,0.061,0.109,0.556,0.579,0.807,0.429,0.44,0.449,0.414,0.752,0.904,0.051,39,0.185,0.524,portemi01
Naji Marshall,25,NOP,SF,77,21,1792,0.433,0.618,0.228,0.291,0.082,0.012,0.382,0.513,0.662,0.386,0.532,0.429,0.303,0.53,0.985,0.026,14,0.381,0.325,marshna01
Jaren Jackson Jr.,23,MEM,C,63,63,1787,0.506,0.657,0.304,0.319,0.028,0.006,0.343,0.585,0.704,0.496,0.348,0.4,0.355,0.595,0.96,0.112,83,0.209,0.322,jacksja02
Shaedon Sharpe,19,POR,SG,80,15,1779,0.472,0.563,0.285,0.114,0.049,0.111,0.437,0.559,0.708,0.392,0.313,0.444,0.36,0.549,0.882,0.108,62,0.322,0.407,sharpsh01
Markelle Fultz,24,ORL,PG,60,60,1778,0.514,0.872,0.299,0.28,0.178,0.115,0.128,0.544,0.685,0.5,0.438,0.449,0.31,0.323,0.963,0.054,30,0.368,0.375,fultzma01
Tari Eason,21,HOU,PF,82,5,1767,0.448,0.739,0.433,0.262,0.029,0.015,0.261,0.486,0.619,0.318,0.211,0.1,0.343,0.473,0.983,0.126,64,0.285,0.367,easonta01
Gabe Vincent,26,MIA,PG,68,34,1759,0.402,0.383,0.093,0.138,0.088,0.062,0.617,0.512,0.547,0.462,0.44,0.657,0.334,0.423,0.718,0.002,1,0.323,0.381,vincega01
Kawhi Leonard,31,LAC,SF,52,50,1748,0.512,0.713,0.141,0.178,0.225,0.169,0.287,0.551,0.724,0.523,0.531,0.463,0.416,0.333,0.644,0.049,42,0.192,0.521,leonaka01
Malcolm Brogdon,30,BOS,PG,67,0,1744,0.484,0.594,0.187,0.239,0.082,0.075,0.406,0.51,0.613,0.434,0.483,0.509,0.444,0.342,0.636,0.007,5,0.155,0.435,brogdma01
Christian Wood,27,DAL,C,67,17,1738,0.515,0.637,0.304,0.208,0.062,0.062,0.363,0.594,0.697,0.569,0.417,0.354,0.376,0.615,0.971,0.124,86,0.168,0.319,woodch01
Coby White,22,CHI,SG,74,2,1730,0.443,0.421,0.2,0.096,0.072,0.052,0.579,0.54,0.672,0.386,0.465,0.419,0.372,0.348,0.961,0.008,4,0.148,0.412,whiteco01
Clint Capela,28,ATL,C,65,63,1730,0.653,0.998,0.761,0.218,0.004,0.004,0.002,0.654,0.725,0.402,0,0.5,0,0.717,0,0.287,144,0,0,capelca01
Malik Monk,24,SAC,SG,77,0,1719,0.448,0.5,0.216,0.183,0.064,0.034,0.5,0.538,0.698,0.418,0.333,0.519,0.359,0.523,0.825,0.049,33,0.168,0.433,monkma01
Kyle Lowry,36,MIA,PG,55,44,1718,0.404,0.361,0.14,0.093,0.082,0.045,0.639,0.509,0.588,0.444,0.475,0.455,0.345,0.292,0.757,0,0,0.177,0.455,lowryky01
Nicolas Batum,34,LAC,PF,78,19,1709,0.42,0.168,0.094,0.039,0.016,0.018,0.832,0.563,0.694,0.533,0.333,0.143,0.391,0.611,0.992,0.024,8,0.391,0.435,batumni01
Walker Kessler,21,UTA,C,74,40,1703,0.72,0.993,0.671,0.304,0.002,0.014,0.007,0.723,0.813,0.54,1,0.333,0.333,0.67,1,0.343,130,0.333,0,kesslwa01
Monte Morris,27,WAS,PG,62,61,1695,0.48,0.604,0.118,0.21,0.144,0.132,0.396,0.543,0.754,0.509,0.5,0.456,0.382,0.29,0.769,0,0,0.245,0.4,morrimo01
Wendell Carter Jr.,23,ORL,C,57,54,1690,0.525,0.633,0.282,0.179,0.101,0.07,0.367,0.624,0.85,0.473,0.452,0.349,0.356,0.649,0.988,0.145,84,0.218,0.449,cartewe01
Santi Aldama,22,MEM,PF,77,20,1682,0.47,0.493,0.28,0.166,0.03,0.017,0.507,0.591,0.707,0.471,0.25,0.444,0.353,0.68,0.968,0.118,54,0.391,0.365,aldamsa01
Bradley Beal,29,WAS,SG,50,50,1673,0.506,0.751,0.197,0.256,0.164,0.133,0.249,0.552,0.786,0.462,0.472,0.479,0.365,0.401,0.713,0.016,14,0.201,0.364,bealbr01
Kevin Durant,34,TOT,PF,47,47,1672,0.56,0.733,0.11,0.162,0.292,0.168,0.267,0.617,0.821,0.607,0.591,0.538,0.404,0.464,0.656,0.044,37,0.078,0.556,duranke01
Jalen Duren,19,DET,C,67,31,1670,0.648,0.995,0.606,0.339,0.048,0.003,0.005,0.652,0.747,0.511,0.474,0,0,0.667,0,0.412,153,0.5,0,durenja01
