Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on  0-3,FG% on  3-10,FG% on  10-16,FG% on  16-3P,FG% on  3P,% of 2PFG assisted,% of 3PFG assited,%FGA that are dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Yuta Watanabe,28,BKN,SF,58,1,928,0.491,0.418,0.224,0.138,0.017,0.039,0.582,0.557,0.769,0.281,0.25,0.444,0.444,0.722,1,0.06,13,0.533,0.514,watanyu01
Ish Wainright,28,PHX,SF,60,2,915,0.37,0.238,0.15,0.075,0.009,0.004,0.762,0.5,0.529,0.471,0.5,0,0.329,0.519,0.982,0.026,3,0.514,0.337,wainris01
Daishen Nix,20,HOU,PG,57,7,914,0.342,0.409,0.19,0.194,0.004,0.021,0.591,0.423,0.489,0.37,1,0.2,0.286,0.439,0.825,0.013,2,0.15,0.238,nixda01
Jaylin Williams,20,OKC,C,49,36,914,0.436,0.517,0.192,0.15,0.107,0.068,0.483,0.463,0.667,0.2,0.32,0.688,0.407,0.839,0.957,0.047,8,0.159,0.556,willija07
Chris Duarte,25,IND,SF,46,12,897,0.369,0.477,0.183,0.099,0.096,0.09,0.523,0.428,0.541,0.485,0.25,0.3,0.316,0.456,0.782,0.015,4,0.328,0.333,duartch01
Derrick Jones Jr.,25,CHI,PF,64,0,893,0.5,0.652,0.548,0.096,0.009,0,0.348,0.587,0.627,0.364,0.5,0,0.338,0.739,1,0.178,35,0.6,0.375,jonesde02
Dean Wade,26,CLE,PF,44,13,891,0.412,0.282,0.164,0.062,0.045,0.011,0.718,0.56,0.759,0.364,0.25,0,0.354,0.821,1,0.04,6,0.409,0.404,wadede01
Vlatko Čančar,25,DEN,PF,60,9,889,0.476,0.493,0.233,0.22,0.035,0.004,0.507,0.58,0.717,0.48,0.25,1,0.374,0.662,0.977,0.026,4,0.33,0.421,cancavl01
Nickeil Alexander-Walker,24,TOT,SG,59,3,884,0.444,0.461,0.139,0.207,0.044,0.071,0.539,0.515,0.634,0.443,0.385,0.571,0.384,0.329,0.803,0.01,2,0.277,0.386,alexani01
Bismack Biyombo,30,PHX,C,61,14,874,0.578,1,0.417,0.49,0.092,0,0,0.578,0.814,0.406,0.421,0,0,0.824,0,0.214,42,0,0,biyombi01
Goran Dragić,36,TOT,PG,58,0,870,0.421,0.567,0.185,0.128,0.179,0.075,0.433,0.468,0.613,0.372,0.35,0.56,0.359,0.393,0.904,0,0,0.186,0.481,dragigo01
James Wiseman,21,TOT,C,45,22,867,0.558,0.941,0.366,0.407,0.086,0.056,0.059,0.58,0.742,0.536,0.31,0.263,0.2,0.697,1,0.239,72,0.05,0,wisemja01
Théo Maledon,21,CHA,PG,44,7,854,0.402,0.626,0.217,0.256,0.134,0.02,0.374,0.465,0.582,0.354,0.471,0.6,0.295,0.324,0.821,0,0,0.074,0,maledth01
Andre Drummond,29,CHI,C,67,0,849,0.606,0.989,0.763,0.215,0.011,0,0.011,0.613,0.66,0.475,0,0,0,0.614,0,0.277,66,0.333,0,drumman01
Aaron Holiday,26,ATL,PG,63,6,845,0.418,0.6,0.223,0.168,0.132,0.077,0.4,0.424,0.612,0.216,0.31,0.529,0.409,0.214,0.861,0,0,0.17,0.2,holidaa01
Romeo Langford,23,SAS,SG,43,21,844,0.467,0.764,0.29,0.351,0.093,0.031,0.236,0.53,0.68,0.429,0.458,0.5,0.262,0.543,1,0.054,13,0.541,0.333,langfro01
Terence Davis,25,SAC,SG,64,5,841,0.423,0.332,0.148,0.118,0.033,0.03,0.668,0.537,0.685,0.442,0.333,0.455,0.366,0.508,0.91,0.038,12,0.243,0.39,daviste02
George Hill,36,TOT,SG,46,1,834,0.47,0.428,0.205,0.102,0.054,0.066,0.572,0.62,0.706,0.412,0.667,0.636,0.358,0.477,0.853,0.018,3,0.337,0.438,hillge01
Mark Williams,21,CHA,C,43,17,828,0.637,1,0.673,0.267,0.048,0.012,0,0.637,0.751,0.388,0.417,0.667,0,0.681,0,0.303,71,0,0,willima07
Robert Williams,25,BOS,C,35,20,824,0.747,0.994,0.682,0.276,0.024,0.012,0.006,0.751,0.879,0.489,0.5,0,0,0.685,0,0.341,56,1,0,williro04
Wesley Matthews,36,MIL,SF,52,0,820,0.363,0.225,0.106,0.056,0.05,0.013,0.775,0.528,0.706,0.333,0.5,0,0.315,0.842,0.974,0,0,0.339,0.238,matthwe02
